month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2020-09-01,11503,9632,77067930084486328443210,77067.930084486328,886,1326,1327
2020-10-01,31518,30183,40356378483720254211934,40356.378483720254,1391,2151,2169
2020-11-01,36103,34325,17121950592457775100598,17121.950592457775,2520,2195,2849
2020-12-01,43312,38447,51540567140218421413442,51540.567140218421,2449,3080,3163
2021-01-01,119021,97519,202104623029747587918544,202104.623029747588,7804,10028,10231
2021-02-01,558612,409120,4864863847524943062005789,4864863.847524943062,27364,33246,33686
2021-03-01,640568,465322,5949463175593643797294256,5949463.175593643797,46433,53755,55260
2021-04-01,1565871,1109674,8281633963257076328580497,8281633.963257076329,64531,77415,79227
2021-05-01,1607223,1350381,2009868597853179226516205,2009868.597853179227,64959,77202,83196
2021-06-01,779087,639326,720672157645046426095339,720672.157645046426,43422,52750,56632
2021-07-01,1089743,573397,490657140041493620554590,490657.140041493621,44165,68766,72793
2021-08-01,1136127,669943,840525346572105151306965,840525.346572105151,60966,93691,101915
2021-09-01,1138845,684318,672033503968648791531851,672033.503968648792,59949,88971,100197
2021-10-01,3282349,1134109,517162313570436348824184,517162.313570436349,72722,136097,145154
2021-11-01,3339577,1222825,372533204569661879495556,372533.204569661879,81277,155137,166148
2021-12-01,1686105,795999,350119913693974036567875,350119.913693974037,71355,128866,140685
2022-01-01,1305648,675325,424521756695635082163971,424521.756695635082,64678,134299,142662
2022-02-01,944184,512903,345446339278480802045976,345446.339278480802,54797,110734,119720
2022-03-01,990019,529050,269393558305752800957530,269393.558305752801,60514,124951,133884
2022-04-01,967043,499377,391691421974880046155717,391691.421974880046,55741,112587,121387
2022-05-01,979789,631739,434169936883232673397286,434169.936883232673,53367,110538,119382
2022-06-01,853804,593182,529837594466448201006806,529837.594466448201,58742,103405,118043
2022-07-01,750676,492846,232521759005954770910804,232521.759005954771,51519,85511,102102
2022-08-01,920205,422117,192725865716870252543380,192725.865716870253,41041,93740,102270
2022-09-01,668420,400443,253063999435801933202148,253063.999435801933,43085,89321,98873
2022-10-01,464739,294833,207703726791028570846275,207703.726791028571,38578,74294,80472
2022-11-01,599006,442273,376161018627971849248853,376161.018627971849,56239,92294,104905
2022-12-01,401774,266819,124360012789905522424272,124360.012789905522,40941,73552,82057
2023-01-01,418414,310780,101618309189094528564478,101618.309189094529,40221,66905,74889
2023-02-01,512659,337074,93140336049763980292250,93140.336049763980,40202,65330,74412
2023-03-01,710615,524719,226421399242399448384062,226421.399242399448,116697,87397,152956
2023-04-01,624263,432759,208063274910925535331195,208063.274910925535,49715,75950,84598
2023-05-01,644968,439315,195542859800714706278435,195542.859800714706,51559,80029,88215
2023-06-01,660360,458251,192791461080504405985434,192791.461080504406,47113,76808,87244
2023-07-01,556947,366678,153423372679784857521041,153423.372679784858,38941,62631,71058
2023-08-01,549500,383992,154949756212444064824228,154949.756212444065,38603,60216,69887
2023-09-01,572133,365934,93898743854921106075811,93898.743854921106,35515,57974,64868
2023-10-01,709197,486845,114668421363049117778957,114668.421363049118,42057,61128,70219
2023-11-01,994624,620833,116945901212415402613203,116945.901212415403,44311,68275,78628
2023-12-01,1260837,728282,232033846153495716901924,232033.846153495717,59165,88041,100566
2024-01-01,1198549,771088,223972368917776321698680,223972.368917776322,70070,98279,117812
2024-02-01,1154228,744282,183166285909313512246313,183166.285909313512,110564,148095,159840
2024-03-01,1932300,1223635,258576922817708120302118,258576.922817708120,170454,217077,235889
2024-04-01,2495808,1733859,286506717356602035699722,286506.717356602036,254312,327866,342990
2024-05-01,2584651,1899420,207301322359203382249398,207301.322359203382,288750,436439,455772
2024-06-01,2296098,1617251,146951692296159193855672,146951.692296159194,217392,286911,313024
2024-07-01,2145395,1712025,149735113534802956588059,149735.113534802957,102858,143489,161619
2024-08-01,2255294,1712481,209130882367230218369123,209130.882367230218,138753,178599,195121
2024-09-01,1374047,1015494,169202644083585661184732,169202.644083585661,61877,94006,105938
2024-10-01,1829281,1288268,197671984687422890739910,197671.984687422891,82767,104493,125273
2024-11-01,2746530,1917840,232902132156293840137461,232902.132156293840,105788,133352,159705
2024-12-01,2682875,1861061,175641245769622386546713,175641.245769622387,109484,151630,172219
2025-01-01,5766767,3279686,136103101668596873422335,136103.101668596873,556568,843240,865860
2025-02-01,2563159,1783536,144975392863001021210886,144975.392863001021,103263,157672,177005
2025-03-01,2581202,1776777,182818630955157784391873,182818.630955157784,123686,166859,222845
2025-04-01,2570310,1567201,158419422652728883375582,158419.422652728883,82032,139805,160475
2025-05-01,3058629,1853584,152850569271550435162470,152850.569271550435,97654,148199,174315
2025-06-01,3249582,2111534,112723587725672630425699,112723.587725672630,191464,234205,248703
2025-07-01,4349975,2895678,117854981435289108520441,117854.981435289109,112216,144419,169400
2025-08-01,3778257,2485019,99141145184499607025487,99141.145184499607,74877,117341,131869
2025-09-01,3077401,2024585,152799992986794704776623,152799.992986794705,75283,101868,124186
2025-10-01,10922811,6378770,175983856080261048034886,175983.856080261048,74146,110757,128676
2025-11-01,6484634,4012725,176417165446649758045563,176417.165446649758,58963,95380,107156
2025-12-01,4455068,2704643,157683709793725048735725,157683.709793725049,53415,84915,96087
2026-01-01,5481741,2962588,151504345046187454083012,151504.345046187454,60525,97806,108703
2026-02-01,6055307,3710918,244529788141070172817556,244529.788141070173,73877,111671,118642
2026-03-01,5113322,3224730,200133031489673531070977,200133.031489673531,77713,109242,116079
2026-04-01,4611104,2704903,155800613993024430004784,155800.613993024430,88211,116544,141329
2026-05-01,5112760,2819686,172410200581653774284628,172410.200581653774,77078,115089,123308
2026-06-01,7509571,4623921,257468769067862383012244,257468.769067862383,100091,164586,173883
2026-07-01,6439498,3595781,163286246263103063786685,163286.246263103064,132844,201013,209731
2026-08-01,4899163,2196583,87715495310432696421435,87715.495310432696,100999,149988,157804
