month,mint_event_count,mint_transaction_count,unique_mint_recipients,raw_minted_amount,minted_volume,burn_event_count,burn_transaction_count,unique_burn_senders,raw_burned_amount,burned_volume,net_issuance,cumulative_net_issuance
2020-09-01,1,1,1,9001000000000000000000,9001.0000000000000000,0,0,0,0,0E-36,9001.000000000000000000000000000000000000,9001.000000000000000000000000000000000000
2021-01-01,2,2,1,2000000000000000000000,2000.0000000000000000,0,0,0,0,0E-36,2000.000000000000000000000000000000000000,11001.000000000000000000000000000000000000
2021-02-01,10,10,1,8500000000000000000000,8500.0000000000000000,0,0,0,0,0E-36,8500.000000000000000000000000000000000000,19501.000000000000000000000000000000000000
2021-03-01,7,7,1,15000000000000000000000,15000.000000000000,0,0,0,0,0E-36,15000.000000000000000000000000000000000000,34501.000000000000000000000000000000000000
2021-04-01,10,10,1,36000000000000000000000,36000.000000000000,0,0,0,0,0E-36,36000.000000000000000000000000000000000000,70501.000000000000000000000000000000000000
2021-05-01,2,2,1,10000000000000000000000,10000.0000000000000000,0,0,0,0,0E-36,10000.000000000000000000000000000000000000,80501.000000000000000000000000000000000000
2021-08-01,1,1,1,5000000000000000000000,5000.0000000000000000,0,0,0,0,0E-36,5000.000000000000000000000000000000000000,85501.000000000000000000000000000000000000
2021-09-01,3,3,1,57000000000000000000000,57000.000000000000,1,1,1,30000000000000000000000,30000.000000000000,27000.000000000000,112501.000000000000000000000000000000000000
2021-11-01,0,0,0,0,0E-36,1,1,1,0,0E-36,0E-36,112501.000000000000000000000000000000000000
2022-08-01,0,0,0,0,0E-36,2,2,1,0,0E-36,0E-36,112501.000000000000000000000000000000000000
2022-09-01,0,0,0,0,0E-36,1,1,1,6000000,6.0000000000000000E-12,-6.000000000000000000000000E-12,112500.999999999994000000000000000000000000
2022-11-01,0,0,0,0,0E-36,4,4,2,52000000000000000000256,52000.000000000000,-52000.000000000000000000000000000000000000,60500.999999999994000000000000000000000000
2023-04-01,0,0,0,0,0E-36,2,2,1,0,0E-36,0E-36,60500.999999999994000000000000000000000000
2023-05-01,0,0,0,0,0E-36,1,1,1,0,0E-36,0E-36,60500.999999999994000000000000000000000000
2023-06-01,0,0,0,0,0E-36,2,2,1,0,0E-36,0E-36,60500.999999999994000000000000000000000000
2024-01-01,0,0,0,0,0E-36,1,1,1,1000000,1.00000000000000000000E-12,-1.000000000000000000000000E-12,60500.999999999993000000000000000000000000
2024-07-01,1,1,1,4799970000000000000000,4799.9700000000000000,0,0,0,0,0E-36,4799.970000000000000000000000000000000000,65300.969999999993000000000000000000000000
2024-10-01,0,0,0,0,0E-36,2,2,1,12900000000,1.2900000000000000E-8,-1.2900000000000000000000000000E-8,65300.969999987093000000000000000000000000
2024-11-01,0,0,0,0,0E-36,2,2,2,10000000001,1.00000000010000000000E-8,-1.0000000001000000000000000000E-8,65300.969999977092999999000000000000000000
2025-02-01,0,0,0,0,0E-36,1,1,1,1120000000000,0.000001120000000000000000,-0.000001120000000000000000000000000000,65300.969998857092999999000000000000000000
2025-03-01,0,0,0,0,0E-36,1,1,1,30000000000000,0.000030000000000000000000,-0.000030000000000000000000000000000000,65300.969968857092999999000000000000000000
2025-04-01,0,0,0,0,0E-36,1,1,1,4043247657350,0.000004043247657350000000,-0.000004043247657350000000000000000000,65300.969964813845342649000000000000000000
2025-06-01,0,0,0,0,0E-36,11,11,1,29700220000,2.9700220000000000E-8,-2.9700220000000000000000000000E-8,65300.969964784145122649000000000000000000
2025-07-01,0,0,0,0,0E-36,3,3,1,11220000,1.12200000000000000E-11,-1.1220000000000000000000000E-11,65300.969964784133902649000000000000000000
