month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2020-09-01,77067.930084486328,1327,1327,9632,11503
2020-10-01,40356.378483720254,2169,1780,30183,31518
2020-11-01,17121.950592457775,2849,1458,34325,36103
2020-12-01,51540.567140218421,3163,2149,38447,43312
2021-01-01,202104.623029747588,10231,8489,97519,119021
2021-02-01,4864863.847524943062,33686,29072,409120,558612
2021-03-01,5949463.175593643797,55260,41609,465322,640568
2021-04-01,8281633.963257076329,79227,57256,1109674,1565871
2021-05-01,2009868.597853179227,83196,49413,1350381,1607223
2021-06-01,720672.157645046426,56632,31198,639326,779087
2021-07-01,490657.140041493621,72793,47888,573397,1089743
2021-08-01,840525.346572105151,101915,57735,669943,1136127
2021-09-01,672033.503968648792,100197,51072,684318,1138845
2021-10-01,517162.313570436349,145154,88558,1134109,3282349
2021-11-01,372533.204569661879,166148,98332,1222825,3339577
2021-12-01,350119.913693974037,140685,67049,795999,1686105
2022-01-01,424521.756695635082,142662,67307,675325,1305648
2022-02-01,345446.339278480802,119720,47106,512903,944184
2022-03-01,269393.558305752801,133884,59100,529050,990019
2022-04-01,391691.421974880046,121387,51815,499377,967043
2022-05-01,434169.936883232673,119382,47571,631739,979789
2022-06-01,529837.594466448201,118043,47159,593182,853804
2022-07-01,232521.759005954771,102102,35253,492846,750676
2022-08-01,192725.865716870253,102270,46041,422117,920205
2022-09-01,253063.999435801933,98873,31941,400443,668420
2022-10-01,207703.726791028571,80472,30576,294833,464739
2022-11-01,376161.018627971849,104905,44612,442273,599006
2022-12-01,124360.012789905522,82057,35475,266819,401774
2023-01-01,101618.309189094529,74889,32228,310780,418414
2023-02-01,93140.336049763980,74412,30911,337074,512659
2023-03-01,226421.399242399448,152956,50115,524719,710615
2023-04-01,208063.274910925535,84598,40354,432759,624263
2023-05-01,195542.859800714706,88215,47034,439315,644968
2023-06-01,192791.461080504406,87244,42389,458251,660360
2023-07-01,153423.372679784858,71058,32461,366678,556947
2023-08-01,154949.756212444065,69887,30142,383992,549500
2023-09-01,93898.743854921106,64868,30530,365934,572133
2023-10-01,114668.421363049118,70219,31385,486845,709197
2023-11-01,116945.901212415403,78628,36840,620833,994624
2023-12-01,232033.846153495717,100566,50672,728282,1260837
2024-01-01,223972.368917776322,117812,60021,771088,1198549
2024-02-01,183166.285909313512,159840,105210,744282,1154228
2024-03-01,258576.922817708120,235889,155127,1223635,1932300
2024-04-01,286506.717356602036,342990,261554,1733859,2495808
2024-05-01,207301.322359203382,455772,308754,1899420,2584651
2024-06-01,146951.692296159194,313024,138409,1617251,2296098
2024-07-01,149735.113534802957,161619,83789,1712025,2145395
2024-08-01,209130.882367230218,195121,113884,1712481,2255294
2024-09-01,169202.644083585661,105938,46305,1015494,1374047
2024-10-01,197671.984687422891,125273,51010,1288268,1829281
2024-11-01,232902.132156293840,159705,70469,1917840,2746530
2024-12-01,175641.245769622387,172219,92415,1861061,2682875
2025-01-01,136103.101668596873,865860,684109,3279686,5766767
2025-02-01,144975.392863001021,177005,97269,1783536,2563159
2025-03-01,182818.630955157784,222845,74939,1776777,2581202
2025-04-01,158419.422652728883,160475,73785,1567201,2570310
2025-05-01,152850.569271550435,174315,77836,1853584,3058629
2025-06-01,112723.587725672630,248703,174758,2111534,3249582
2025-07-01,117854.981435289109,169400,75237,2895678,4349975
2025-08-01,99141.145184499607,131869,56688,2485019,3778257
2025-09-01,152799.992986794705,124186,46250,2024585,3077401
2025-10-01,175983.856080261048,128676,53070,6378770,10922811
2025-11-01,176417.165446649758,107156,43715,4012725,6484634
2025-12-01,157683.709793725049,96087,41446,2704643,4455068
2026-01-01,151504.345046187454,108703,50739,2962588,5481741
2026-02-01,244529.788141070173,118642,61115,3710918,6055307
2026-03-01,200133.031489673531,116079,61631,3224730,5113322
2026-04-01,155800.613993024430,141329,69676,2704903,4611104
2026-05-01,172410.200581653774,123308,63832,2819686,5112760
2026-06-01,257468.769067862383,173883,106356,4623921,7509571
2026-07-01,163286.246263103064,209731,137076,3595781,6439498
2026-08-01,87715.495310432696,157804,103710,2196583,4899163
