month,size_bucket,transfer_count,bucket_volume
2020-09-01,<0.01,2578,4.26655201571941792800000000000000
2020-09-01,0.01-0.1,2643,119.62018666072689984600
2020-09-01,0.1-1,2300,1047.17235682167366693600
2020-09-01,1-10,2754,9488.92732973030663050800
2020-09-01,10-100,1140,32117.5264498990378248
2020-09-01,100-1000,60,10286.4372022788640009
2020-09-01,1000-10000,7,24003.9800070800000000
2020-10-01,<0.01,7620,24.843618918559902735000000000000000000
2020-10-01,0.01-0.1,17015,934.81315588761740506400
2020-10-01,0.1-1,3167,1195.00770052894651857500
2020-10-01,1-10,2812,9336.26665432909557329300
2020-10-01,10-100,841,21231.4916137364011119
2020-10-01,100-1000,48,7633.9557403196337046
2020-11-01,<0.01,8764,23.869886264566519618000000000000000000
2020-11-01,0.01-0.1,21779,1165.60108731866129145200
2020-11-01,0.1-1,3706,1281.41683869697247897300
2020-11-01,1-10,1611,4723.45884068360223258800
2020-11-01,10-100,209,4529.4271132893164782
2020-11-01,100-1000,7,1423.9215035979455810
2020-11-01,1000-10000,2,3974.2553226067105186
2020-12-01,<0.01,13874,37.574650799029708053000000000000000000
2020-12-01,0.01-0.1,20692,1017.31386549097169228200
2020-12-01,0.1-1,5264,1685.44492642855631350300
2020-12-01,1-10,2476,8126.90072846401392452200
2020-12-01,10-100,900,24071.7839641498677831
2020-12-01,100-1000,67,15601.5490048859819934
2020-12-01,1000-10000,1,1000.0000000000000000
2021-01-01,<0.01,50685,158.169750593516071799000000000000000000
2021-01-01,0.01-0.1,46010,1774.92595208654235945200
2021-01-01,0.1-1,12684,3712.74689662584227069400
2021-01-01,1-10,4778,17324.77369884745542780700
2021-01-01,10-100,4581,135450.2251642773253926
2021-01-01,100-1000,123,24412.7948675035854440
2021-01-01,1000-10000,17,19270.9866998133209558
2021-02-01,<0.01,207631,647.674823912621513712000000000000000000
2021-02-01,0.01-0.1,208931,7817.87468038354850642500
2021-02-01,0.1-1,82240,24240.11118610523309937600
2021-02-01,1-10,19129,56807.82712032433504125600
2021-02-01,10-100,22242,1097695.0486560907085604
2021-02-01,100-1000,17823,3673655.3110581266152953
2021-02-01,1000-10000,4,4000.0000000000000000
2021-03-01,<0.01,335302,724.780565227170532827000000000000000000
2021-03-01,0.01-0.1,167588,5988.83059629874103715000
2021-03-01,0.1-1,73336,23402.17620379525064091900
2021-03-01,1-10,18866,51065.87114075935677820600
2021-03-01,10-100,20050,1215994.8599100994571651
2021-03-01,100-1000,24272,4577211.5642138392155249
2021-03-01,1000-10000,37,75075.0929636246056542
2021-04-01,<0.01,619175,1197.083725042759038457000000000000000000
2021-04-01,0.01-0.1,358367,15474.96369753807741242600
2021-04-01,0.1-1,453166,187361.75752823450004933200
2021-04-01,1-10,65675,183731.15310597053542348100
2021-04-01,10-100,39168,1868233.8427504001855777
2021-04-01,100-1000,24227,5244811.6389069470198712
2021-04-01,1000-10000,485,780823.5235429432512637
2021-05-01,<0.01,734868,1373.302604566485010553000000000000000000
2021-05-01,0.01-0.1,374699,15806.60180831675761796800
2021-05-01,0.1-1,406186,142446.11986764780379045500
2021-05-01,1-10,71336,190211.11152684740696545200
2021-05-01,10-100,11862,350737.2400782981805314
2021-05-01,100-1000,3064,784092.1492993106876125
2021-05-01,1000-10000,260,462712.1111285435894617
2021-05-01,10000-100000,4,62489.961539648315
2021-06-01,<0.01,327727,647.960723332180264219000000000000000000
2021-06-01,0.01-0.1,201092,8311.22634504655129824600
2021-06-01,0.1-1,200136,62408.59316233010600749000
2021-06-01,1-10,35187,96286.84440865423710654400
2021-06-01,10-100,7939,274549.5629814675203633
2021-06-01,100-1000,1045,193659.4930993837371136
2021-06-01,1000-10000,43,67466.4769248320939509
2021-06-01,10000-100000,1,17342.000000000000
2021-07-01,<0.01,757930,562.604166550188787201000000000000000000
2021-07-01,0.01-0.1,175642,7557.46354859535599587900
2021-07-01,0.1-1,120095,36736.31673367306399100700
2021-07-01,1-10,23458,67671.61407648502637499600
2021-07-01,10-100,5364,158227.8549603955414216
2021-07-01,100-1000,891,189578.4428623336436088
2021-07-01,1000-10000,16,30322.8436934608003914
2021-08-01,<0.01,735636,675.128607687676422602000000000000000000
2021-08-01,0.01-0.1,212146,8722.95504755837224442300
2021-08-01,0.1-1,146237,37832.49650070162338053500
2021-08-01,1-10,23703,78280.28813258230250155600
2021-08-01,10-100,4750,131090.6945801046498154
2021-08-01,100-1000,2247,512921.8666529629958828
2021-08-01,1000-10000,34,71001.9170505075310637
2021-09-01,<0.01,699866,735.345108603088998095000000000000000000
2021-09-01,0.01-0.1,219881,9167.56270726228545948300
2021-09-01,0.1-1,162410,40000.43632686588368065800
2021-09-01,1-10,28558,109477.76624495532987005600
2021-09-01,10-100,7107,254877.2423087000570143
2021-09-01,100-1000,982,202387.4085647954207017
2021-09-01,1000-10000,18,35387.7427074667258174
2021-09-01,10000-100000,2,20000.0000000000000000
2021-10-01,<0.01,2764898,1108.159506954399054157000000000000000000
2021-10-01,0.01-0.1,325871,13042.83904095883250096500
2021-10-01,0.1-1,150999,36356.37809715372487685000
2021-10-01,1-10,23362,70341.10884328115908317600
2021-10-01,10-100,6787,224887.9660340939459328
2021-10-01,100-1000,629,122346.6593387369417543
2021-10-01,1000-10000,22,49079.2027092573456306
2021-11-01,<0.01,2861339,1465.560667793420536137000000000000000000
2021-11-01,0.01-0.1,296873,12445.99776684128088238700
2021-11-01,0.1-1,148698,36657.52641641737482506600
2021-11-01,1-10,20550,58918.92225863643021183400
2021-11-01,10-100,5535,158879.8962874803768776
2021-11-01,100-1000,374,70949.3752367123226472
2021-11-01,1000-10000,20,33215.9259357806735093
2021-12-01,<0.01,1278062,883.180533889838499449000000000000000000
2021-12-01,0.01-0.1,202682,8453.02283735559710379500
2021-12-01,0.1-1,177750,42100.47971911067657462100
2021-12-01,1-10,19205,57567.97133278516460566900
2021-12-01,10-100,4489,139702.6432088060000591
2021-12-01,100-1000,429,84889.1654032917721768
2021-12-01,1000-10000,6,16523.4506587349875437
2022-01-01,<0.01,946765,691.435175008737718232000000000000000000
2022-01-01,0.01-0.1,177930,7213.72369388988567305700
2022-01-01,0.1-1,155249,34819.30856056523603711600
2022-01-01,1-10,17598,53886.27948681620310877700
2022-01-01,10-100,3652,96350.7635091947096534
2022-01-01,100-1000,1144,216300.0750465721285258
2022-01-01,1000-10000,8,15260.1712235881814552
2022-02-01,<0.01,676796,540.122082561477492344000000000000000000
2022-02-01,0.01-0.1,136397,5705.50201347625394739900
2022-02-01,0.1-1,114243,23060.25696399790069283200
2022-02-01,1-10,10357,31378.33079370457948881100
2022-02-01,10-100,3109,107459.2477809126405013
2022-02-01,100-1000,1108,177302.8796438279499257
2022-03-01,<0.01,730879,562.656955210855131967000000000000000000
2022-03-01,0.01-0.1,156248,7327.81627685609941891500
2022-03-01,0.1-1,83359,19199.51870844984158077300
2022-03-01,1-10,13467,44446.38861807986511683300
2022-03-01,10-100,3473,105500.1196939448977640
2022-03-01,100-1000,422,78781.2395831260354240
2022-03-01,1000-10000,8,13575.8184700852065283
2022-04-01,<0.01,725395,533.121986934625656719000000000000000000
2022-04-01,0.01-0.1,124151,5093.93344743752201740800
2022-04-01,0.1-1,96551,20979.67859279364837514400
2022-04-01,1-10,13321,43894.71533085408277824400
2022-04-01,10-100,3041,89255.3933480791949689
2022-04-01,100-1000,1117,207004.4772489734328163
2022-04-01,1000-10000,11,24930.1020198075395436
2022-05-01,<0.01,595486,641.111708808473538047000000000000000000
2022-05-01,0.01-0.1,177785,7686.10621197318947966400
2022-05-01,0.1-1,181896,39708.87315904978550649100
2022-05-01,1-10,17666,52061.25669861703316071900
2022-05-01,10-100,3783,108364.6013091613342174
2022-05-01,100-1000,788,221995.4312730404636671
2022-05-01,1000-10000,3,3712.5565225823938325
2022-06-01,<0.01,464131,634.410414419445493765000000000000000000
2022-06-01,0.01-0.1,218884,9764.85807547666130547100
2022-06-01,0.1-1,144857,34919.17692807177278809900
2022-06-01,1-10,18644,56769.11537375595900348600
2022-06-01,10-100,4173,109693.1672190962516730
2022-06-01,100-1000,1120,218707.0226498603163251
2022-06-01,1000-10000,22,57520.8438057677944296
2022-06-01,10000-100000,3,41829.000000000000
2022-07-01,<0.01,433034,496.676401860928092453000000000000000000
2022-07-01,0.01-0.1,215284,10247.13325575707765313600
2022-07-01,0.1-1,83172,21103.83405218827759867700
2022-07-01,1-10,14313,42931.92371426249736277100
2022-07-01,10-100,2792,83601.4242879695183557
2022-07-01,100-1000,150,32335.1573017251602172
2022-07-01,1000-10000,12,19681.6095316992086970
2022-07-01,10000-100000,1,22124.000460492103
2022-08-01,<0.01,688585,384.727805865637997655000000000000000000
2022-08-01,0.01-0.1,143300,5996.36840253207095397100
2022-08-01,0.1-1,72158,18329.91613649040665010000
2022-08-01,1-10,10592,32110.74044355259914236100
2022-08-01,10-100,2784,90688.0801577607526974
2022-08-01,100-1000,121,23713.5384289586514184
2022-08-01,1000-10000,15,21502.4943417101336841
2022-09-01,<0.01,419970,373.609804176790179236000000000000000000
2022-09-01,0.01-0.1,148020,6362.32091582204088200600
2022-09-01,0.1-1,79780,21377.30937749592794849000
2022-09-01,1-10,15215,46388.99097379163524355600
2022-09-01,10-100,3434,100066.4167785431290939
2022-09-01,100-1000,189,40898.8035309224098558
2022-09-01,1000-10000,20,37596.5480550500000000
2022-10-01,<0.01,297413,343.867776536175788811000000000000000000
2022-10-01,0.01-0.1,99004,3956.33263344303325961600
2022-10-01,0.1-1,52577,15003.90950164075913576200
2022-10-01,1-10,11374,36704.63321442125690820800
2022-10-01,10-100,2677,64273.8729961849536670
2022-10-01,100-1000,330,63164.8936362226944539
2022-10-01,1000-10000,16,24256.2170325796976302
2022-11-01,<0.01,309302,444.539553064748160957000000000000000000
2022-11-01,0.01-0.1,165354,6882.14018500809231727000
2022-11-01,0.1-1,98081,26325.31315238722330860500
2022-11-01,1-10,17715,51112.51966752058118229200
2022-11-01,10-100,3116,97620.4651166364395927
2022-11-01,100-1000,340,70637.2330722884433802
2022-11-01,1000-10000,19,26014.8065628700000000
2022-11-01,10000-100000,4,97124.001318196321
2022-12-01,<0.01,246741,272.452094890072720568000000000000000000
2022-12-01,0.01-0.1,82947,3294.23954796941962851900
2022-12-01,0.1-1,43177,12079.08088136949095724000
2022-12-01,1-10,9222,26670.09922521757393874900
2022-12-01,10-100,1655,55097.5556003442465216
2022-12-01,100-1000,97,19817.5854401147186596
2022-12-01,1000-10000,1,7129.0000000000000000
2023-01-01,<0.01,234251,302.202536281172224604000000000000000000
2023-01-01,0.01-0.1,99550,3905.18816269358961018500
2023-01-01,0.1-1,51014,13926.45355887719358329800
2023-01-01,1-10,8769,22948.64166448553494755000
2023-01-01,10-100,1328,38131.7271774558287194
2023-01-01,100-1000,73,17813.0971339012094760
2023-01-01,1000-10000,2,4590.9989554000000000
2023-02-01,<0.01,328473,370.314028557807144535000000000000000000
2023-02-01,0.01-0.1,105356,3993.19277212491225255100
2023-02-01,0.1-1,45481,12621.09812159513346206300
2023-02-01,1-10,7405,19011.03145807279830883200
2023-02-01,10-100,1620,37611.8709189994636265
2023-02-01,100-1000,104,18251.0987504138654980
2023-02-01,1000-10000,1,1281.7300000000000000
2023-03-01,<0.01,393580,743.892858230538466582000000000000000000
2023-03-01,0.01-0.1,171040,6551.37062741724900148100
2023-03-01,0.1-1,73739,20710.71723370269969270900
2023-03-01,1-10,14886,40891.38384753886780446100
2023-03-01,10-100,3069,82091.4084131861149176
2023-03-01,100-1000,348,55943.7514814545245329
2023-03-01,1000-10000,6,19488.8747808694539699
2023-04-01,<0.01,357171,483.273998253940386284000000000000000000
2023-04-01,0.01-0.1,147532,6718.53972847632352870900
2023-04-01,0.1-1,92947,25275.65268418838444152400
2023-04-01,1-10,13844,43806.12057732812533229000
2023-04-01,10-100,2986,71048.1985462002991103
2023-04-01,100-1000,256,50051.5654330984625473
2023-04-01,1000-10000,4,10679.9239433800000000
2023-05-01,<0.01,364534,493.815801486197532115000000000000000000
2023-05-01,0.01-0.1,141058,6264.58246818833346410700
2023-05-01,0.1-1,108539,28737.86767767074892592600
2023-05-01,1-10,10547,28226.81310942536859348000
2023-05-01,10-100,2859,80224.3034602156007437
2023-05-01,100-1000,128,23283.4909696905402864
2023-05-01,1000-10000,12,28311.9863140379167360
2023-06-01,<0.01,362391,505.104626139327154132000000000000000000
2023-06-01,0.01-0.1,165033,7369.19550696861878019700
2023-06-01,0.1-1,112127,27580.18434503513313648500
2023-06-01,1-10,11019,30051.97672623442436628000
2023-06-01,10-100,2835,87077.9426409496057628
2023-06-01,100-1000,94,23036.5582459066401446
2023-06-01,1000-10000,10,17170.4989892706566419
2023-07-01,<0.01,338698,491.643683411806886837000000000000000000
2023-07-01,0.01-0.1,121274,5215.74979820614992454300
2023-07-01,0.1-1,78038,18975.69446419745378335900
2023-07-01,1-10,11157,34400.23452732071426306000
2023-07-01,10-100,1817,46709.5042072369376291
2023-07-01,100-1000,130,26544.6320294117950404
