month,mint_event_count,mint_transaction_count,unique_mint_recipients,raw_minted_amount,minted_volume,burn_event_count,burn_transaction_count,unique_burn_senders,raw_burned_amount,burned_volume,net_issuance,cumulative_net_issuance
2020-09-01,1,1,1,10000000000000000000000000,10000000.000000000000,0,0,0,0,0E-36,10000000.000000000000000000000000000000000000,10000000.000000000000000000000000000000000000
2020-10-01,5,5,1,9000000000000000000000000,9000000.000000000000,0,0,0,0,0E-36,9000000.000000000000000000000000000000000000,19000000.000000000000000000000000000000000000
2021-02-01,8,8,1,43000000000000000000000000,43000000.000000000000,0,0,0,0,0E-36,43000000.000000000000000000000000000000000000,62000000.000000000000000000000000000000000000
2021-03-01,5,5,1,80000000000000000000000000,80000000.000000000000,0,0,0,0,0E-36,80000000.000000000000000000000000000000000000,142000000.000000000000000000000000000000000000
2021-04-01,10,10,1,120000000000000000000000000,120000000.00000000,0,0,0,0,0E-36,120000000.000000000000000000000000000000000000,262000000.000000000000000000000000000000000000
2021-05-01,0,0,0,0,0E-36,1,1,1,991894667361,9.91894667361000000E-7,-9.91894667361000000000000000000E-7,261999999.999999008105332639000000000000000000
2022-06-01,0,0,0,0,0E-36,1,1,1,100000000000000000000000000,100000000.000000000000,-100000000.000000000000000000000000000000000000,161999999.999999008105332639000000000000000000
2022-09-01,0,0,0,0,0E-36,1,1,1,35000000000000000000000000,35000000.000000000000,-35000000.000000000000000000000000000000000000,126999999.999999008105332639000000000000000000
2022-11-01,1,1,1,500000000000000000000000,500000.000000000000,0,0,0,0,0E-36,500000.000000000000000000000000000000000000,127499999.999999008105332639000000000000000000
2023-01-01,0,0,0,0,0E-36,1,1,1,50000000000000000000000000,50000000.000000000000,-50000000.000000000000000000000000000000000000,77499999.999999008105332639000000000000000000
2023-02-01,0,0,0,0,0E-36,1,1,1,15000000000000000000000000,15000000.000000000000,-15000000.000000000000000000000000000000000000,62499999.999999008105332639000000000000000000
2023-06-01,0,0,0,0,0E-36,2,2,1,0,0E-36,0E-36,62499999.999999008105332639000000000000000000
2023-07-01,0,0,0,0,0E-36,1,1,1,20500000000000000000000000,20500000.000000000000,-20500000.000000000000000000000000000000000000,41999999.999999008105332639000000000000000000
2023-10-01,0,0,0,0,0E-36,1,1,1,2646243094666642,0.00264624309466664200,-0.002646243094666642000000000000000000,41999999.997352765010665997000000000000000000
2024-01-01,0,0,0,0,0E-36,1,1,1,8000000000000000000000000,8000000.000000000000,-8000000.000000000000000000000000000000000000,33999999.997352765010665997000000000000000000
2024-07-01,1,1,1,1999971520000000000000000,1999971.520000000000,0,0,0,0,0E-36,1999971.520000000000000000000000000000000000,35999971.517352765010665997000000000000000000
2025-06-01,0,0,0,0,0E-36,50,50,8,0,0E-36,0E-36,35999971.517352765010665997000000000000000000
2025-07-01,0,0,0,0,0E-36,1006,1006,138,0,0E-36,0E-36,35999971.517352765010665997000000000000000000
2025-08-01,1,1,1,5000000000000000000000000,5000000.000000000000,463,463,65,0,0E-36,5000000.000000000000000000000000000000000000,40999971.517352765010665997000000000000000000
2025-12-01,0,0,0,0,0E-36,1,1,1,0,0E-36,0E-36,40999971.517352765010665997000000000000000000
2026-04-01,0,0,0,0,0E-36,2,2,2,9897013565657770000000000,9897013.565657770000,-9897013.565657770000000000000000000000000000,31102957.951694995010665997000000000000000000
