month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2020-09-01,36514221.766217413847,504,504,1709,2293
2020-10-01,154888385.44447295,1859,1732,15368,16575
2020-11-01,49218131.852551161908,1361,936,14803,15598
2020-12-01,102643299.13685305,2159,1741,17031,19423
2021-01-01,265495289.45010230,4617,3916,34082,44129
2021-02-01,2341949913.67062919,16715,15076,212582,259599
2021-03-01,35377967322.49384077,25832,20342,238619,348997
2021-04-01,122837121050.19466904,31210,23825,540025,666803
2021-05-01,5062016671.25701568,44100,33366,1244664,1332900
2021-06-01,2251244876.04552255,39454,27054,365303,418120
2021-07-01,766118122.65311059,27512,16203,172406,257798
2021-08-01,921111990.29169275,35140,22931,177771,354909
2021-09-01,1098947832.50431330,34668,19756,168600,264969
2021-10-01,1045774637.49256626,41309,27018,213959,278828
2021-11-01,4403901504.19288661,60138,41839,425103,521285
2021-12-01,6061442599.48592020,50806,29038,304374,371254
2022-01-01,1927323331.10792238,36747,19478,209751,253650
2022-02-01,964605976.30195825,27053,14373,134542,158796
2022-03-01,1618752798.16936517,33940,20912,146769,176544
2022-04-01,1257332606.89966858,34727,20157,122209,146640
2022-05-01,1594032671.31322969,41764,19060,148738,191531
2022-06-01,700825093.21800458,25041,10155,84585,102950
2022-07-01,156866286.40702262,20469,10338,67918,86645
2022-08-01,188647133.88402204,18420,9128,60990,81009
2022-09-01,414797150.13299017,27388,10593,77433,96804
2022-10-01,183204539.66782618,19893,12361,57837,72522
2022-11-01,667497692.92458020,24740,15245,73846,98414
2022-12-01,339021274.80489659,16147,8352,46164,61294
2023-01-01,327414558.74874873,14849,7670,50561,64935
2023-02-01,475231758.74008750,15102,7370,56116,75446
2023-03-01,581073108.94269379,19103,9745,75540,112352
2023-04-01,148480451.68795782,10943,5188,36542,50963
2023-05-01,143267375.36650896,16529,11465,41163,59730
2023-06-01,168257948.40945405,15938,9777,42012,61810
2023-07-01,78363749.865476418713,14257,9780,37741,55956
2023-08-01,47922221.599175006030,11906,7316,34069,51924
2023-09-01,38687412.803976416713,10617,6329,26928,40449
2023-10-01,41672192.386018060618,10970,6714,32395,46841
2023-11-01,59398954.134763483222,12150,7153,50757,76532
2023-12-01,78943600.925684645198,16134,9941,70195,107297
2024-01-01,100419459.882288526027,31714,25334,103566,183795
2024-02-01,113562521.78647453,24517,16412,85370,133310
2024-03-01,175851311.07883673,40038,22970,125426,178369
2024-04-01,119788128.32589034,23083,15423,133434,203852
2024-05-01,83896289.780001990587,14560,8008,108744,168613
2024-06-01,75611715.026448057676,11261,5503,109881,138036
2024-07-01,61776161.933160791910,11832,5204,137708,169026
2024-08-01,70232333.369083486326,10501,5072,100954,133050
2024-09-01,58765947.155165109011,9249,4765,87446,125928
2024-10-01,68002313.167019130972,9169,4942,94726,145911
2024-11-01,117223270.23419276,11946,5988,112576,173599
2024-12-01,126287862.54670338,11762,6319,92639,141646
2025-01-01,68874945.966441672290,9923,5089,73518,110343
2025-02-01,52479241.064359539567,7804,3866,69171,104956
2025-03-01,69044395.033175800728,7183,3380,73586,106870
2025-04-01,37725794.446565186204,6649,3651,61022,98331
2025-05-01,48936337.031794244032,8302,4821,76656,127959
2025-06-01,38935142.239923415141,10337,5365,60648,95873
2025-07-01,63203097.228821497971,12903,8984,81102,136794
2025-08-01,209073311.12253294,18563,11350,91652,154339
2025-09-01,120477367.80427967,18208,12088,111619,187163
2025-10-01,119861666.86035520,22013,14426,137102,225500
2025-11-01,67304536.514582810080,18478,10658,112103,188471
2025-12-01,56782198.735847782515,18696,11552,94363,164991
2026-01-01,79533258.829091547052,18148,11264,89744,146821
2026-02-01,48685678.054461215285,18994,12087,111147,178458
2026-03-01,79456626.697063557114,13181,8451,199439,257985
2026-04-01,59243178.297849262579,42659,7424,155450,203965
2026-05-01,39100148.961815847458,11613,7147,69599,126777
2026-06-01,23031203.610172198392,14799,9857,81911,144128
2026-07-01,25230906.088240646706,20945,16230,84842,158874
2026-08-01,7434644.269168361926,7824,4335,23936,46267
