month,size_bucket,transfer_count,bucket_volume
2020-09-01,<0.01,45,0.070904924438228385000000000000000000
2020-09-01,0.01-0.1,138,7.63980106323407124500
2020-09-01,0.1-1,295,136.28004105942086634900
2020-09-01,1-10,252,1128.79915900017273370000
2020-09-01,10-100,485,21126.3368499792417737
2020-09-01,100-1000,405,177114.3605281228873636
2020-09-01,1000-10000,359,1450413.3782083655801367
2020-09-01,10000-100000,259,8901372.5450494265135378
2020-09-01,100000-1000000,39,5962922.355675472361
2020-09-01,1000000-10000000,4,20000000.000000000000
2020-10-01,<0.01,604,0.79112953004382974600000000000000
2020-10-01,0.01-0.1,212,9.29441803823313789500
2020-10-01,0.1-1,502,306.16114647855261950400
2020-10-01,1-10,1686,8153.41346941703209895400
2020-10-01,10-100,3454,143778.3407738234754462
2020-10-01,100-1000,5081,2463647.0214696316675598
2020-10-01,1000-10000,3177,12728220.2960226615651159
2020-10-01,10000-100000,1560,50399820.3288002661870342
2020-10-01,100000-1000000,264,57483840.864301424595
2020-10-01,1000000-10000000,16,31660608.932941683124
2020-11-01,<0.01,205,0.254416764934983760000000000000000000
2020-11-01,0.01-0.1,145,7.49585510141583041500
2020-11-01,0.1-1,724,413.22534169557194708500
2020-11-01,1-10,2512,11065.83453509610732106600
2020-11-01,10-100,4269,177059.6437129771528331
2020-11-01,100-1000,5071,2425173.5885915456905107
2020-11-01,1000-10000,2012,7702025.0583769076798252
2020-11-01,10000-100000,561,16355986.9446054055049875
2020-11-01,100000-1000000,63,15473331.271000286089
2020-11-01,1000000-10000000,4,7073068.536115381768
2020-12-01,<0.01,134,0.23200280571257831000000000000000
2020-12-01,0.01-0.1,170,8.60005061954732965600
2020-12-01,0.1-1,686,365.64684582466532852100
2020-12-01,1-10,2331,11554.57874556798558937000
2020-12-01,10-100,6074,239140.9836279736404115
2020-12-01,100-1000,5018,2079385.3797155951749986
2020-12-01,1000-10000,3047,9767994.9232359369993565
2020-12-01,10000-100000,1754,41170105.3109666980449504
2020-12-01,100000-1000000,162,39443712.649111104017
2020-12-01,1000000-10000000,5,9931030.832550922149
2021-01-01,<0.01,295,0.526597030417142130000000000000000000
2021-01-01,0.01-0.1,394,21.11905991420328613500
2021-01-01,0.1-1,1572,932.84877608817375841800
2021-01-01,1-10,6684,31117.43603161579150785600
2021-01-01,10-100,13485,573719.5425591753430614
2021-01-01,100-1000,11871,4109749.7756175469365546
2021-01-01,1000-10000,6781,18437358.0895505499414546
2021-01-01,10000-100000,2316,66594452.7277453098375540
2021-01-01,100000-1000000,659,165178799.846797712616
2021-01-01,1000000-10000000,8,10569137.537367358727
2021-02-01,<0.01,1440,2.819751862325701001000000000000000000
2021-02-01,0.01-0.1,1090,50.05753205136885275500
2021-02-01,0.1-1,5478,3179.78455184108864108700
2021-02-01,1-10,30593,158491.55129984387159376300
2021-02-01,10-100,87811,3884775.3263501570688523
2021-02-01,100-1000,78837,25316597.9922744487660227
2021-02-01,1000-10000,36777,127802820.0445719478561667
2021-02-01,10000-100000,11915,367392806.9271683499298004
2021-02-01,100000-1000000,5313,1605886210.136103320904
2021-02-01,1000000-10000000,94,191504979.031025364889
2021-02-01,>=10000000,2,20000000.000000000000
2021-03-01,<0.01,3652,5.230993950567530269000000000000000000
2021-03-01,0.01-0.1,2381,108.64600728941816377100
2021-03-01,0.1-1,7585,4150.97234023468272067100
2021-03-01,1-10,47652,237259.44684859781904863000
2021-03-01,10-100,106378,4411649.4537167892427152
2021-03-01,100-1000,87923,30341716.5638357616764648
2021-03-01,1000-10000,54031,180441397.6016295438368555
2021-03-01,10000-100000,20585,654429872.8873891615293300
