month,size_bucket,transfer_count,bucket_volume
2020-09-01,<0.01,2236,7.727541976811548780000000000000000000
2020-09-01,0.01-0.1,2339,113.19860730672120919000
2020-09-01,0.1-1,4289,2028.54696191441208903500
2020-09-01,1-10,5206,20095.38612470563458397800
2020-09-01,10-100,5835,213792.4329518439917919
2020-09-01,100-1000,2959,931271.1563155442185553
2020-09-01,1000-10000,484,981506.6068878534258302
2020-09-01,10000-100000,19,395655.4272918460960000
2020-10-01,<0.01,4505,15.982939607484189948000000000000000000
2020-10-01,0.01-0.1,5842,242.48001400277208186800
2020-10-01,0.1-1,6624,2792.66560518287238498000
2020-10-01,1-10,9291,27327.23395227118668066200
2020-10-01,10-100,3555,121735.3632118326628607
2020-10-01,100-1000,1600,476266.9095584421026488
2020-10-01,1000-10000,135,193632.6242237839026506
2020-11-01,<0.01,4809,15.040101030133338558000000000000000000
2020-11-01,0.01-0.1,6336,262.90559304376059272300
2020-11-01,0.1-1,6858,2628.07735751942561214600
2020-11-01,1-10,10494,28800.05156191373380209800
2020-11-01,10-100,2919,99443.5208835632720169
2020-11-01,100-1000,735,190659.2526328265268811
2020-11-01,1000-10000,51,98617.2211088052731229
2020-11-01,10000-100000,1,40559.597727525975
2020-12-01,<0.01,7326,25.010336265692627913000000000000000000
2020-12-01,0.01-0.1,11612,449.87921590822578684700
2020-12-01,0.1-1,9146,3285.47977782997425794000
2020-12-01,1-10,11918,33379.91749075516853530800
2020-12-01,10-100,3806,108426.6798795882415951
2020-12-01,100-1000,801,192888.0564945485245547
2020-12-01,1000-10000,40,103660.5905869510808442
2021-01-01,<0.01,19132,65.113835547913791453000000000000000000
2021-01-01,0.01-0.1,32350,1372.09645449716441825200
2021-01-01,0.1-1,42935,18829.47997216457322408200
2021-01-01,1-10,39269,113227.47838513563225322500
2021-01-01,10-100,6952,179641.1932483720938485
2021-01-01,100-1000,3395,1619640.6690235785134813
2021-01-01,1000-10000,2711,5758820.4352795075454529
2021-01-01,10000-100000,1,40559.597727525975
2021-02-01,<0.01,43589,166.853253434983797359000000000000000000
2021-02-01,0.01-0.1,114547,5213.82954513676769646700
2021-02-01,0.1-1,212796,88326.37534134366167839800
2021-02-01,1-10,141486,460126.90184254548718556700
2021-02-01,10-100,38865,1027756.9168144773317027
2021-02-01,100-1000,15642,8309782.2370387591828253
2021-02-01,1000-10000,28110,68702501.2853476358447064
2021-02-01,10000-100000,19,448889.2632656962920000
2021-02-01,100000-1000000,2,200000.000000000000
2021-03-01,<0.01,109236,402.359578908035132454000000000000000000
2021-03-01,0.01-0.1,202201,8452.84766859411021441500
2021-03-01,0.1-1,229485,88867.59861934099232341700
2021-03-01,1-10,147803,473528.49253596674386869000
2021-03-01,10-100,41567,1046682.1946709981083871
2021-03-01,100-1000,16178,9687208.3689595155562993
2021-03-01,1000-10000,30457,73057952.7260018946833920
2021-03-01,10000-100000,35,755490.1718834445720000
2021-04-01,<0.01,305481,951.326070110174401654000000000000000000
2021-04-01,0.01-0.1,393188,16098.94514245797162326700
2021-04-01,0.1-1,413844,161663.50463769720582399700
2021-04-01,1-10,442543,1651502.78433543810262608700
2021-04-01,10-100,289224,5718243.0834772028278774
2021-04-01,100-1000,41713,17521951.0079823391007775
2021-04-01,1000-10000,26931,63935556.6011633427148873
2021-04-01,10000-100000,451,8123082.0326712015129256
2021-04-01,100000-1000000,6,1000000.000000000000
2021-05-01,<0.01,842034,2710.112114042893113813000000000000000000
2021-05-01,0.01-0.1,859374,31060.96953061556152279700
2021-05-01,0.1-1,612481,220590.74002439604154777800
2021-05-01,1-10,483043,1728328.58467802643480095100
2021-05-01,10-100,147791,3204613.8346425007269082
2021-05-01,100-1000,15615,4396592.6183487543473896
2021-05-01,1000-10000,2587,6328498.1822978000647650
2021-05-01,10000-100000,221,4090403.3136426803266798
2021-05-01,100000-1000000,9,1178191.463251312162
2021-06-01,<0.01,330167,953.288449989385333275000000000000000000
2021-06-01,0.01-0.1,295943,11760.33649697813982584900
2021-06-01,0.1-1,308368,117814.76860730079209915900
2021-06-01,1-10,261068,846938.17247488522650801900
2021-06-01,10-100,50454,1244484.1046872174152132
2021-06-01,100-1000,8343,2740509.7921008999796068
2021-06-01,1000-10000,1264,2937016.9010552450891412
2021-06-01,10000-100000,37,849018.0781235695110000
2021-06-01,100000-1000000,2,252914.000000000000
2021-07-01,<0.01,681364,1103.958266626162063511000000000000000000
2021-07-01,0.01-0.1,277268,10910.28020577370342644500
2021-07-01,0.1-1,311629,128390.23892761388024464400
2021-07-01,1-10,196843,607858.88928690934671591600
2021-07-01,10-100,33113,855271.5177388590029635
2021-07-01,100-1000,6519,1836899.6532259303655954
2021-07-01,1000-10000,1030,1992259.3802882577617854
2021-07-01,10000-100000,21,489177.391607041254
2021-08-01,<0.01,1004555,1359.561000913066258527000000000000000000
2021-08-01,0.01-0.1,355587,13831.86426055322249757600
2021-08-01,0.1-1,394192,162178.37149496750351851000
2021-08-01,1-10,213615,607340.47444432526240218200
2021-08-01,10-100,29457,865687.4306157016590027
2021-08-01,100-1000,6108,1645184.3966097695804573
2021-08-01,1000-10000,2055,3582339.6789771839700410
2021-08-01,10000-100000,45,897523.4482758346639157
2021-09-01,<0.01,685773,1115.647835631588914564000000000000000000
2021-09-01,0.01-0.1,361969,14361.24029139029979840200
2021-09-01,0.1-1,456817,184856.15450398055245141600
2021-09-01,1-10,291060,743022.44451092656132522800
2021-09-01,10-100,34584,938733.4137424065333211
2021-09-01,100-1000,10914,3155613.4892427300404411
2021-09-01,1000-10000,1316,2581640.3192632465031943
2021-09-01,10000-100000,45,842052.1946924599100000
