month,mint_event_count,mint_transaction_count,unique_mint_recipients,raw_minted_amount,minted_volume,burn_event_count,burn_transaction_count,unique_burn_senders,raw_burned_amount,burned_volume,net_issuance,cumulative_net_issuance
2025-03-01,12,12,2,52496840000000000000000000,52496840.000000000000,2,2,1,60000000000000000000,60.0000000000000000,52496780.0000000000000000,52496780.0000000000000000
2025-04-01,37,37,2,2060982200000000000000000000,2060982200.00000000,2,2,1,149999900000000000000,149.9999000000000000,2060982050.0001000000000000,2113478830.0001000000000000
2025-05-01,79,69,2,40594453503150096518983670,40594453.503150096519,22,22,2,1615612019903762340178833,1615612.019903762340,38978841.483246334179,2152457671.4833463341790000
2025-06-01,99,96,1,29135855958144904979597963,29135855.958144904980,44,44,1,25074861587188319941235995,25074861.587188319941,4060994.370956585039,2156518665.8543029192180000
2025-07-01,99,96,1,22052114885330257373695194,22052114.885330257374,70,70,1,71666110029264214352488646,71666110.029264214352,-49613995.143933956978,2106904670.7103689622400000
2025-08-01,133,126,1,43069177978001958897215002,43069177.978001958897,76,76,1,16304908013079812493873132,16304908.013079812494,26764269.964922146403,2133668940.6752911086430000
2025-09-01,148,142,1,9221723846592389562064582,9221723.846592389562,104,104,1,11414502864909275366308046,11414502.864909275366,-2192779.018316885804,2131476161.6569742228390000
2025-10-01,451,442,1,40639519662806402253717375,40639519.662806402254,316,316,1,184309189223337892041561644,184309189.22333789,-143669669.560531487746,1987806492.0964427350930000
2025-11-01,560,559,1,57595549053864557289495388,57595549.053864557289,252,252,1,182277469679230841413059544,182277469.67923084,-124681920.625366282711,1863124571.4710764523820000
2025-12-01,781,758,1,89528371680252067802074981,89528371.680252067802,342,342,1,36539753855881362948743623,36539753.855881362949,52988617.824370704853,1916113189.2954471572350000
2026-01-01,878,849,1,319739600170957166121381433,319739600.17095717,823,823,1,256852244417656570162041226,256852244.41765657,62887355.75330060,1979000545.0487477572350000
2026-02-01,370,359,1,52386525283118783027172211,52386525.283118783027,348,348,1,167478517640482217684704793,167478517.64048222,-115091992.357363436973,1863908552.6913843202620000
2026-03-01,126,124,1,5614369136514832197035590,5614369.136514832197,191,191,1,34784027243829774648167822,34784027.243829774648,-29169658.107314942451,1834738894.5840693778110000
2026-04-01,134,132,1,61054027103176792687399687,61054027.103176792687,107,107,1,69581370879292053330547990,69581370.879292053331,-8527343.776115260644,1826211550.8079541171670000
2026-05-01,120,119,1,4461070381472285310650258,4461070.381472285311,106,106,1,41911104919854888130822749,41911104.919854888131,-37450034.538382602820,1788761516.2695715143470000
2026-06-01,98,98,1,109533198986572375582798725,109533198.98657238,92,92,1,95640578040627902946230305,95640578.040627902946,13892620.945944477054,1802654137.2155159914010000
2026-07-01,22,21,1,1281068590719349569359816,1281068.590719349569,114,114,1,392682548393091493120839672,392682548.39309149,-391401479.802372140431,1411252657.4131438509700000
2026-08-01,19,19,1,3127033418274949755362817,3127033.418274949755,15,15,1,4366387596505111062096633,4366387.596505111062,-1239354.178230161307,1410013303.2349136896630000
