month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2025-03-01,197971892.81525000,18,18,62,62
2025-04-01,7241091003.09723084,2774,2770,59513,115973
2025-05-01,10686174472.27539493,74557,74010,2629473,4660196
2025-06-01,43365338814.63060582,2610027,2585137,16760531,25041097
2025-07-01,32578757187.86571605,1586284,1315877,15967840,25749381
2025-08-01,16712553061.48788217,784203,729941,8807590,13827256
2025-09-01,14113507046.64100143,568781,449460,4941338,8819996
2025-10-01,12677726226.15930907,515205,440477,7434469,13417241
2025-11-01,8712257700.41675758,260689,184195,6376665,12820272
2025-12-01,8338848713.74530132,158634,137654,4402515,10346985
2026-01-01,15848262945.72386093,435611,402666,11673341,30640176
2026-02-01,7443485918.35541151,132749,107272,8214313,17244111
2026-03-01,5995762297.16753296,110086,84174,6224214,13808224
2026-04-01,5644329697.59514399,89358,34420,4598823,9548410
2026-05-01,8087646338.06685341,68345,38745,5433546,9388740
2026-06-01,12062787493.36257510,85569,52757,4055782,6781580
2026-07-01,9799270745.54926334,71177,42795,5305585,10081956
2026-08-01,6415222334.24264421,36321,17492,2337146,5315301
