month,user_rank,address_id,address,outgoing_transfer_count,outgoing_transaction_count,raw_outgoing_volume,outgoing_volume
2025-03-01,1,-7507765907,9006902c4a913a7e29dbb5bf8da9a9344d231f33,9,9,52496741000000000000000000,52496741.000000000000
2025-03-01,2,-7505172725,295a858f0938bc8127fe24f8116722cf253b618e,11,11,52496740000000000000000000,52496740.000000000000
2025-03-01,3,-7474897203,81e485b1ad303a7b2a0bfec8cc77e638a910f477,18,18,52495575120000000000000000,52495575.120000000000
2025-03-01,4,-354615681,dbf5e9c5206d0db70a90108bf936da60221dc080,9,9,40482560795350000000000000,40482560.795350000000
2025-03-01,5,-7320291920,39c32fc16fe8e1bcbd0c7ff266c9c78e0d187070,2,2,150000000000000000000,150.0000000000000000
2025-03-01,6,-7494472585,97b0351ef890312e5ebf68a85ded7aebdcc1f289,7,7,113349900000000000000,113.3499000000000000
2025-03-01,7,-3910071502,5c425b866171132b5aab1a52c4abbf2a8153f0a6,1,1,10000000000000000000,10.0000000000000000
2025-03-01,8,-7497708259,40fcbbdcdd59f67bb522192bcf0360a15ace843a,2,2,1230000000000000000,1.2300000000000000
2025-03-01,9,-7502781796,53e12f2e0a5bed5f11135d3358c7fa5b43559eed,1,1,1000000000000000000,1.00000000000000000000
2025-03-01,10,-7501271071,b7f378c381c0a72404b55538b18ce431b355a015,1,1,200000000000000000,0.20000000000000000000
2025-03-01,11,-7497586711,adf2a7db4c787644aa604d8eb5c0148f8ecd2d7c,1,1,120000000000000000,0.12000000000000000000
2025-04-01,1,-7507765907,9006902c4a913a7e29dbb5bf8da9a9344d231f33,36,36,2060982149999900000000000000,2060982149.99990000
2025-04-01,2,-7474897203,81e485b1ad303a7b2a0bfec8cc77e638a910f477,39,39,2060980149999900000000000000,2060980149.99990000
2025-04-01,3,-7763140425,0d190b74308669e8f4fe7dbce3466169b285289d,24,24,1999999400000000000000000000,1999999400.00000000
2025-04-01,4,-7729430833,9c4ee895e4f6ce07ada631c508d1306db7502cce,27740,27488,227368310757645944971760650,227368310.75764594
2025-04-01,5,-7719155142,ba53da030f3504db8cf0309bb89791950d0ce5e6,12327,12327,220895124016023031374677006,220895124.01602303
2025-04-01,6,-7727875212,3d7c319090edf2293608a0f9a786317c66d320f8,17243,16995,156761331694232702713694590,156761331.69423270
2025-04-01,7,-7729457161,4a3218606af9b4728a9f187e1c1a8c07fbc172a9,12426,12372,75973306482503418673242996,75973306.482503418673
2025-04-01,8,-7505172725,295a858f0938bc8127fe24f8116722cf253b618e,13,13,60982749999900000000000000,60982749.999900000000
2025-04-01,9,-6482104014,63bb8d3cb8d61e094cae85e30d0f3c9d96552758,6310,6310,37757660075598728896213945,37757660.075598728896
2025-04-01,10,-7731087122,fa27f172e0b6ebcef9c51abf817e2cb142fbe627,28,28,36002532527201889225246451,36002532.527201889225
2025-04-01,11,-6428211755,2b168756627546c0e4b799adfa874592c68c1596,1795,1795,30113146959754788646738054,30113146.959754788647
2025-04-01,12,-7709741430,ac3e216bd55860912062a4027a03b99587b7ffc7,1,1,20000000000000000000000000,20000000.000000000000
2025-04-01,13,-7707790852,8f73b65b4caaf64fba2af91cc5d4a2a1318e5d8c,126,126,18015591355985371647725481,18015591.355985371648
2025-04-01,14,-7748487085,3119c0ef175e0ce6ae15ecfc75aed0b39db4983b,6174,6173,16789161603004618913236324,16789161.603004618913
2025-04-01,15,-7709735133,142de4ca2506e4825e6791f14aab0c7046ec4bac,3,3,15490724319472413830951930,15490724.319472413831
2025-04-01,16,-7565898622,21bc3de3de5a774a6f0c5805729e8290b8bdc9da,2594,2216,15046002242846401458221703,15046002.242846401458
2025-04-01,17,-7296506984,2d3b5ca3e5ff50b12cd9d58216abaaa6b3836443,2855,2855,12581729036531330235595566,12581729.036531330236
2025-04-01,18,-7523356617,d5babf99197bd045c85416ce114b6a4fe6e55340,3010,3008,11974795897601960533879897,11974795.897601960534
2025-04-01,19,-7789744739,7b1f9eb7ab8cbdb1ce2cd96d74234c75c2fd028c,618,618,11008006618778802186732654,11008006.618778802187
2025-04-01,20,-4375244484,53c902a9ef069f3b85e5e71f918c4d582f3063fa,7,7,10990100000000000000000000,10990100.000000000000
2025-04-01,21,-3832641739,46a15b0b27311cedf172ab29e4f4766fbe7f4364,6,6,10035593868029619381376523,10035593.868029619381
2025-04-01,22,-7081291011,de9e4fe32b049f821c7f3e9802381aa470ffca73,884,874,9056311007888717428917147,9056311.007888717429
2025-04-01,23,-6823873965,f6687cd56aec1a0faaba12feb6781398ab47fb21,533,533,7353474570041442254863618,7353474.570041442255
2025-04-01,24,-7728788067,11db6b4d1c7d71e37642f6a99a7bea9ed3d95c7f,6,6,7116806802388460921001066,7116806.802388460921
2025-04-01,25,-7747084027,b8d309c93f7de9ce6ed3d35322db8aee32da54bb,1076,1060,6963779109425642436143747,6963779.109425642436
2025-04-01,26,-7215968439,1546846a0aa3d2a4b2077f2e01dd4f3ea33d81df,890,890,6189318030712516925105101,6189318.030712516925
2025-04-01,27,-6892062528,27f9f6fda8f78bc50c8f51289114f727b8c0a8b8,838,838,6050802469890258561574057,6050802.469890258562
2025-04-01,28,-7693059068,6de001b0ff93cce7ef601cf08fc121a57840d21f,3,3,5900235770000000000000000,5900235.770000000000
2025-04-01,29,-7732964871,8d52f20bba3c115ffb2ed7dd51c1bf81a60207df,5,5,5900000000000000000000000,5900000.000000000000
2025-04-01,30,-5961024733,bb5cbb0d8bdc8dee1485f6e1d22449da3d34d45d,704,700,5335347472430096065938475,5335347.472430096066
2025-04-01,31,-7729096770,471ce75662042bbc0a6ddcf6740d72ede2e89150,5,5,5000235770000000000000000,5000235.770000000000
2025-04-01,32,-7729109345,745803479a46e322050dec05f3c8d31b6a33ce7a,16,9,4999999999999999999999994,5000000.000000000000
2025-04-01,33,-7743593652,38827ace2e1ecc73308ced353b902653e3862478,2,2,4990100000000000000000000,4990100.000000000000
2025-04-01,34,-5900054524,863cb59042b240e70add7378e166bbd9efdc7b66,753,716,4744237695678327086531999,4744237.695678327087
2025-04-01,35,-7764732919,22444f9024367c1313613d54efa31f0aaf8627d7,776,734,3982455202101622439413346,3982455.202101622439
2025-04-01,36,-7475189240,0e79965061804b830069d6789fded3f4c3313807,2356,2356,2273791374059124190604042,2273791.374059124191
2025-04-01,37,-7418560900,9f96e3e9f7a944ae8e7bd3b3edf11f0cb40e8d27,149,149,2148208970286674853206176,2148208.970286674853
2025-04-01,38,-7784414918,300fae00cf91a346d0bd3186d225de834788b33a,313,313,2060499894801551143692009,2060499.894801551144
2025-04-01,39,-7799923858,6243f09b5a35c9737cd17c833784c32b1dfd5dd8,328,321,2008650462982554207617777,2008650.462982554208
2025-04-01,40,-7730482647,09ee15899534d4c71fdf53026c486219f07c2390,445,445,2000000000000000000000000,2000000.000000000000
2025-04-01,41,-7742404853,195403a877f8ac59e7818f2c390d4037789f14a0,332,332,1984160511792637414540001,1984160.511792637415
2025-04-01,42,-7144481073,b693c5df79e4bf2758261fe1a3445bcfaf578983,176,173,1715104706217156520223976,1715104.706217156520
2025-04-01,43,-6727098872,a59452081c357a60956eb8bd83303da678d0b0d9,300,300,1695287798714068604414497,1695287.798714068604
