month,size_bucket,transfer_count,bucket_volume
2025-03-01,<0.01,1,0.000100000000000000000000
2025-03-01,0.01-0.1,1,0.01990000000000000000
2025-03-01,0.1-1,5,0.64000000000000000000
2025-03-01,1-10,11,15.36000000000000000000
2025-03-01,10-100,14,414.9999000000000000
2025-03-01,100-1000,4,400.0000000000000000
2025-03-01,1000-10000,2,2000.0000000000000000
2025-03-01,100000-1000000,4,3998190.202400000000
2025-03-01,1000000-10000000,14,84988786.799850000000
2025-03-01,>=10000000,6,108982084.793100000000
2025-04-01,<0.01,214,0.948506488896546507000000000000000000
2025-04-01,0.01-0.1,814,42.54734298683271046300
2025-04-01,0.1-1,1334,711.65848203141795636000
2025-04-01,1-10,5398,15879.14109373709518374700
2025-04-01,10-100,4596,187861.8112932322798653
2025-04-01,100-1000,13432,6431072.6551306755434072
2025-04-01,1000-10000,64214,306674371.4669177817013734
2025-04-01,10000-100000,25675,558943019.8277618676327087
2025-04-01,100000-1000000,176,35964919.749743381854
2025-04-01,1000000-10000000,38,145846612.064341081553
2025-04-01,>=10000000,80,6187026511.226617575396
2025-05-01,<0.01,130503,361.772026391788827306000000000000000000
2025-05-01,0.01-0.1,230659,10854.64371591832798218300
2025-05-01,0.1-1,334714,132578.13371151290948174600
2025-05-01,1-10,466345,1997252.81009448224451725900
2025-05-01,10-100,1302718,65448452.2786174798876334
2025-05-01,100-1000,1607659,555154599.3258144381102652
2025-05-01,1000-10000,431880,1261381362.0806080463454532
2025-05-01,10000-100000,139134,3856771422.2210559104288948
2025-05-01,100000-1000000,1168,297618213.137065930690
2025-05-01,1000000-10000000,124,269863227.168484821435
2025-05-01,>=10000000,29,4377796148.704200000000
2025-06-01,<0.01,629756,1342.330094504827235325000000000000000000
2025-06-01,0.01-0.1,732083,29769.40150394010483815600
2025-06-01,0.1-1,1042144,349784.55810366477499279100
2025-06-01,1-10,1949781,8664164.23745642222291121700
2025-06-01,10-100,7620468,259191225.5127472872835956
2025-06-01,100-1000,6323247,2619500446.0477030690584867
2025-06-01,1000-10000,5272690,15526139812.6428285724664597
2025-06-01,10000-100000,603122,14114517299.4580101536770263
2025-06-01,100000-1000000,12807,1679421229.475820793212
2025-06-01,1000000-10000000,1714,7058681726.788610101673
2025-06-01,>=10000000,21,2098842014.177727310000
2025-07-01,<0.01,401824,1110.341032479093580032000000000000000000
2025-07-01,0.01-0.1,520904,19889.96203487704088906500
2025-07-01,0.1-1,1013560,479895.67820461041016526200
2025-07-01,1-10,1893689,8759604.32831912924541820500
2025-07-01,10-100,5530807,277111232.9773656979235802
2025-07-01,100-1000,9460610,3686014583.7915576817701511
2025-07-01,1000-10000,5484306,14593494074.7817582432713990
2025-07-01,10000-100000,496792,10363534279.1639034931075534
2025-07-01,100000-1000000,6132,1488019953.585411170108
2025-07-01,1000000-10000000,447,1135072801.876973020332
2025-07-01,>=10000000,47,1026249761.379155649658
2025-08-01,<0.01,290982,512.458437210130006122000000000000000000
2025-08-01,0.01-0.1,199618,8206.32764354512022692000
2025-08-01,0.1-1,765698,362336.70066208749873019000
2025-08-01,1-10,1200331,5632435.31586286583796375700
2025-08-01,10-100,3470602,172256543.4185812582937904
2025-08-01,100-1000,5252548,1981382323.9965869306856065
2025-08-01,1000-10000,1876832,4729279302.2100027615256378
2025-08-01,10000-100000,381235,6680143374.6946213206189672
2025-08-01,100000-1000000,5531,1226561135.588095796804
2025-08-01,1000000-10000000,425,1082096893.280361795682
2025-08-01,>=10000000,33,834829997.497026597318
2025-09-01,<0.01,243874,372.546171578839614806000000000000000000
2025-09-01,0.01-0.1,375887,13737.10609883612206108400
2025-09-01,0.1-1,624552,296390.24290970145653575000
2025-09-01,1-10,802110,3475293.39281712822522834800
2025-09-01,10-100,2312419,112420635.5541045095303169
2025-09-01,100-1000,2819020,1003143760.7709585107791249
2025-09-01,1000-10000,1023323,2890540507.4828542737673347
2025-09-01,10000-100000,275151,6201369648.0937374224909200
2025-09-01,100000-1000000,6666,1488479679.645739513330
2025-09-01,1000000-10000000,401,1050585783.293848103093
2025-09-01,>=10000000,48,1363181238.511761856905
2025-10-01,<0.01,194549,493.504737619845189869000000000000000000
2025-10-01,0.01-0.1,352708,18255.55283048173178012500
2025-10-01,0.1-1,1261096,605943.73964012465988401800
2025-10-01,1-10,1196198,5610657.83564564265953484800
2025-10-01,10-100,4570274,222225159.2332678743775052
2025-10-01,100-1000,4788651,1358583236.5521508572811323
2025-10-01,1000-10000,538644,1379558950.0075779162774595
2025-10-01,10000-100000,221344,6487745585.6392887894712286
2025-10-01,100000-1000000,3855,867605164.016995748004
2025-10-01,1000000-10000000,378,1125995312.392295551725
2025-10-01,>=10000000,72,1229777467.684878462671
2025-11-01,<0.01,120768,401.516741890232255638000000000000000000
2025-11-01,0.01-0.1,331172,16829.76681061918955392300
2025-11-01,0.1-1,311177,179620.83898335652344240800
2025-11-01,1-10,1097523,5501252.37220831502139750300
2025-11-01,10-100,4472682,221919706.1827310704389693
2025-11-01,100-1000,5546692,1535330367.0541769437525043
2025-11-01,1000-10000,584496,1428649613.1941289262908813
2025-11-01,10000-100000,195686,3731207795.3227038612113064
2025-11-01,100000-1000000,3669,715188924.533047066228
2025-11-01,1000000-10000000,226,678311189.235143487298
2025-11-01,>=10000000,31,395952000.400082041688
2025-12-01,<0.01,225513,696.053482656462562080000000000000000000
2025-12-01,0.01-0.1,269415,9519.23991629515213506700
2025-12-01,0.1-1,326113,164808.09427961731490185200
2025-12-01,1-10,1313127,6570762.68335953302239269000
2025-12-01,10-100,4384283,202451790.2086156444079208
2025-12-01,100-1000,3433152,894732955.3618415260469275
2025-12-01,1000-10000,212975,526320707.9470285664250648
2025-12-01,10000-100000,126777,2667455173.9445662066078299
2025-12-01,100000-1000000,3999,947770904.353073441070
2025-12-01,1000000-10000000,395,1033894941.770914922907
2025-12-01,>=10000000,38,2059476454.088222914265
2026-01-01,<0.01,1306120,2828.591485767422763353000000000000000000
2026-01-01,0.01-0.1,1095003,48932.52174932819720902400
2026-01-01,0.1-1,1490541,710027.72020122386002950700
2026-01-01,1-10,4435796,23024842.92021222553366860200
2026-01-01,10-100,10810085,492635451.3361458038664621
2026-01-01,100-1000,9682427,3181360537.0942409186806355
2026-01-01,1000-10000,1438086,3508117943.9913717097936025
2026-01-01,10000-100000,130117,2961310679.3346544903545882
2026-01-01,100000-1000000,5693,1411082812.820588750669
2026-01-01,1000000-10000000,741,2461202756.340998857620
2026-01-01,>=10000000,72,1808766133.052211857566
2026-02-01,<0.01,612888,1671.400195724701990386000000000000000000
2026-02-01,0.01-0.1,574306,21487.59866380566146692300
2026-02-01,0.1-1,692108,326037.27091798413666461600
2026-02-01,1-10,2721622,13902002.62278918892564821800
2026-02-01,10-100,7273401,309958375.5778703722658942
2026-02-01,100-1000,4804210,1452149396.9912262514771487
2026-02-01,1000-10000,498385,1050017247.2943284526189184
2026-02-01,10000-100000,26853,815084791.1941051433825116
2026-02-01,100000-1000000,2758,759269788.251141886898
2026-02-01,1000000-10000000,434,1216271372.209147263399
2026-02-01,>=10000000,58,1826483747.945025440101
2026-03-01,<0.01,1050380,2453.951317106002012843000000000000000000
2026-03-01,0.01-0.1,638239,26691.73723097792423956200
2026-03-01,0.1-1,839886,396753.96456635215296515400
2026-03-01,1-10,2710792,12917629.98083269534671901200
2026-03-01,10-100,5469313,226550175.4803967938369444
2026-03-01,100-1000,2789411,792939660.7534741573590791
2026-03-01,1000-10000,272653,637046189.1774057944371364
2026-03-01,10000-100000,15186,475220568.8026769102444594
2026-03-01,100000-1000000,2154,542043693.711865823900
2026-03-01,1000000-10000000,395,1080958319.978823914333
2026-03-01,>=10000000,53,2227660159.628942430918
2026-04-01,<0.01,390380,1601.078382433497535014000000000000000000
2026-04-01,0.01-0.1,277135,11195.03534710511649510600
2026-04-01,0.1-1,508005,262914.40243951079823934800
2026-04-01,1-10,1965739,9263296.20074070972595432000
2026-04-01,10-100,4043852,177342546.7378633147379267
2026-04-01,100-1000,2205121,581563703.4922986286347696
2026-04-01,1000-10000,124228,278313774.2713310856227920
2026-04-01,10000-100000,18585,594255220.5568386196081791
2026-04-01,100000-1000000,2318,521214155.687050101253
2026-04-01,1000000-10000000,529,1776696246.846977300782
2026-04-01,>=10000000,58,1705405043.285875172975
2026-05-01,<0.01,323416,844.290904214416793228000000000000000000
2026-05-01,0.01-0.1,281169,12104.63884529587438749500
2026-05-01,0.1-1,442609,202435.66644349846307379500
2026-05-01,1-10,1316527,6688608.28411930551077497300
2026-05-01,10-100,3269960,144594287.2690030796321195
2026-05-01,100-1000,3426009,1063947715.4262982154603929
2026-05-01,1000-10000,284374,595252667.3906102251919808
2026-05-01,10000-100000,24906,806130691.9414674827526153
2026-05-01,100000-1000000,4862,1284879316.274898319649
2026-05-01,1000000-10000000,725,1831924179.184284351402
2026-05-01,>=10000000,39,2354013487.699979417708
2026-06-01,<0.01,214552,465.618296560489905635000000000000000000
2026-06-01,0.01-0.1,139522,6034.37384497497739311200
2026-06-01,0.1-1,307187,157870.15527483076404189600
2026-06-01,1-10,1156047,5671258.71627723547336112600
2026-06-01,10-100,2758400,117861417.3915287700006067
2026-06-01,100-1000,1916056,524673047.2808668516100751
