month,newly_adopted_addresses
2020-10-01,548
2020-11-01,1398
2020-12-01,2384
2021-01-01,4813
2021-02-01,18504
2021-03-01,35978
2021-04-01,71711
2021-05-01,84317
2021-06-01,83140
2021-07-01,116165
2021-08-01,75527
2021-09-01,119220
2021-10-01,121768
2021-11-01,125268
2021-12-01,120372
2022-01-01,124808
2022-02-01,70667
2022-03-01,86116
2022-04-01,90567
2022-05-01,192689
2022-06-01,143748
2022-07-01,84928
2022-08-01,63877
2022-09-01,55799
2022-10-01,48186
2022-11-01,85840
2022-12-01,93595
2023-01-01,106146
2023-02-01,152497
2023-03-01,232675
2023-04-01,160524
2023-05-01,234261
2023-06-01,261467
2023-07-01,224502
2023-08-01,171502
2023-09-01,121584
2023-10-01,145614
2023-11-01,148752
2023-12-01,159796
2024-01-01,203596
2024-02-01,147107
2024-03-01,248498
2024-04-01,231130
2024-05-01,243694
2024-06-01,187159
2024-07-01,254755
2024-08-01,162085
2024-09-01,237007
2024-10-01,209285
2024-11-01,210290
2024-12-01,347973
2025-01-01,492098
2025-02-01,296331
2025-03-01,308241
2025-04-01,327591
2025-05-01,608472
2025-06-01,530784
2025-07-01,654807
2025-08-01,663656
2025-09-01,646646
2025-10-01,776575
2025-11-01,586164
2025-12-01,617989
2026-01-01,631360
2026-02-01,1074295
2026-03-01,848827
2026-04-01,541245
2026-05-01,588830
2026-06-01,737454
2026-07-01,664663
2026-08-01,265003
