month,mint_event_count,mint_transaction_count,unique_mint_recipients,raw_minted_amount,minted_volume,burn_event_count,burn_transaction_count,unique_burn_senders,raw_burned_amount,burned_volume,net_issuance,cumulative_net_issuance
2020-10-01,2,2,2,11000000000000000000000000,11000000.000000000000,0,0,0,0,0E-36,11000000.000000000000000000000000000000000000,11000000.000000000000000000000000000000000000
2020-11-01,1,1,1,3000000000000000000000000,3000000.000000000000,0,0,0,0,0E-36,3000000.000000000000000000000000000000000000,14000000.000000000000000000000000000000000000
2020-12-01,2,2,1,10000000000000000000000000,10000000.000000000000,0,0,0,0,0E-36,10000000.000000000000000000000000000000000000,24000000.000000000000000000000000000000000000
2021-02-01,16,16,1,155000000000000000000000000,155000000.00000000,0,0,0,0,0E-36,155000000.000000000000000000000000000000000000,179000000.000000000000000000000000000000000000
2021-03-01,11,11,1,1100000000000000000000000000,1100000000.00000000,1,1,1,2495718956,2.4957189560000000000E-9,1099999999.9999999975042810440000000000,1278999999.999999997504281044000000000000000000
2021-04-01,5,5,1,500000000000000000000000000,500000000.00000000,0,0,0,0,0E-36,500000000.000000000000000000000000000000000000,1778999999.999999997504281044000000000000000000
2022-05-01,1,1,1,100000000000000000000000000,100000000.000000000000,0,0,0,0,0E-36,100000000.000000000000000000000000000000000000,1878999999.999999997504281044000000000000000000
2022-08-01,0,0,0,0,0E-36,1,1,1,700000000000000000000000000,700000000.00000000,-700000000.000000000000000000000000000000000000,1178999999.999999997504281044000000000000000000
2022-09-01,0,0,0,0,0E-36,1,1,1,150000000000000000,0.15000000000000000000,-0.150000000000000000000000000000000000,1178999999.849999997504281044000000000000000000
2022-11-01,0,0,0,0,0E-36,1,1,1,300000000000000000000000000,300000000.00000000,-300000000.000000000000000000000000000000000000,878999999.849999997504281044000000000000000000
2022-12-01,0,0,0,0,0E-36,1,1,1,95970057741502,0.000095970057741502000000,-0.000095970057741502000000000000000000,878999999.849904027446539542000000000000000000
2023-02-01,0,0,0,0,0E-36,1,1,1,100000000000000000000000000,100000000.000000000000,-100000000.000000000000000000000000000000000000,778999999.849904027446539542000000000000000000
2023-04-01,0,0,0,0,0E-36,1,1,1,0,0E-36,0E-36,778999999.849904027446539542000000000000000000
2023-05-01,0,0,0,0,0E-36,3,3,3,250000000000000000000000000,250000000.00000000,-250000000.000000000000000000000000000000000000,528999999.849904027446539542000000000000000000
2023-07-01,0,0,0,0,0E-36,2,2,1,100000000000000000000000000,100000000.000000000000,-100000000.000000000000000000000000000000000000,428999999.849904027446539542000000000000000000
2023-10-01,0,0,0,0,0E-36,1,1,1,1,1.000000000000000000E-18,-1.000000000000000000E-18,428999999.849904027446539541000000000000000000
2024-01-01,1,1,1,20000000000000000000000000,20000000.000000000000,0,0,0,0,0E-36,20000000.000000000000000000000000000000000000,448999999.849904027446539541000000000000000000
2024-03-01,1,1,1,100000000000000000000000000,100000000.000000000000,0,0,0,0,0E-36,100000000.000000000000000000000000000000000000,548999999.849904027446539541000000000000000000
2024-04-01,0,0,0,0,0E-36,1,1,1,10000000000000000,0.01000000000000000000,-0.010000000000000000000000000000000000,548999999.839904027446539541000000000000000000
2024-10-01,0,0,0,0,0E-36,1,1,1,100000000000000,0.000100000000000000000000,-0.000100000000000000000000000000000000,548999999.839804027446539541000000000000000000
2024-12-01,1,1,1,150000000000000000000000000,150000000.00000000,0,0,0,0,0E-36,150000000.000000000000000000000000000000000000,698999999.839804027446539541000000000000000000
2025-03-01,1,1,1,50000000000000000000000000,50000000.000000000000,0,0,0,0,0E-36,50000000.000000000000000000000000000000000000,748999999.839804027446539541000000000000000000
2025-04-01,2,2,1,150000000000000000000000000,150000000.00000000,0,0,0,0,0E-36,150000000.000000000000000000000000000000000000,898999999.839804027446539541000000000000000000
2025-05-01,1,1,1,100000000000000000000000000,100000000.000000000000,2,2,2,20000000000000000000,20.0000000000000000,99999980.0000000000000000,998999979.839804027446539541000000000000000000
2025-06-01,0,0,0,0,0E-36,3,3,1,30000000000,3.0000000000000000E-8,-3.0000000000000000000000000000E-8,998999979.839803997446539541000000000000000000
2025-07-01,0,0,0,0,0E-36,1,1,1,10000000000,1.00000000000000000000E-8,-1.0000000000000000000000000000E-8,998999979.839803987446539541000000000000000000
2025-08-01,1,1,1,50000000000000000000000000,50000000.000000000000,57,57,22,0,0E-36,50000000.000000000000000000000000000000000000,1048999979.839803987446539541000000000000000000
2025-09-01,1,1,1,90000000000000000000000000,90000000.000000000000,16,16,9,0,0E-36,90000000.000000000000000000000000000000000000,1138999979.839803987446539541000000000000000000
2025-10-01,0,0,0,0,0E-36,8,8,6,100000000000000000000,100.0000000000000000,-100.000000000000000000000000000000000000,1138999879.839803987446539541000000000000000000
2025-11-01,1,1,1,150000000000000000000000000,150000000.00000000,1,1,1,0,0E-36,150000000.000000000000000000000000000000000000,1288999879.839803987446539541000000000000000000
2025-12-01,0,0,0,0,0E-36,1,1,1,0,0E-36,0E-36,1288999879.839803987446539541000000000000000000
2026-01-01,0,0,0,0,0E-36,8,8,5,0,0E-36,0E-36,1288999879.839803987446539541000000000000000000
2026-03-01,0,0,0,0,0E-36,4,4,1,400000000000000000,0.40000000000000000000,-0.400000000000000000000000000000000000,1288999879.439803987446539541000000000000000000
2026-06-01,2,2,1,300000000000000000000000000,300000000.00000000,1,1,1,1000000000000000000,1.00000000000000000000,299999999.00000000000000000000,1588999878.439803987446539541000000000000000000
2026-07-01,0,0,0,0,0E-36,3,3,2,1000000000000000000,1.00000000000000000000,-1.000000000000000000000000000000000000,1588999877.439803987446539541000000000000000000
