month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2020-10-01,65148967.182295358506,548,548,3656,3882
2020-11-01,182237757.41673586,1596,1398,12888,13322
2020-12-01,426263579.72782975,2977,2384,21004,23890
2021-01-01,392164806.47218729,5774,4813,38702,47691
2021-02-01,82998679217.91279851,20272,18504,148554,280537
2021-03-01,195404386015.73028466,43783,35978,241518,457182
2021-04-01,340979126693.76377749,88437,71711,551646,881924
2021-05-01,24979166938.91132281,111112,84317,666892,867611
2021-06-01,12125512864.30070642,120349,83140,837588,1123306
2021-07-01,8034190741.96684858,161490,116165,807738,1055789
2021-08-01,9408615456.16922434,125490,75527,799250,1129818
2021-09-01,9381050655.44439316,188213,119220,972496,1449169
2021-10-01,8826445469.76415270,185679,121768,1088693,1491494
2021-11-01,9570931523.53267790,200539,125268,1325623,1758453
2021-12-01,9727780841.86031821,201882,120372,1178413,1562958
2022-01-01,10654993563.94265452,206192,124808,1161788,1467133
2022-02-01,10836426902.89381569,140744,70667,794121,976706
2022-03-01,16801979865.63558674,161914,86116,995653,1254013
2022-04-01,13503702348.96057370,171730,90567,1160587,1451313
2022-05-01,21149993060.64331877,295019,192689,2773858,3141335
2022-06-01,15068554182.17533508,305357,143748,2699411,2979467
2022-07-01,14893905178.66791950,208597,84928,1482584,1703165
2022-08-01,9321737813.80992327,163187,63877,917995,1196264
2022-09-01,8564305133.44117947,141652,55799,724778,951564
2022-10-01,4147351156.13881882,126900,48186,597249,861592
2022-11-01,7719906236.33068517,207543,85840,797919,1119056
2022-12-01,4531946660.56502815,168563,93595,574610,994933
2023-01-01,3422016110.04591632,185027,106146,824254,1583563
2023-02-01,4355297208.19357922,239019,152497,867237,1462691
2023-03-01,9308381760.37076198,387191,232675,1207213,2049161
2023-04-01,5924189429.80019382,245443,160524,902516,1477192
2023-05-01,5907894426.38349518,318560,234261,1114442,1888596
2023-06-01,4854793994.64492860,380363,261467,1534935,2409718
2023-07-01,3109417374.46446200,371017,224502,1315043,2221591
2023-08-01,3404237376.88141063,300539,171502,979066,1827411
2023-09-01,2498323983.17564717,227017,121584,752206,1625249
2023-10-01,3138606796.42014480,260021,145614,883323,1906534
2023-11-01,3973682200.15607127,251951,148752,1160581,2375667
2023-12-01,6803636201.61536080,282461,159796,1400473,2783307
2024-01-01,7840112392.55827923,327716,203596,1504853,2709341
2024-02-01,8356143231.77576941,267219,147107,1162212,1926142
2024-03-01,15429934243.68403685,397884,248498,2034574,3169502
2024-04-01,11414244374.45187830,365950,231130,2451693,4269114
2024-05-01,7233226557.51478545,367502,243694,1974385,3332302
2024-06-01,8165378573.23203320,326066,187159,1744612,2434704
2024-07-01,6511788268.58977800,388655,254755,1952962,2634180
2024-08-01,8943118757.38410750,267055,162085,1622943,2209250
2024-09-01,7101512626.16647106,335523,237007,1334937,2025189
2024-10-01,9338134391.87642991,324892,209285,1992315,3522267
2024-11-01,14890348894.32636325,384383,210290,2417885,4024925
2024-12-01,16101071970.59425963,532136,347973,2673863,4056704
2025-01-01,13592498599.54604585,687142,492098,2945303,4529753
2025-02-01,17199250482.06476224,506322,296331,2895824,5136972
2025-03-01,14405275229.01092681,524263,308241,3064383,5558956
2025-04-01,9868648730.83593310,560825,327591,3069643,5350364
2025-05-01,54596963858.60823881,870949,608472,21964786,48484909
2025-06-01,53563244128.07946122,850378,530784,22877067,45247305
2025-07-01,25236021862.41766458,979149,654807,17558928,28858931
2025-08-01,27314034466.16238340,1034290,663656,18787879,30035339
2025-09-01,38200835526.10826489,1109134,646646,27057303,47599383
2025-10-01,49434684676.59449329,1324509,776575,37070055,74178871
2025-11-01,28559792082.11370690,1145805,586164,26091049,45565560
2025-12-01,24480339293.72104180,1042181,617989,19318847,35898430
2026-01-01,27658729306.40134034,1053457,631360,20314913,39272684
2026-02-01,21073519260.35735779,1451740,1074295,16568712,29664771
2026-03-01,20577741539.46693416,1231325,848827,17818572,33733697
2026-04-01,17578318983.11149910,981378,541245,16068199,29047233
2026-05-01,18570225228.82457732,960410,588830,20098426,35049660
2026-06-01,25444964578.69759068,1191152,737454,19429519,35096152
2026-07-01,25730010450.57003332,1104419,664663,15799863,32734766
2026-08-01,8855098375.04075918,531627,265003,10192183,26720620
