month,funder_rank,funded_by_id,funded_by_address,newly_funded_addresses,raw_funded_volume,funded_volume
2020-10-01,1,-1044,631fc1ea2270e98fbd9d92658ece0f5a269aa161,253,4908728847705088479148781,4908728.847705088479
2020-10-01,2,-3937225,30479874f9320a62bce3bc0e315c920e1d73e278,81,71823369701418062469907,71823.369701418062
2020-10-01,3,-231859,85f8628bfff75d08f1aa415e5c7e85d96bfd7f57,26,24016207059143254867265,24016.207059143255
2020-10-01,4,-62731,d83c88db3a6ca4a32fff1603b0f7ddce01f5f727,21,478528000000000000000000,478528.000000000000
2020-10-01,5,-30232,05ff2b0db69458a0750badebc4f9e13add608c7f,3,33109976360630482383299,33109.976360630482
2020-10-01,6,-3351847,3f3cc997c7627d175d6123a4f4dce61266dcf010,3,511000000000000000000,511.0000000000000000
2020-10-01,7,-2687414,4824f083bf615154d893412d5d57bbcad0b25c95,3,4952061485460691085,4.9520614854606911
2020-10-01,8,-2724009,fc19e4ce0e0a27b09f2011ef0512669a0f76367a,2,10000000000000000000000000,10000000.000000000000
2020-10-01,9,-1134744,e690e8fc2cfeb2934aa97d907ea4b003adf06987,2,37155931828226215178510,37155.931828226215
2020-10-01,10,-1146913,48c29b343a57cffbc582021c92d7335502602470,2,18000343743933025816411,18000.343743933026
2020-10-01,11,-378267,83a0cb9a0bbaab77d9fce6857b2d7925b66bd5ed,2,7050000000000000000000,7050.0000000000000000
2020-10-01,12,-627518,7a73713de2c3cc8b7be68f31c726565bab75e58d,2,1509968437977326347690,1509.9684379773263477
2020-10-01,13,-3909292,67f66369fd91cfcc547ff11045edcc8be080266d,2,1489981055099648899223,1489.9810550996488992
2020-10-01,14,-335819,da67c6423fcd8abea9a02ef515edfb62880d2738,2,1275588803200425863234,1275.5888032004258632
2020-10-01,15,-3821521,87419988ed913743815d2da49caf00be3ffa8217,2,575646000000000000000,575.6460000000000000
2020-10-01,16,-578679,dc7dbec85d9f9e08d484f5e859f6206637d00f7e,2,67488482000000000000,67.4884820000000000
2020-10-01,17,-82731,f06b404e9c8ab8ae3e660e2e0af8c053363538b5,1,3000000000000000000000000,3000000.000000000000
2020-10-01,18,-827,f68a4b64162906eff0ff6ae34e2bb1cd42fef62d,1,3000000000000000000000000,3000000.000000000000
2020-10-01,19,-558545,be0eb53f46cd790cd13851d5eff43d12404d33e8,1,1103989152111108479148781,1103989.152111108479
2020-10-01,20,-378327,f59bd099bf29579d2930d9cd96f3fbf7c589afcd,1,304135027538692787436723,304135.027538692787
2020-10-01,21,-320200,027fca5dce8baa10e93ca93d0f2150e7ca4d4107,1,230854430009733914906262,230854.430009733915
2020-10-01,22,-904503,c4af050dc2821284f7974a27226baad654563ba9,1,201059774000000000000000,201059.774000000000
2020-10-01,23,-295727,c4da602cae17e6afc33296fd17938fb3bbcd0230,1,200651846107773928189051,200651.846107773928
2020-10-01,24,-561016,53c91f33e4da805d04dce861c536fa1674e7334d,1,160000000000000000000000,160000.000000000000
2020-10-01,25,-362238,f28d4face9315ec0343d69e28b90712cb9aca453,1,158205590308446867505836,158205.590308446868
2020-10-01,26,-809716,55f769f274c94c37955f619448e5b34aaee6813e,1,137262642950000000000000,137262.642950000000
2020-10-01,27,-1146565,b59c1ef28de0c8eadcb6b1afd15df57e78547e7b,1,114169000000000000000000,114169.000000000000
2020-10-01,28,-1606977,6cc32942c6720eefa73e5f85077cfab701cf5112,1,108740740023225693380083,108740.740023225693
2020-10-01,29,-313395,6ca6b179f182984e61253bbd38b948c2d8961a8b,1,106033968788249026696450,106033.968788249027
2020-10-01,30,-1898231,d9b33fe2eae536b3331adb9f0cbd60c741edb7f7,1,103278430508927236596359,103278.430508927237
2020-10-01,31,-332815,f26a7a0341d211b60730520f1de74a4716d75caf,1,101964250778220000000000,101964.250778220000
2020-10-01,32,-4363058,d14d6fb1593b0c09e3c4e17f2dfbb77483444434,1,100000000000000000000000,100000.000000000000
2020-10-01,33,-339771,5d1124fb77c539ec92e3ef853053bbce1e98271b,1,60000000000000000000000,60000.000000000000
