month,user_rank,address_id,address,outgoing_transfer_count,outgoing_transaction_count,raw_outgoing_volume,outgoing_volume
2020-10-01,1,-1044,631fc1ea2270e98fbd9d92658ece0f5a269aa161,518,518,10639951149834461085153830,10639951.149834461085
2020-10-01,2,-2724009,fc19e4ce0e0a27b09f2011ef0512669a0f76367a,2,2,10000000000000000000000000,10000000.000000000000
2020-10-01,3,-82731,f06b404e9c8ab8ae3e660e2e0af8c053363538b5,4,4,6000000000000000000000000,6000000.000000000000
2020-10-01,4,-827,f68a4b64162906eff0ff6ae34e2bb1cd42fef62d,4,4,6000000000000000000000000,6000000.000000000000
2020-10-01,5,-3937225,30479874f9320a62bce3bc0e315c920e1d73e278,1119,1119,4372440147959950756323390,4372440.147959950756
2020-10-01,6,-30232,05ff2b0db69458a0750badebc4f9e13add608c7f,165,165,3751007977499282001981846,3751007.977499282002
2020-10-01,7,-558545,be0eb53f46cd790cd13851d5eff43d12404d33e8,2,2,2082742619412977053865579,2082742.619412977054
2020-10-01,8,-231859,85f8628bfff75d08f1aa415e5c7e85d96bfd7f57,213,213,1268366843877615903762042,1268366.843877615904
2020-10-01,9,-295727,c4da602cae17e6afc33296fd17938fb3bbcd0230,3,3,1082412838800618997426920,1082412.838800618997
2020-10-01,10,-246205,f977814e90da44bfa03b6295a0616a897441acec,2,2,1050000000000000000000000,1050000.000000000000
2020-10-01,11,-320200,027fca5dce8baa10e93ca93d0f2150e7ca4d4107,6,6,994577384021554096462315,994577.384021554096
2020-10-01,12,-62731,d83c88db3a6ca4a32fff1603b0f7ddce01f5f727,66,66,917905347873031314872027,917905.347873031315
2020-10-01,13,-378327,f59bd099bf29579d2930d9cd96f3fbf7c589afcd,3,3,915604383077399612150466,915604.383077399612
2020-10-01,14,-75951,ef575087f1e7bec54046f98119c8c392a37c51dd,581,581,875521771418100376016407,875521.771418100376
2020-10-01,15,-1606977,6cc32942c6720eefa73e5f85077cfab701cf5112,12,12,827801718162055176252358,827801.718162055176
2020-10-01,16,-2387279,a22a1cebee222a52b403b77652eed666575eac3e,10,10,583042530044508306852654,583042.530044508307
2020-10-01,17,-20584,bb1d423c4d0f7cff78d3016d61c9006bf3365ac0,30,30,530998500000000000000000,530998.500000000000
2020-10-01,18,-356427,5f08890b6446078e82888cd06f612cc84901f276,2,2,497298484021554548596073,497298.484021554549
2020-10-01,19,-362238,f28d4face9315ec0343d69e28b90712cb9aca453,7,7,420514806306187898703119,420514.806306187899
2020-10-01,20,-904503,c4af050dc2821284f7974a27226baad654563ba9,6,6,402867314000991035920099,402867.314000991036
2020-10-01,21,-352727,c338e632a40bbd80fec7ba592182085243239860,3,3,379037532417033913667822,379037.532417033914
2020-10-01,22,-1898231,d9b33fe2eae536b3331adb9f0cbd60c741edb7f7,5,5,374579280508927236596359,374579.280508927237
2020-10-01,23,-294820,45c2700a0b0e84fffffc74dbe4ca415bc940f93d,3,3,368862437917870000000000,368862.437917870000
2020-10-01,24,-2089068,34a7d8ce61152a35b44794f0fccd0cf1c820a214,5,5,350987550354234687411665,350987.550354234687
2020-10-01,25,-376535,9b66137da669f2e6277832a3d2c91edfe963e64c,2,2,309999903636300000000000,309999.903636300000
2020-10-01,26,-332815,f26a7a0341d211b60730520f1de74a4716d75caf,3,3,306209746703986752140173,306209.746703986752
2020-10-01,27,-417908,7136f9d914c63fc2dda0612078c5f0b243408b0b,1,1,304135027538692787436723,304135.027538692787
2020-10-01,28,-339771,5d1124fb77c539ec92e3ef853053bbce1e98271b,7,7,296623500114328331658050,296623.500114328332
2020-10-01,29,-313395,6ca6b179f182984e61253bbd38b948c2d8961a8b,4,4,296382967808659026696449,296382.967808659027
2020-10-01,30,-381605,bb1fff4f43817bc1cb6b987cdba5f76b4d441db8,2,2,271050552826231153112002,271050.552826231153
2020-10-01,31,-1146565,b59c1ef28de0c8eadcb6b1afd15df57e78547e7b,4,4,227626121995089004286944,227626.121995089004
2020-10-01,32,-358821,b868f9378ddbf023938c00a344e6430eeb3a6042,3,3,214283271032000000000000,214283.271032000000
2020-10-01,33,-397667,47f0d7b64d265f76f4ac5989cb114227f3f8aeb5,1,1,201059774000000000000000,201059.774000000000
2020-10-01,34,-300906,9118f37957121da731b1185a8ee1cea691b01595,1,1,200651846107773928189051,200651.846107773928
2020-10-01,35,-4363058,d14d6fb1593b0c09e3c4e17f2dfbb77483444434,2,2,199999950000000000000000,199999.950000000000
2020-10-01,36,-512570,435e3a964ba07e366ff175a5983b0ba310cf649f,2,2,189036582417033913667822,189036.582417033914
2020-10-01,37,-2136417,0d9170f3fbaf2e1b4efa0a2381a7145f9951ea4a,3,3,174896289626234687411665,174896.289626234687
2020-10-01,38,-404725,58bb71b5e71ab07127929f73fe16e6565a8138cc,4,4,166473870000000000000000,166473.870000000000
2020-10-01,39,-3313609,3b59775d788f6e38901eda45b0e843ba141ed445,4,4,162073260386750770079004,162073.260386750770
2020-10-01,40,-2598308,3d72b18a1c14d06ccc3b4ecd5965a11557fe8070,1,1,160000000000000000000000,160000.000000000000
2020-10-01,41,-561016,53c91f33e4da805d04dce861c536fa1674e7334d,1,1,160000000000000000000000,160000.000000000000
2020-10-01,42,-389787,7e3c2d2b3ac1c958eccced324e722ef53988d8e9,1,1,158205590308446867505836,158205.590308446868
2020-10-01,43,-308984,b605d920feef5325dd92d912edf19c906d37dd4c,2,2,157879480047012122362354,157879.480047012122
2020-10-01,44,-539036,23be060093db74f38b1a3daf57afdc1a23db0077,5,5,155199900000326292808072,155199.900000326293
2020-10-01,45,-295415,09be9ab0eb61327d26904bae69efdc6633d5eec8,1,1,152512269999999999999958,152512.270000000000
2020-10-01,46,-4638207,3ddd7cf22d6b8b03ba11ded75dd182ce3fc810a0,8,8,146263649730109987940143,146263.649730109988
2020-10-01,47,-548910,3893be92557b3f8aa751cdbfe8faf388e1a01630,3,3,138648666408059859014124,138648.666408059859
2020-10-01,48,-442439,0207fe44e48c7676c7d3a3ba57697377db2dd347,1,1,137262642950000000000000,137262.642950000000
2020-10-01,49,-809716,55f769f274c94c37955f619448e5b34aaee6813e,1,1,137262642950000000000000,137262.642950000000
2020-10-01,50,-607697,383c88957e2346d23892a6427869c2630b046f48,35,35,135028933916893112972924,135028.933916893113
2020-10-01,51,-330176,eeaa878f9765a626131c87f4bb2eaf85602b1cb8,2,2,118307285866000117764624,118307.285866000118
2020-10-01,52,-2406657,8be9eb3e2d14007ff3863ec3aec3df6f0184518b,1,1,114169000000000000000000,114169.000000000000
2020-10-01,53,-1982836,0587e861abb45fba0173a5629bc7033b20930a0b,4,4,110017298898951120170235,110017.298898951120
2020-10-01,54,-2387081,4963f9fb7a73354ad8352a8829fc4d1fe2d15834,24,24,108714780856754196896918,108714.780856754197
2020-10-01,55,-714602,826f1421776219ccc98bf4d023702822f22ff9a5,1,1,106033968788249026696450,106033.968788249027
