month,size_bucket,transfer_count,bucket_volume
2020-10-01,<0.01,11,0.022264157420614716000000
2020-10-01,0.01-0.1,34,1.95214115088367685400
2020-10-01,0.1-1,78,37.01124121870527540900
2020-10-01,1-10,169,807.14990013169340776200
2020-10-01,10-100,418,18201.3348604643667924
2020-10-01,100-1000,1636,1012756.2859569465141907
2020-10-01,1000-10000,1012,3585432.0014954083081588
2020-10-01,10000-100000,397,13748268.2047321389200000
2020-10-01,100000-1000000,110,23576487.987592633216
2020-10-01,1000000-10000000,10,23206975.232111108479
2020-11-01,<0.01,272,0.125337782758323008000000000000000000
2020-11-01,0.01-0.1,75,4.17659709498592348800
2020-11-01,0.1-1,166,108.73647198012144063900
2020-11-01,1-10,535,2581.71004323121445545300
2020-11-01,10-100,1487,65669.0143674432768637
2020-11-01,100-1000,5770,3445852.0068722675316994
2020-11-01,1000-10000,2968,11516638.0001189834274399
2020-11-01,10000-100000,1634,52213998.8977523587786984
2020-11-01,100000-1000000,363,88426396.671958218444
2020-11-01,1000000-10000000,19,26566508.077216501082
2020-12-01,<0.01,210,0.297580090413815347000000000000000000
2020-12-01,0.01-0.1,157,7.57773775871043326300
2020-12-01,0.1-1,456,273.78306109348659552000
2020-12-01,1-10,2104,9921.13718964476489685900
2020-12-01,10-100,4646,183717.6527652459088794
2020-12-01,100-1000,7525,3859563.7445030024959481
2020-12-01,1000-10000,4489,15890111.2508593554709468
2020-12-01,10000-100000,3312,93734524.8716885936415974
2020-12-01,100000-1000000,856,203993322.883290588322
2020-12-01,1000000-10000000,67,108592136.529154377091
2021-01-01,<0.01,182,0.445750495685219000000000000000000000
2021-01-01,0.01-0.1,445,23.16350710253186035700
2021-01-01,0.1-1,1930,850.64599935352165634900
2021-01-01,1-10,5779,28917.98878010493395460000
2021-01-01,10-100,11167,444370.5889674763437379
2021-01-01,100-1000,12598,4628131.0198277419974980
2021-01-01,1000-10000,11704,30525998.0660232740463917
2021-01-01,10000-100000,2917,90153076.6612044673353516
2021-01-01,100000-1000000,842,195274388.394566892469
2021-01-01,1000000-10000000,37,71109049.497560382253
2021-02-01,<0.01,567,0.981033409303905454000000000000000000
2021-02-01,0.01-0.1,334,15.95124536013405757400
2021-02-01,0.1-1,2909,1617.66979380821278741900
2021-02-01,1-10,11219,55079.59413959363069802200
2021-02-01,10-100,46641,2215420.9998935482547179
2021-02-01,100-1000,74426,27834288.8121166162441693
2021-02-01,1000-10000,70616,235310981.6148862965643984
2021-02-01,10000-100000,27257,866053500.3505799609419806
2021-02-01,100000-1000000,16342,8090188414.334352974474
2021-02-01,1000000-10000000,29889,73383041678.537511668068
2021-02-01,>=10000000,31,393978219.067245278210
2021-03-01,<0.01,2307,3.466338315334027091000000000000000000
2021-03-01,0.01-0.1,2248,90.67249910776674636600
2021-03-01,0.1-1,4997,2590.48864047336968970300
2021-03-01,1-10,24410,123094.05946945811514997900
2021-03-01,10-100,78499,3352359.8120641374874133
2021-03-01,100-1000,115749,44795548.4195453205718306
2021-03-01,1000-10000,102111,358395300.7922356413311344
2021-03-01,10000-100000,49361,1508009003.8318375098312818
2021-03-01,100000-1000000,28503,14241335056.813249359075
2021-03-01,1000000-10000000,45528,140249681929.683403393837
2021-03-01,>=10000000,2697,38998691037.691001939099
2021-04-01,<0.01,4579,8.057698647834187936000000000000000000
2021-04-01,0.01-0.1,4214,254.98132098821855988500
2021-04-01,0.1-1,9631,5608.93269301620515933700
2021-04-01,1-10,35164,166198.09311521348610241300
2021-04-01,10-100,113428,5141013.8244712720568771
2021-04-01,100-1000,217668,77166925.0448547410085545
2021-04-01,1000-10000,191798,819982299.3310845620088030
2021-04-01,10000-100000,203136,8666678442.2304752119070614
2021-04-01,100000-1000000,52643,21292636348.877998286030
2021-04-01,1000000-10000000,34819,116362462954.080491998415
2021-04-01,>=10000000,10500,193754886640.309573557059
2021-05-01,<0.01,6679,13.575562701543727014000000000000000000
2021-05-01,0.01-0.1,5308,220.14504280256521220900
2021-05-01,0.1-1,28910,12518.88301420902934252300
2021-05-01,1-10,63584,276923.28222110729150889900
2021-05-01,10-100,145613,6519614.3464632246283871
2021-05-01,100-1000,237596,92255578.2797658331001749
2021-05-01,1000-10000,182934,621282863.1515270710188412
2021-05-01,10000-100000,172906,6604110835.8761532631581760
2021-05-01,100000-1000000,20506,5384994806.818386408425
2021-05-01,1000000-10000000,1858,3911040876.731331631240
