month,mint_event_count,mint_transaction_count,unique_mint_recipients,raw_minted_amount,minted_volume,burn_event_count,burn_transaction_count,unique_burn_senders,raw_burned_amount,burned_volume,net_issuance,cumulative_net_issuance
2024-03-01,88,88,69,214109133044000000000000,214109.133044000000,61,61,46,161699071498000000000000,161699.071498000000,52410.061546000000,52410.061546000000
2024-04-01,200,200,178,364028428019000000000000,364028.428019000000,194,194,173,415351572373000000000000,415351.572373000000,-51323.144354000000,1086.917192000000
2024-05-01,31,31,27,204691720886000000000000,204691.720886000000,31,31,28,204553157577000000000000,204553.157577000000,138.563309000000,1225.480501000000
2024-06-01,25,25,25,73309340571000000000000,73309.340571000000,27,27,27,73367922965000000000000,73367.922965000000,-58.582394000000,1166.898107000000
2024-07-01,19,19,19,101130863338000000000000,101130.863338000000,18,18,18,101102863338000000000000,101102.863338000000,28.000000000000,1194.898107000000
2024-08-01,7,7,7,5595843071000000000000,5595.8430710000000000,8,8,8,5623843071000000000000,5623.8430710000000000,-28.0000000000000000,1166.8981070000000000
2024-09-01,9,9,8,2715118082000000000000,2715.1180820000000000,9,9,9,2731336469000000000000,2731.3364690000000000,-16.2183870000000000,1150.6797200000000000
2024-10-01,121,121,106,65284488337000000000000,65284.488337000000,103,103,95,65033004965000000000000,65033.004965000000,251.483372000000,1402.1630920000000000
2024-11-01,78,78,67,24503347018000000000000,24503.347018000000,65,65,58,24652231428000000000000,24652.231428000000,-148.884410000000,1253.2786820000000000
2024-12-01,128,128,106,46953838355000000000000,46953.838355000000,126,126,105,45665634008000000000000,45665.634008000000,1288.204347000000,2541.4830290000000000
2025-01-01,92,92,83,58718345985000000000000,58718.345985000000,82,82,76,58703022334000000000000,58703.022334000000,15.323651000000,2556.8066800000000000
2025-02-01,55,55,40,23603687232000000000000,23603.687232000000,42,42,39,24797316205000000000000,24797.316205000000,-1193.628973000000,1363.1777070000000000
2025-03-01,125,125,56,1410390765862000000000000,1410390.765862000000,135,135,57,1410565492019000000000000,1410565.492019000000,-174.726157000000,1188.4515500000000000
2025-04-01,181,181,131,23947702849385000000000000,23947702.849385000000,227,227,129,11754453902923000000000000,11754453.902923000000,12193248.946462000000,12194437.3980120000000000
2025-05-01,521,521,228,15461670842335000000000000,15461670.842335000000,652,652,227,24325087159538000000000000,24325087.159538000000,-8863416.317203000000,3331021.0808090000000000
2025-06-01,404,404,132,46688535082393000000000000,46688535.082393000000,238,238,90,10207372065514000000000000,10207372.065514000000,36481163.016879000000,39812184.0976880000000000
2025-07-01,431,431,196,50342014943065000000000000,50342014.943065000000,277,277,99,41128568491144000000000000,41128568.491144000000,9213446.451921000000,49025630.5496090000000000
2025-08-01,607,607,148,291935006441471000000000000,291935006.44147100,398,398,139,156534184507692000000000000,156534184.50769200,135400821.93377900,184426452.4833880000000000
2025-09-01,813,813,178,444709710451456000000000000,444709710.45145600,443,443,139,162354350044410000000000000,162354350.04441000,282355360.40704600,466781812.8904340000000000
2025-10-01,587,587,198,197803166616889000000000000,197803166.61688900,957,957,238,393269195514349000000000000,393269195.51434900,-195466028.89746000,271315783.9929740000000000
2025-11-01,118,118,57,34061667720128000000000000,34061667.720128000000,176,176,66,44505985004291000000000000,44505985.004291000000,-10444317.284163000000,260871466.7088110000000000
2025-12-01,57,57,44,9865628734698000000000000,9865628.734698000000,212,212,93,12262920935417000000000000,12262920.935417000000,-2397292.200719000000,258474174.5080920000000000
2026-01-01,133,133,103,732716430902000000000000,732716.430902000000,417,417,95,1367949548114000000000000,1367949.548114000000,-635233.117212000000,257838941.3908800000000000
2026-02-01,99,99,75,1126045987379000000000000,1126045.987379000000,226,226,40,340774394970000000000000,340774.394970000000,785271.592409000000,258624212.9832890000000000
2026-03-01,103,103,77,1774888320255000000000000,1774888.320255000000,168,168,24,181757602888000000000000,181757.602888000000,1593130.717367000000,260217343.7006560000000000
2026-04-01,57,57,38,339984874333000000000000,339984.874333000000,56,56,9,316707550360000000000000,316707.550360000000,23277.323973000000,260240621.0246290000000000
2026-05-01,19,19,15,58779450359000000000000,58779.450359000000,73,73,4,7343901681081000000000000,7343901.681081000000,-7285122.230722000000,252955498.7939070000000000
2026-06-01,28,28,21,31777644013000000000000,31777.644013000000,84,84,10,10250707208225000000000000,10250707.208225000000,-10218929.564212000000,242736569.2296950000000000
2026-07-01,164,164,46,738732793089000000000000,738732.793089000000,160,160,8,74950965197793000000000000,74950965.197793000000,-74212232.404704000000,168524336.8249910000000000
2026-08-01,136,136,28,1691006169913000000000000,1691006.169913000000,149,149,6,1711507997301000000000000,1711507.997301000000,-20501.827388000000,168503834.9976030000000000
