month,size_bucket,transfer_count,bucket_volume
2024-03-01,<0.01,2,0.00119301918088181300
2024-03-01,10-100,2,126.0000000000000000
2024-03-01,100-1000,2,412.0396980000000000
2024-04-01,0.01-0.1,2,0.15879645049040955800
2024-04-01,0.1-1,2,0.54186199548226495300
2024-04-01,1-10,8,10.1614864156931060
2024-04-01,10-100,9,250.2193228968218281
2024-04-01,100-1000,1,100.0000000000000000
2024-04-01,1000-10000,4,5607.9223440000000000
2024-05-01,<0.01,1,0.00813848970883492100
2024-05-01,0.01-0.1,2,0.13952338679718413500
2024-05-01,0.1-1,12,3.25553661162389259300
2024-05-01,100-1000,3,722.8471520000000000
2024-06-01,<0.01,1,0.00129182376330713000
2024-06-01,0.1-1,8,2.85037848306549600400
2024-06-01,1-10,4,6.1028330798794124
2024-06-01,10-100,2,20.0000000000000000
2024-07-01,0.01-0.1,1,0.01627697941766984200
2024-07-01,0.1-1,7,4.68648007805358896000
2024-07-01,100-1000,1,300.1851650000000000
2024-09-01,0.1-1,1,0.11043167068271748300
2024-09-01,10-100,1,99.6884830000000000
2025-02-01,0.01-0.1,1,0.01000000000000000000
2025-02-01,0.1-1,1,0.12401406250000000000
2025-02-01,10-100,5,128.9632218750000000
2025-03-01,<0.01,56,0.00041199984210802900000000000000
2025-04-01,<0.01,60,0.041449693608506409000000000000000000
2025-04-01,0.01-0.1,39,1.40437090799685727400
2025-04-01,0.1-1,63,30.92852709969267361400
2025-04-01,1-10,277,1412.88876715854746018100
2025-04-01,10-100,379,16439.3367965591110469
2025-04-01,100-1000,401,173182.4807539212283729
2025-04-01,1000-10000,319,1114901.4463734275043754
2025-04-01,10000-100000,324,10443312.3419273674128907
2025-04-01,100000-1000000,72,19871505.184903888975
2025-04-01,1000000-10000000,7,12339578.713349461844
2025-05-01,<0.01,67,0.04452736031142171600000000000000
2025-05-01,0.01-0.1,84,4.26737722437891814400
2025-05-01,0.1-1,143,66.98212377591825382700
2025-05-01,1-10,291,1283.70662594646566300000
2025-05-01,10-100,1136,67172.5780602507860982
2025-05-01,100-1000,1939,649664.8921928113145120
2025-05-01,1000-10000,2198,4798069.6400937367930446
2025-05-01,10000-100000,982,36366882.6281760139088141
2025-05-01,100000-1000000,176,38752180.886919898890
2025-06-01,<0.01,82,0.140233259816654230000000000000000000
2025-06-01,0.01-0.1,96,5.29896101371870867600
2025-06-01,0.1-1,244,155.04470458301931829900
2025-06-01,1-10,724,2881.05344323537842612100
2025-06-01,10-100,1266,56146.4098941039646908
2025-06-01,100-1000,4686,2439480.5553837691460984
2025-06-01,1000-10000,6128,10696097.0338100409658541
2025-06-01,10000-100000,1104,40829683.5544108326350011
2025-06-01,100000-1000000,365,95497137.812947059805
2025-06-01,1000000-10000000,26,26962677.571514669504
2025-07-01,<0.01,111,0.292238252212335250000000000000000000
2025-07-01,0.01-0.1,166,8.81162470682979795700
2025-07-01,0.1-1,285,121.02048539111831421200
2025-07-01,1-10,623,2722.37932571068112511300
2025-07-01,10-100,785,32932.9875317821473802
2025-07-01,100-1000,396,138276.5724701426345622
2025-07-01,1000-10000,468,1171382.8037668906420560
2025-07-01,10000-100000,411,21401456.2125103416970720
2025-07-01,100000-1000000,661,192708666.257176171530
2025-07-01,1000000-10000000,23,27982487.562623491894
2025-08-01,<0.01,72,0.168466486709414903000000000000000000
2025-08-01,0.01-0.1,135,5.65436192379774085500
2025-08-01,0.1-1,200,84.46686034652867684100
2025-08-01,1-10,283,1060.57770659094541498300
2025-08-01,10-100,467,17724.3776520064140987
2025-08-01,100-1000,290,77467.7850334621022692
2025-08-01,1000-10000,199,860340.5028025843319192
2025-08-01,10000-100000,324,13653748.9701477556491885
2025-08-01,100000-1000000,447,186490349.949320693556
2025-08-01,1000000-10000000,280,602372463.547430594957
2025-09-01,<0.01,95,0.122547432461060613000000000000000000
2025-09-01,0.01-0.1,197,9.46748983281255601800
2025-09-01,0.1-1,316,115.93766406278545587600
2025-09-01,1-10,695,3125.16447101598995696700
2025-09-01,10-100,870,33941.7528248364011752
2025-09-01,100-1000,409,140802.1793558067337589
2025-09-01,1000-10000,243,1187330.8876433087059998
2025-09-01,10000-100000,435,20069312.3383972580940000
2025-09-01,100000-1000000,1289,595474519.412781067308
2025-09-01,1000000-10000000,426,764496889.361300499502
2025-09-01,>=10000000,4,347078430.730680800000
2025-10-01,<0.01,191,0.475825010637306015000000000000000000
2025-10-01,0.01-0.1,227,9.33996567286079256500
2025-10-01,0.1-1,437,206.59885614086829623300
2025-10-01,1-10,1467,6205.03861952026209652600
2025-10-01,10-100,1579,74466.2346706262683087
2025-10-01,100-1000,1421,540341.1665138954821662
2025-10-01,1000-10000,1395,6931098.4267910728153232
2025-10-01,10000-100000,1019,33366588.4197648194248924
