month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2020-09-01,115015,87756,1853781025601525860450152669,1853781025.60152586,6973,9028,9029
2020-10-01,147262,131930,1037281618949485971105458919,1037281618.94948597,8845,11916,12187
2020-11-01,166056,154480,817458703576228735580192687,817458703.57622874,6621,9871,10206
2020-12-01,171005,148252,1152677300380044898222071578,1152677300.38004490,11476,18166,18504
2021-01-01,304806,262419,6003780600025471124593352173,6003780600.02547112,23246,28925,32099
2021-02-01,1643892,1312786,116006707788901178033601778330,116006707788.90117803,102459,110214,114992
2021-03-01,2598747,1919526,492760175787658820941709200882,492760175787.65882094,237560,257486,261096
2021-04-01,7442200,5591618,1401147133864198824854523989372,1401147133864.1988,519868,569675,579267
2021-05-01,11605053,9934320,167628887068282857871769947995,167628887068.28285787,776551,956174,984007
2021-06-01,8326944,7184982,55259401421079874376674880242,55259401421.07987438,591072,643450,708247
2021-07-01,7348717,6204310,46949603980882067616486611341,46949603980.88206762,583236,706007,734956
2021-08-01,10776847,8466809,77786843487182602087909788173,77786843487.18260209,934575,1118034,1187193
2021-09-01,11717028,9099360,73120644609277721530734967346,73120644609.27772153,1155680,1299090,1398884
2021-10-01,15486886,12314851,67204619926525689114086671976,67204619926.52568911,1469390,1735114,1856214
2021-11-01,21676814,17567689,152654608030282407081611733832,152654608030.28240708,2161417,2402957,2621423
2021-12-01,18123563,15035815,198669009772428211624125246424,198669009772.42821162,1883011,2092056,2285823
2022-01-01,15388852,12700278,58611358389779783462830738313,58611358389.77978346,1620310,1922864,2035207
2022-02-01,16583796,13446004,56582325799314519961102382901,56582325799.31451996,1554835,1844694,1957004
2022-03-01,18596293,15254458,61039059604061019659651640043,61039059604.06101966,1950426,2446159,2595013
2022-04-01,20687732,16406415,72810299526295281597577669592,72810299526.29528160,2157014,2337140,2558806
2022-05-01,21973992,17050882,65459123427011562694699531179,65459123427.01156269,2253705,2437866,2699004
2022-06-01,21139909,16093441,34934945335879753870681103809,34934945335.87975387,2255321,2482863,2693757
