month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2020-09-01,1853781025.60152586,9029,9029,87756,115015
2020-10-01,1037281618.94948597,12187,9837,131930,147262
2020-11-01,817458703.57622874,10206,6925,154480,166056
2020-12-01,1152677300.38004490,18504,14075,148252,171005
2021-01-01,6003780600.02547112,32099,22874,262419,304806
2021-02-01,116006707788.90117803,114992,96448,1312786,1643892
2021-03-01,492760175787.65882094,261096,212973,1919526,2598747
2021-04-01,1401147133864.1988,579267,470531,5591618,7442200
2021-05-01,167628887068.28285787,984007,744500,9934320,11605053
2021-06-01,55259401421.07987438,708247,384964,7184982,8326944
2021-07-01,46949603980.88206762,734956,428112,6204310,7348717
2021-08-01,77786843487.18260209,1187193,729825,8466809,10776847
2021-09-01,73120644609.27772153,1398884,795822,9099360,11717028
2021-10-01,67204619926.52568911,1856214,1061086,12314851,15486886
2021-11-01,152654608030.28240708,2621423,1478157,17567689,21676814
2021-12-01,198669009772.42821162,2285823,1127083,15035815,18123563
2022-01-01,58611358389.77978346,2035207,983567,12700278,15388852
2022-02-01,56582325799.31451996,1957004,942033,13446004,16583796
2022-03-01,61039059604.06101966,2595013,1365245,15254458,18596293
2022-04-01,72810299526.29528160,2558806,1149402,16406415,20687732
2022-05-01,65459123427.01156269,2699004,1189138,17050882,21973992
2022-06-01,34934945335.87975387,2693757,1298531,16093441,21139909
2022-07-01,26838925658.11750960,2836622,1310969,17977172,24004010
2022-08-01,25380332385.56117411,2499876,984254,15616663,21468247
2022-09-01,28386630572.01187995,3012104,1394502,14967331,19898591
2022-10-01,25520776769.02321347,2645849,1122111,14244721,18018448
2022-11-01,34322681225.19105002,3257707,1639074,16529879,22368817
2022-12-01,22056780680.36228474,4647722,2836846,14712421,24856353
2023-01-01,18351599760.90681637,4308235,2765635,13449928,32220153
2023-02-01,23133824950.50307628,6693565,4863626,15578705,51101414
2023-03-01,38793560277.90897018,9577012,7010728,20434633,47363062
2023-04-01,45109197813.50026688,10203996,7362985,23691189,47494918
2023-05-01,55965634583.03476006,10619675,7396326,27727479,58434106
2023-06-01,33429054500.13107527,7434626,4575535,22421833,43848559
2023-07-01,31426867515.65450640,9107524,6104009,24556550,50066923
2023-08-01,29745932178.95465350,9768350,6151811,24797586,49117096
2023-09-01,25164862404.80872238,7884020,4761346,23668370,46094526
2023-10-01,26119546200.02448990,6742199,3880110,21930418,41433639
2023-11-01,31683198760.64264373,7044597,4015067,23806368,43675230
2023-12-01,49980471565.45105585,6759180,3678279,27085563,41731688
2024-01-01,44843426687.88675648,6182497,3410264,26167438,40155328
2024-02-01,45110042585.57170773,5211126,2569224,23232257,33357461
2024-03-01,92260062210.22459822,7687311,3903665,37224886,57860627
2024-04-01,68744741480.77851548,7089630,3714116,33903533,61991822
2024-05-01,51092305301.05594861,8241949,5063800,30902522,69928243
2024-06-01,49718971803.40358855,10029573,6351740,34605483,112684085
2024-07-01,47654574687.49049127,8458885,4470969,35091287,97380882
2024-08-01,50433233902.36118187,7210501,3403203,38186411,98474480
2024-09-01,48228550514.08164156,7685233,4200268,45220532,79103926
2024-10-01,58429009540.22065618,8217721,4494213,43647709,67276478
2024-11-01,84432995294.02868026,9478790,5251421,46103489,67325793
2024-12-01,114913758434.22119734,11495567,6950451,49166283,74974850
2025-01-01,129133336066.59224345,11471294,6767972,45735514,71904655
2025-02-01,120272954035.96854333,11282076,6585752,44324179,68463124
2025-03-01,92719373798.71055068,15042371,9467845,56432640,86879844
2025-04-01,73257815185.46673988,10735007,5695131,47552771,75166247
2025-05-01,297927757979.59988445,14691085,9316420,135037520,275612720
2025-06-01,604881977353.86311765,16045493,10207408,206522336,463018149
2025-07-01,459627383487.51352423,19565449,12073126,196700523,397878680
2025-08-01,290978791833.61646317,17794951,10455213,132204085,278953852
2025-09-01,400500399236.77111792,17256568,9490559,159518034,331629626
2025-10-01,601650710390.46901957,19750362,11176194,203414175,444450136
2025-11-01,331488583579.54935654,18506036,10247324,174722258,357581686
2025-12-01,287108774058.03836258,20774094,12249277,160453700,332376973
2026-01-01,360941757346.82854158,18195698,10001836,169092903,334743586
2026-02-01,300992787445.05283868,17103184,9590464,149755865,285828908
2026-03-01,255806426807.40907725,20184996,11362664,154975818,330173681
2026-04-01,180909138536.89522378,21089060,11329180,159353879,314806888
2026-05-01,205210762410.85915770,22276517,13190044,159008508,340763774
2026-06-01,195721907627.04181476,22504497,13053219,166655361,393532290
2026-07-01,204154336317.42325550,24329565,14117358,175045232,482826456
2026-08-01,135242195499.56712696,12695622,5717184,84898012,229419452
