month,size_bucket,transfer_count,bucket_volume
2020-09-01,<0.01,1202,3.063102962610242318000000000000000000
2020-09-01,0.01-0.1,2707,122.42737561473300501900
2020-09-01,0.1-1,9031,5011.38256693842017646600
2020-09-01,1-10,15615,65152.81802946581399229900
2020-09-01,10-100,19568,809800.7411463065916091
2020-09-01,100-1000,25728,10417980.2386771664556979
2020-09-01,1000-10000,24726,92187411.9160295102991232
2020-09-01,10000-100000,12878,396845642.0601789278655277
2020-09-01,100000-1000000,2953,781471657.824330043174
2020-09-01,1000000-10000000,166,376978243.130088924559
2020-09-01,>=10000000,10,195000000.000000000000
2020-10-01,<0.01,3468,5.209419663808406225000000000000000000
2020-10-01,0.01-0.1,3787,165.60702968140848463600
2020-10-01,0.1-1,9583,4683.50758089858859253000
2020-10-01,1-10,27792,118893.40890326573307173800
2020-10-01,10-100,34363,1264466.8321955025966786
2020-10-01,100-1000,39379,17461942.0822524050685812
2020-10-01,1000-10000,17910,64328018.2697103031784552
2020-10-01,10000-100000,8504,265973640.4535281321832429
2020-10-01,100000-1000000,2100,511314666.136151351273
2020-10-01,1000000-10000000,86,117166749.005667495801
2020-10-01,>=10000000,2,59648388.437047271475
2020-11-01,<0.01,1583,2.638711740252268989000000000000000000
2020-11-01,0.01-0.1,4125,156.41517399814907624600
2020-11-01,0.1-1,7202,3513.75182743741775233300
2020-11-01,1-10,13444,54923.34975972065459559000
2020-11-01,10-100,20732,862515.6024660816451911
2020-11-01,100-1000,89815,47398843.3337138894006629
2020-11-01,1000-10000,20395,64839343.1719265062555069
2020-11-01,10000-100000,7028,213394019.7318417172375731
2020-11-01,100000-1000000,1444,339784260.925122437272
2020-11-01,1000000-10000000,63,104590549.452635035229
2020-11-01,>=10000000,3,46530575.203050172054
2020-12-01,<0.01,1833,3.375074410452721030000000000000000000
2020-12-01,0.01-0.1,1707,78.39698296294888332700
2020-12-01,0.1-1,5856,3264.55948915764241452000
2020-12-01,1-10,15212,61829.86523057999126331500
2020-12-01,10-100,32542,1287984.1608105990357252
2020-12-01,100-1000,75502,35801248.9782139671187345
2020-12-01,1000-10000,25864,78876812.8670736768227291
2020-12-01,10000-100000,9610,272393472.7555856618630941
2020-12-01,100000-1000000,2594,639826413.382850305205
2020-12-01,1000000-10000000,71,124426192.038733577077
2021-01-01,<0.01,1134,2.508190709961287438000000000000000000
2021-01-01,0.01-0.1,1740,93.10098882691572636300
2021-01-01,0.1-1,7471,4421.89816629083916690600
2021-01-01,1-10,22934,99329.32680246598109335400
2021-01-01,10-100,51694,2349594.2819865555063979
2021-01-01,100-1000,131040,51056871.6251224408585460
2021-01-01,1000-10000,66459,169265289.0070414475836660
2021-01-01,10000-100000,12528,345583111.7945844678437006
2021-01-01,100000-1000000,7951,2818268638.588406955288
2021-01-01,1000000-10000000,1493,2527629078.630569515874
2021-01-01,>=10000000,5,89524169.263611447916
2021-02-01,<0.01,4150,9.332788879108488523000000000000000000
2021-02-01,0.01-0.1,5237,245.08867017598645399500
2021-02-01,0.1-1,26500,14264.65518681415200778600
2021-02-01,1-10,124403,584039.18153740779562793000
2021-02-01,10-100,338570,14989828.5947694704579862
2021-02-01,100-1000,566181,226346378.9874911079645145
2021-02-01,1000-10000,410047,1184724822.4431916969819424
2021-02-01,10000-100000,99855,2760448720.9485333058843763
2021-02-01,100000-1000000,29049,12125862280.066380370778
2021-02-01,1000000-10000000,38349,99169715004.157059886007
2021-02-01,>=10000000,31,524022195.445568918273
2021-03-01,<0.01,17067,24.641377344464016446000000000000000000
2021-03-01,0.01-0.1,10815,476.37701610680808573000
2021-03-01,0.1-1,36298,17447.63177278451384779400
2021-03-01,1-10,243248,1191847.76312539935695472000
2021-03-01,10-100,574809,24947079.5738590633632348
2021-03-01,100-1000,868976,322819092.5195983182606526
2021-03-01,1000-10000,561276,1752985751.2424328527688765
2021-03-01,10000-100000,145983,4350225196.0506484396255202
2021-03-01,100000-1000000,52094,20193148947.228234705558
2021-03-01,1000000-10000000,72062,285410918875.683837303387
2021-03-01,>=10000000,12378,180703921048.946918623823
2021-04-01,<0.01,84950,87.924131303524555122000000000000000000
2021-04-01,0.01-0.1,35438,1663.94243208522673879500
2021-04-01,0.1-1,122996,65304.58411652427399941600
2021-04-01,1-10,575865,2746587.14562508423502665500
2021-04-01,10-100,1604116,68658413.7631739856300755
2021-04-01,100-1000,1741933,622407009.7856357172343094
2021-04-01,1000-10000,1658306,6791997731.3181585533909393
2021-04-01,10000-100000,1369163,45131270166.6883126262270038
2021-04-01,100000-1000000,121723,38832685509.616486211012
2021-04-01,1000000-10000000,64542,299597218236.894880598400
