size_bucket,transfer_count,bucket_volume
<0.01,703501304,669423.108049691404030213000000000000000000
0.01-0.1,270175360,11512562.13228496971023338600
0.1-1,492472635,194788561.33429686343286070400
1-10,814052692,3433900406.66712530917864903900
10-100,1604436610,66761379466.6815331446778860
100-1000,1786272725,647305539774.3727117413503912
1000-10000,1037242373,2144760780314.7426906051342155
10000-100000,55680903,1297551579257.0744604666776155
100000-1000000,4443017,1179429226985.974915148568
1000000-10000000,1226771,2599233453466.167016210373
>=10000000,109050,2126605616089.668920650304
