month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2025-03-01,608399.999979000000,6,6,11,11
2025-04-01,1501397701.5107420000,10053,10047,10129,19728
2025-05-01,476940060.5109660000,42,32,1266,1616
2025-06-01,42654142.632153000000,100,85,944,1499
2025-07-01,9694700.966245000000,152,106,594,1100
2025-08-01,595196337.3267080000,442,391,1534,2478
2025-09-01,141424351.9064780000,703,597,1890,2478
2025-10-01,348396263.4228520000,1200,1004,4263,5351
2025-11-01,174227739.1026300000,1560,1253,3818,5561
2025-12-01,466890056.4800570000,1062,741,4213,6473
2026-01-01,206682941.3132140000,789,454,2176,3047
2026-02-01,161427340.5734360000,1126,810,3400,4602
2026-03-01,281269459.7812170000,1336,871,3808,5345
2026-04-01,259730539.9238410000,1175,810,5941,7362
2026-05-01,572735357.7122190000,1519,1027,19448,22327
2026-06-01,473477999.7330780000,1108,672,8845,10362
