month,size_bucket,transfer_count,bucket_volume
2025-03-01,10-100,2,199.9999980000000000
2025-03-01,1000-10000,4,7999.9999950000000000
2025-03-01,100000-1000000,5,600199.999986000000
2025-04-01,0.1-1,2,1.99999800000000000000
2025-04-01,1-10,4,22.00353500000000000000
2025-04-01,10-100,19646,273208.0162710000000000
2025-04-01,100-1000,42,9410.9483080000000000
2025-04-01,1000-10000,22,64237.0572330000000000
2025-04-01,10000-100000,4,42622.1607490000000000
2025-04-01,100000-1000000,2,779310.000277000000
2025-04-01,>=10000000,6,1500228889.324371000000
2025-05-01,<0.01,10,0.005354000000000000000000
2025-05-01,0.1-1,2,1.12882900000000000000
2025-05-01,1-10,18,154.2624660000000000
2025-05-01,10-100,54,4077.0700780000000000
2025-05-01,100-1000,671,347162.0996460000000000
2025-05-01,1000-10000,379,1372957.3460640000000000
2025-05-01,10000-100000,460,18910032.4696780000000000
2025-05-01,100000-1000000,5,2315145.250499000000
2025-05-01,1000000-10000000,9,53990530.878356000000
2025-05-01,>=10000000,4,399999999.999996000000
2025-06-01,<0.01,12,0.042825000000000000000000
2025-06-01,0.01-0.1,4,0.10913100000000000000
2025-06-01,0.1-1,26,25.35879400000000000000
2025-06-01,1-10,55,159.67304600000000000000
2025-06-01,10-100,14,847.7081090000000000
2025-06-01,100-1000,236,121153.8840390000000000
2025-06-01,1000-10000,297,1534285.3461690000000000
2025-06-01,10000-100000,827,27667159.9053270000000000
2025-06-01,100000-1000000,8,1279861.898286000000
2025-06-01,1000000-10000000,3,12050648.706427000000
2025-07-01,<0.01,16,0.063958000000000000000000
2025-07-01,0.01-0.1,1,0.07059300000000000000
2025-07-01,0.1-1,14,6.06524100000000000000
2025-07-01,1-10,56,211.44218600000000000000
2025-07-01,10-100,56,1988.6365540000000000
2025-07-01,100-1000,134,82034.0054010000000000
2025-07-01,1000-10000,498,2568033.9536060000000000
2025-07-01,10000-100000,303,5068348.2650490000000000
2025-07-01,100000-1000000,4,1974078.463657000000
2025-08-01,<0.01,19,0.028513000000000000000000
