month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2025-03-01,6,6,246299999993,246299.999993000000,3,3,4
2025-04-01,515,515,1200046959999914,1200046959.9999140000,15,465,467
2025-05-01,15,15,441110104190122,441110104.1901220000,8,11,15
2025-06-01,32,32,63458638896,63458.638896000000,7,24,28
2025-07-01,43,43,37440816098,37440.816098000000,19,21,36
2025-08-01,113,112,179544423064482,179544423.0644820000,56,94,135
2025-09-01,212,210,68463948223634,68463948.223634000000,106,184,281
2025-10-01,395,392,151218894980735,151218894.9807350000,185,352,498
2025-11-01,344,343,19145336910409,19145336.910409000000,163,331,484
2025-12-01,466,466,67131140678193,67131140.678193000000,200,379,557
2026-01-01,356,356,94089339196521,94089339.196521000000,183,281,451
2026-02-01,597,597,18181217277321,18181217.277321000000,257,499,630
2026-03-01,707,707,50772277043276,50772277.043276000000,321,596,811
2026-04-01,563,563,34093650919728,34093650.919728000000,231,531,737
2026-05-01,794,794,78896135383334,78896135.383334000000,262,729,952
2026-06-01,527,527,134523694064933,134523694.0649330000,203,476,646
