month,size_bucket,transfer_count,bucket_volume
2025-03-01,10-100,1,99.9999990000000000
2025-03-01,1000-10000,3,5999.9999970000000000
2025-03-01,100000-1000000,2,240199.999997000000
2025-04-01,0.1-1,1,0.99999900000000000000
2025-04-01,1-10,3,20.99999800000000000000
2025-04-01,10-100,472,13339.9999530000000000
2025-04-01,100-1000,28,6297.9999780000000000
2025-04-01,1000-10000,5,6799.9999940000000000
2025-04-01,10000-100000,2,20499.9999990000000000
2025-04-01,>=10000000,4,1199999999.9999930000
2025-05-01,100-1000,3,1604.1901330000000000
2025-05-01,1000-10000,2,18499.9999980000000000
2025-05-01,10000-100000,1,99999.999999000000
2025-05-01,100000-1000000,1,999999.999999000000
2025-05-01,1000000-10000000,4,39989999.999997000000
2025-05-01,>=10000000,4,399999999.999996000000
2025-06-01,0.1-1,18,17.99998100000000000000
2025-06-01,1-10,5,15.60999700000000000000
2025-06-01,10-100,1,99.9999990000000000
2025-06-01,100-1000,6,3325.0289200000000000
2025-06-01,10000-100000,1,59999.999999000000
2025-07-01,<0.01,1,0.00999900000000000000
2025-07-01,0.1-1,6,2.14999300000000000000
2025-07-01,1-10,1,8.4870340000000000
2025-07-01,10-100,10,405.2254430000000000
2025-07-01,100-1000,14,9995.9481730000000000
2025-07-01,1000-10000,5,8000.8303440000000000
2025-07-01,10000-100000,1,19028.165112000000
2025-08-01,0.01-0.1,1,0.03770000000000000000
2025-08-01,0.1-1,6,5.74529100000000000000
2025-08-01,1-10,5,25.2835380000000000
2025-08-01,10-100,6,454.5299930000000000
2025-08-01,100-1000,23,16529.0538290000000000
2025-08-01,1000-10000,26,109773.3691110000000000
2025-08-01,10000-100000,18,1121035.4966990000000000
2025-08-01,100000-1000000,14,2628993.469402000000
2025-08-01,1000000-10000000,4,22133287.212550000000
2025-08-01,>=10000000,3,153534318.866369000000
2025-09-01,<0.01,1,0.00999900000000000000
2025-09-01,0.1-1,2,0.39999800000000000000
2025-09-01,1-10,4,23.1186170000000000
2025-09-01,10-100,7,506.8162910000000000
2025-09-01,100-1000,35,21478.4281010000000000
2025-09-01,1000-10000,62,276893.7113220000000000
2025-09-01,10000-100000,61,1874485.0981290000000000
2025-09-01,100000-1000000,25,4972676.149362000000
2025-09-01,1000000-10000000,5,31134284.491819000000
2025-09-01,>=10000000,3,30183599.999996000000
2025-10-01,0.1-1,8,5.65020700000000000000
2025-10-01,1-10,13,66.4801590000000000
2025-10-01,10-100,16,1061.6668960000000000
2025-10-01,100-1000,71,47825.7636840000000000
2025-10-01,1000-10000,94,440621.8279810000000000
2025-10-01,10000-100000,139,5826647.0842670000000000
2025-10-01,100000-1000000,42,10409665.507549000000
2025-10-01,1000000-10000000,2,3998999.999997000000
2025-10-01,>=10000000,5,130494000.999995000000
2025-11-01,0.1-1,2,1.89201000000000000000
2025-11-01,1-10,2,3.38004200000000000000
2025-11-01,10-100,7,570.3232560000000000
2025-11-01,100-1000,33,21109.8744560000000000
2025-11-01,1000-10000,75,376884.1281040000000000
2025-11-01,10000-100000,171,7737902.5946330000000000
2025-11-01,100000-1000000,47,9508864.717909000000
2025-11-01,1000000-10000000,1,1499999.999999000000
2025-12-01,<0.01,2,0.00878600000000000000
2025-12-01,0.01-0.1,16,1.45872600000000000000
2025-12-01,0.1-1,18,6.06510600000000000000
2025-12-01,1-10,8,37.66453100000000000000
2025-12-01,10-100,36,1540.4477740000000000
2025-12-01,100-1000,24,16295.1653550000000000
2025-12-01,1000-10000,83,412267.3526020000000000
2025-12-01,10000-100000,186,7762214.0946120000000000
2025-12-01,100000-1000000,70,16234100.019929000000
2025-12-01,1000000-10000000,6,32675220.035484000000
2025-12-01,>=10000000,1,10029458.365288000000
2026-01-01,<0.01,15,0.033071000000000000000000
2026-01-01,0.1-1,12,9.03850500000000000000
2026-01-01,1-10,9,38.3989910000000000
2026-01-01,10-100,14,450.0836250000000000
2026-01-01,100-1000,38,23741.6629350000000000
2026-01-01,1000-10000,79,308881.8749660000000000
2026-01-01,10000-100000,131,5489929.4088800000000000
2026-01-01,100000-1000000,48,10950251.429950000000
2026-01-01,>=10000000,3,77316037.265598000000
2026-02-01,0.01-0.1,2,0.19999700000000000000
2026-02-01,0.1-1,3,1.10481200000000000000
2026-02-01,1-10,219,1014.1763540000000000
2026-02-01,10-100,16,756.9399830000000000
2026-02-01,100-1000,116,74938.1524590000000000
2026-02-01,1000-10000,79,418019.2124750000000000
2026-02-01,10000-100000,112,6112611.2074760000000000
2026-02-01,100000-1000000,50,11573876.283765000000
2026-03-01,0.01-0.1,2,0.09734300000000000000
2026-03-01,0.1-1,38,21.19345000000000000000
2026-03-01,1-10,108,487.60312000000000000000
2026-03-01,10-100,9,529.5114010000000000
2026-03-01,100-1000,115,74550.7584770000000000
2026-03-01,1000-10000,120,506501.4682420000000000
