month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2025-03-01,4,4,242099999990,242099.999990000000,2,2,4
2025-04-01,17,17,300626692578297,300626692.5782970000,7,5,12
2025-05-01,703,703,17159565733438,17159565.733438000000,14,4,18
2025-06-01,630,630,18193390770438,18193390.770438000000,30,6,36
2025-07-01,356,356,3235679919374,3235679.919374000000,30,11,41
2025-08-01,650,650,286176254473733,286176254.4737330000,177,23,200
2025-09-01,525,525,22967601133511,22967601.133511000000,341,14,355
2025-10-01,1201,1201,55819326274219,55819326.274219000000,689,27,716
2025-11-01,1095,1094,43359065846359,43359065.846359000000,612,23,635
2025-12-01,991,989,96262369376221,96262369.376221000000,602,24,626
2026-01-01,701,698,34424086150890,34424086.150890000000,482,20,502
2026-02-01,994,986,35792089696214,35792089.696214000000,598,23,621
2026-03-01,1262,1258,62421070393903,62421070.393903000000,829,26,855
2026-04-01,1139,1138,62334681217283,62334681.217283000000,712,16,728
2026-05-01,2719,2717,161990100992100,161990100.9921000000,1078,24,1102
2026-06-01,1322,1322,131222673673976,131222673.6739760000,773,12,785
