month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2025-03-01,242099.999990000000,4,4,4,4
2025-04-01,300626692.5782970000,12,8,17,17
2025-05-01,17159565.733438000000,18,13,703,703
2025-06-01,18193390.770438000000,36,29,630,630
2025-07-01,3235679.919374000000,41,33,356,356
2025-08-01,286176254.4737330000,200,188,650,650
2025-09-01,22967601.133511000000,355,333,525,525
2025-10-01,55819326.274219000000,716,644,1201,1201
2025-11-01,43359065.846359000000,635,518,1094,1095
2025-12-01,96262369.376221000000,626,505,989,991
2026-01-01,34424086.150890000000,502,392,698,701
2026-02-01,35792089.696214000000,621,482,986,994
2026-03-01,62421070.393903000000,855,713,1258,1262
2026-04-01,62334681.217283000000,728,602,1138,1139
2026-05-01,161990100.9921000000,1102,969,2717,2719
2026-06-01,131222673.6739760000,785,629,1322,1322
