month,funder_rank,funded_by_id,funded_by_address,newly_funded_addresses,raw_funded_volume,funded_volume
2025-03-01,1,-191007409,3aedc1e7b792bbf6aae74bfb86661f2ae132bf4d,2,2099999997,2099.9999970000000000
2025-04-01,1,-191007409,3aedc1e7b792bbf6aae74bfb86661f2ae132bf4d,3,2861499997,2861.4999970000000000
2025-05-01,1,-341546943,f4454accdecec61714ca89352e1fba5f9a55fde4,1,9377329099,9377.3290990000000000
2025-06-01,1,-396794989,853c98dafae37e69197febc121fdcb90fefa3075,1,999999999,999.9999990000000000
2025-06-01,2,-370818237,986d35f14a58d4a23787c7c1f17ebd4c398f0f75,1,75744204,75.7442040000000000
2025-07-01,1,-443394013,ec0069fa5429130c8f2a21d34935ddbfda963f4b,3,5803253318,5803.2533180000000000
2025-07-01,2,-406816948,84693455fa234ffbc1c26e13d14acd957bab64a3,1,21999999999,21999.999999000000
2025-07-01,3,-411865534,7555441c21b3db8fdbc892992854af40ef70b8a3,1,2192445444,2192.4454440000000000
2025-07-01,4,-360541869,350fdf7790c2b509ed315bae0a96e73e22b7897d,1,1145729492,1145.7294920000000000
2025-08-01,1,-191007409,3aedc1e7b792bbf6aae74bfb86661f2ae132bf4d,4,68799999996,68799.999996000000
2025-08-01,2,-477721196,684193cff352103eac0bf289958cb02933d57316,2,86010194249,86010.194249000000
2025-08-01,3,-434838559,015d1f60e43969c3ca5d6d3c55ee450a7bd81233,2,997999998,997.9999980000000000
2025-08-01,4,748475041,dac49412c45cbc8876553ba5745d4605f63660c3,1,210163113313,210163.113313000000
2025-08-01,5,-466095329,8a61877a987a78d60f884fef90feb9d5da444444,1,175926729064,175926.729064000000
2025-08-01,6,-492854606,7a895c706fe68b6fb2546a05ff1d823a97af26df,1,123639609565,123639.609565000000
2025-08-01,7,25825323,b627d04196cfbe1964f974fff5f40362946d4c22,1,5394066977,5394.0669770000000000
2025-08-01,8,-504932037,7e937c8b69d4e1de7a2adae84baae1e7d98d5ccd,1,3321047847,3321.0478470000000000
2025-08-01,9,-494434330,b9d782f2598b1b7cb9081f0ec11923dd8a2599f2,1,1999999999,1999.9999990000000000
2025-08-01,10,-465550849,e68d0108964df963a2ea0bcc482c4c18fcb1eb57,1,727794523,727.7945230000000000
2025-08-01,11,-507655701,20f4499e537ca83bffefc3b10000a7fa7b6ec380,1,499999999,499.9999990000000000
2025-08-01,12,-461795180,d73ae45b77fe693e06067a0df9a6042e6b095385,1,149999999,149.9999990000000000
2025-08-01,13,-308493958,f5a875be39fb47d00f928b95da7e5ba92cf2261c,1,80999999,80.9999990000000000
2025-09-01,1,-217293592,8f89f699e590bf9f736e35ab753fb58ec91c5aec,1,36750000000,36750.000000000000
2025-09-01,2,-560191868,bd3f8f0033e958f89a24cf6a7e9aa2fa55ad8b27,1,9499999999,9499.9999990000000000
2025-09-01,3,-576653308,e952f76d50857e5a83cc883d436bdf10b300b9eb,1,4999999999,4999.9999990000000000
2025-09-01,4,-518987540,9a92b0f8b931e3441047c2ffcd1873d1da5280b7,1,1999999999,1999.9999990000000000
2025-09-01,5,-534723315,20120ded20a6771459c49b377fc3520427e4cc06,1,1200000000,1200.0000000000000000
2025-09-01,6,-516006981,6b024916845213db061b89de1bdb3bc7092581ba,1,999999999,999.9999990000000000
2025-09-01,7,-512639800,3464c26fddc8d37ea8e898c30696b40b7101750b,1,600004015,600.0040150000000000
2025-09-01,8,-462072513,21696166445637273aa3b2da725e86deae621768,1,139999999,139.9999990000000000
2025-09-01,9,-407343876,e0aab3bfaf839a8174de203c0ede2d105780f7ee,1,99999999,99.9999990000000000
2025-10-01,1,-611438393,b7fbbc3b23d43a4c6ebc8c819cc31f0cab9f57c2,1,192035033425,192035.033425000000
2025-10-01,2,-388062163,59ba71e4e227336a889f1ce837bc90d34ca6c427,1,135871368757,135871.368757000000
2025-10-01,3,-266770021,e1f9a2c613088fd5ece98127b506efd6a163ade9,1,100099999999,100099.999999000000
2025-10-01,4,891775136,63164a860ad790ebbc5c60b2ed0381ca6f72feff,1,99999999999,99999.999999000000
2025-10-01,5,-600037215,8e6fe2bfc767be2f9d8bb62d41e0dd8eff600439,1,15899999999,15899.999999000000
2025-10-01,6,-609156747,e5ef74165fab7470cb0a93a7851de5ffb0058183,1,14999999999,14999.999999000000
2025-10-01,7,-590098164,109a4104331f057d7b2c42b8fb8b308c062da090,1,3000308891,3000.3088910000000000
2025-10-01,8,-595491679,0cd45dc8b4414aff3d20cc64a459e4edb3537577,1,2999999999,2999.9999990000000000
2025-10-01,9,1844175763,f9dba541f43afd4c181a535baf3699d7de4d0b9e,1,1644384532,1644.3845320000000000
2025-10-01,10,-594857315,0cf67a648f170a0c1ac5169bc509ea08e3661c4e,1,999999999,999.9999990000000000
2025-10-01,11,-592858162,a2e91a57a9a216d76f8232b421fc5f7a2842663a,1,844999999,844.9999990000000000
2025-10-01,12,-612267079,8ffe6ce1a13b4862872fb0b7c7863310f3796a81,1,626249725,626.2497250000000000
