month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2025-03-01,1,1,119999999996,119999.999996000000,1,1,2
2025-04-01,9596,9596,560609138147,560609.138147000000,4,9583,9587
2025-05-01,858,858,16314912547255,16314912.547255000000,7,22,29
2025-06-01,701,696,18199893161787,18199893.161787000000,16,40,56
2025-07-01,438,429,3912638640857,3912638.640857000000,18,75,93
2025-08-01,873,851,59272223733803,59272223.733803000000,36,236,272
2025-09-01,808,783,20836682255202,20836682.255202000000,38,407,445
2025-10-01,1837,1810,58689659338777,58689659.338777000000,47,698,745
2025-11-01,2308,1713,49273794052963,49273794.052963000000,39,1051,1090
2025-12-01,1392,1288,67376720600097,67376720.600097000000,51,522,573
2026-01-01,778,766,30983199193220,30983199.193220000000,41,347,388
2026-02-01,1281,1271,43253743602774,43253743.602774000000,43,527,570
2026-03-01,1305,1297,68094811942446,68094811.942446000000,47,507,554
2026-04-01,3739,3734,75629397711242,75629397.711242000000,50,494,544
2026-05-01,13865,13846,165612309165739,165612309.1657390000,53,511,564
2026-06-01,6519,6510,116318014630074,116318014.6300740000,43,430,473
