month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2025-03-01,119999.999996000000,2,2,1,1
2025-04-01,560609.138147000000,9587,9586,9596,9596
2025-05-01,16314912.547255000000,29,25,858,858
2025-06-01,18199893.161787000000,56,45,696,701
2025-07-01,3912638.640857000000,93,69,429,438
2025-08-01,59272223.733803000000,272,245,851,873
2025-09-01,20836682.255202000000,445,385,783,808
2025-10-01,58689659.338777000000,745,619,1810,1837
2025-11-01,49273794.052963000000,1090,866,1713,2308
2025-12-01,67376720.600097000000,573,344,1288,1392
2026-01-01,30983199.193220000000,388,184,766,778
2026-02-01,43253743.602774000000,570,336,1271,1281
2026-03-01,68094811.942446000000,554,292,1297,1305
2026-04-01,75629397.711242000000,544,285,3734,3739
2026-05-01,165612309.1657390000,564,320,13846,13865
2026-06-01,116318014.6300740000,473,210,6510,6519
