month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2025-04-01,9600,9600,163439794384,163439.794384000000,3,4,4
2025-05-01,40,29,2355478040151,2355478.040151000000,6,8,9
2025-06-01,136,78,6197400061032,6197400.061032000000,21,30,32
2025-07-01,263,144,2508941589916,2508941.589916000000,31,39,46
2025-08-01,842,508,70203436054690,70203436.054690000000,79,103,110
2025-09-01,933,701,29156120294131,29156120.294131000000,55,92,99
2025-10-01,1918,1538,82668382829121,82668382.829121000000,112,145,158
2025-11-01,1814,1472,62449542292899,62449542.292899000000,86,140,157
2025-12-01,3624,2391,236119825825546,236119825.8255460000,126,144,156
2026-01-01,1212,927,47186316772583,47186316.772583000000,72,87,96
2026-02-01,1730,1410,64200289997127,64200289.997127000000,104,120,132
2026-03-01,2071,1664,99981300401592,99981300.401592000000,110,129,142
2026-04-01,1921,1594,87672810075588,87672810.075588000000,96,120,131
2026-05-01,4949,3353,166236812171046,166236812.1710460000,109,124,139
2026-06-01,1994,1564,91413617364095,91413617.364095000000,79,96,107
