month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2025-04-01,163439.794384000000,4,4,9600,9600
2025-05-01,2355478.040151000000,9,7,29,40
2025-06-01,6197400.061032000000,32,24,78,136
2025-07-01,2508941.589916000000,46,25,144,263
2025-08-01,70203436.054690000000,110,87,508,842
2025-09-01,29156120.294131000000,99,68,701,933
2025-10-01,82668382.829121000000,158,108,1538,1918
2025-11-01,62449542.292899000000,157,90,1472,1814
2025-12-01,236119825.8255460000,156,77,2391,3624
2026-01-01,47186316.772583000000,96,25,927,1212
2026-02-01,64200289.997127000000,132,52,1410,1730
2026-03-01,99981300.401592000000,142,54,1664,2071
2026-04-01,87672810.075588000000,131,35,1594,1921
2026-05-01,166236812.1710460000,139,39,3353,4949
2026-06-01,91413617.364095000000,107,23,1564,1994
