month,size_bucket,transfer_count,bucket_volume
2025-04-01,10-100,9586,129915.9444570000000000
2025-04-01,100-1000,7,1891.7473360000000000
2025-04-01,1000-10000,6,20571.0222160000000000
2025-04-01,10000-100000,1,11061.080375000000
2025-05-01,<0.01,9,0.000243000000000000000000
2025-05-01,1-10,2,9.3993220000000000
2025-05-01,10-100,4,176.1813520000000000
2025-05-01,100-1000,4,2744.7867070000000000
2025-05-01,1000-10000,12,64935.4796360000000000
2025-05-01,10000-100000,6,300979.239556000000
2025-05-01,100000-1000000,1,105048.416833000000
2025-05-01,1000000-10000000,1,1881584.536502000000
2025-06-01,<0.01,5,0.01274400000000000000
2025-06-01,0.01-0.1,4,0.10913100000000000000
2025-06-01,0.1-1,2,1.35881900000000000000
2025-06-01,1-10,31,116.06066200000000000000
2025-06-01,10-100,6,232.9301150000000000
2025-06-01,100-1000,20,13576.7394670000000000
2025-06-01,1000-10000,37,131756.4615680000000000
2025-06-01,10000-100000,18,755078.320352000000
2025-06-01,100000-1000000,8,1279861.898286000000
2025-06-01,1000000-10000000,1,4016776.169888000000
2025-07-01,<0.01,10,0.051160000000000000000000
2025-07-01,0.01-0.1,1,0.07059300000000000000
2025-07-01,0.1-1,5,2.23346300000000000000
2025-07-01,1-10,48,173.97325300000000000000
2025-07-01,10-100,20,850.8161760000000000
2025-07-01,100-1000,62,36610.0006140000000000
2025-07-01,1000-10000,81,291049.4162280000000000
2025-07-01,10000-100000,30,990564.379553000000
2025-07-01,100000-1000000,3,1189690.648876000000
2025-08-01,<0.01,11,0.027513000000000000000000
2025-08-01,0.01-0.1,3,0.20719500000000000000
2025-08-01,0.1-1,13,6.35270800000000000000
2025-08-01,1-10,74,308.78629900000000000000
2025-08-01,10-100,52,2250.7910380000000000
2025-08-01,100-1000,160,74731.5460390000000000
2025-08-01,1000-10000,194,719819.4211310000000000
2025-08-01,10000-100000,237,10408531.9867960000000000
2025-08-01,100000-1000000,95,27111353.963076000000
2025-08-01,1000000-10000000,1,1309993.999999000000
2025-08-01,>=10000000,2,30576438.972896000000
2025-09-01,<0.01,13,0.039802000000000000000000
2025-09-01,0.01-0.1,3,0.14598600000000000000
2025-09-01,0.1-1,8,4.64928400000000000000
2025-09-01,1-10,48,157.3317600000000000
2025-09-01,10-100,41,1584.7776290000000000
