month,newly_adopted_addresses
2023-06-01,4
2023-07-01,64
2023-08-01,28
2023-09-01,14
2023-10-01,35
2023-11-01,13
2023-12-01,8
2024-01-01,21
2024-02-01,21
2024-03-01,13
2024-04-01,13
2024-05-01,15
2024-06-01,21
2024-07-01,14
2024-08-01,20
2024-09-01,16
2024-10-01,39
2024-11-01,29
2024-12-01,27
2025-01-01,84
2025-02-01,62
2025-03-01,14
2025-04-01,13
2025-05-01,3
2025-06-01,6
2025-07-01,7
2025-08-01,7
2025-09-01,9
2025-10-01,3
2025-11-01,11
2025-12-01,4
2026-01-01,5
2026-02-01,4
2026-03-01,7
2026-04-01,21
2026-05-01,6
2026-06-01,26
