month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2023-06-01,2376000.000000000000,4,4,5,5
2023-07-01,12405185.798740420370,67,64,116,123
2023-08-01,38571360.428744356885,55,28,157,167
2023-09-01,25586384.397629066061,40,14,97,108
2023-10-01,45973942.197349647249,60,35,132,139
2023-11-01,66174897.955218620000,30,13,94,94
2023-12-01,73800835.024039280000,21,8,109,109
2024-01-01,111846971.47626482,37,21,172,172
2024-02-01,88852758.068321737742,41,21,256,256
2024-03-01,22412753.222427340000,35,13,100,100
2024-04-01,6026211.346683460000,28,13,138,138
2024-05-01,6422297.803917117742,41,15,129,129
2024-06-01,3718737.332071560000,40,21,134,134
2024-07-01,3275505.348004420000,36,14,147,147
2024-08-01,8205844.400930037742,47,20,177,178
2024-09-01,2538456.037862287742,34,16,108,108
2024-10-01,7563036.840860091732,59,39,170,170
2024-11-01,612418.887254430000,50,29,83,83
2024-12-01,1363841.666651480000,44,27,94,94
2025-01-01,4735759.774917518495,112,84,414,414
2025-02-01,4421794.126684771282,95,62,770,772
2025-03-01,1354553.848998212849,44,14,93,94
2025-04-01,2606397.360973410000,37,13,85,85
2025-05-01,889742.222217952190,21,3,87,87
2025-06-01,140341.281702840000,24,6,33,33
2025-07-01,4223556.728511780000,19,7,45,45
2025-08-01,4912263.394953315483,18,7,58,58
2025-09-01,134568.073200000000,19,9,54,54
2025-10-01,365368.771555970000,23,3,23,23
2025-11-01,166516.618899500000,28,11,32,32
2025-12-01,86374.289600000000,11,4,22,22
2026-01-01,67821.000000000000,13,5,30,30
2026-02-01,87621.640000000000,12,4,26,26
2026-03-01,1370600.180866530615,23,7,20,22
2026-04-01,361481.092058564031,32,21,35,44
2026-05-01,65528.135760416865,20,6,16,29
2026-06-01,84687.955134622592,43,26,48,62
