month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2023-06-01,3,3,1376000000000000000000000,1376000.000000000000,1,2,3
2023-07-01,61,61,8705856014314434496886260,8705856.014314434497,33,38,45
2023-08-01,95,95,29596688073531916095609677,29596688.073531916096,26,31,39
2023-09-01,36,36,16573914162796782868355643,16573914.162796782868,18,15,24
2023-10-01,86,86,25669201446602153549400001,25669201.446602153549,35,34,48
2023-11-01,68,68,35869218335118620000000000,35869218.335118620000,16,17,25
2023-12-01,95,95,41942086682693850000000000,41942086.682693850000,15,16,20
2024-01-01,135,135,54820567374564820000000000,54820567.374564820000,20,25,32
2024-02-01,150,150,48675222941847120000000000,48675222.941847120000,31,25,36
2024-03-01,71,71,10516257390427340000000000,10516257.390427340000,21,23,32
2024-04-01,123,123,3528420106683460000000000,3528420.106683460000,17,20,27
2024-05-01,112,112,2277628003240950000000000,2277628.003240950000,20,24,35
2024-06-01,115,115,2263522772071560000000000,2263522.772071560000,23,29,38
2024-07-01,119,119,2574213744855620000000000,2574213.744855620000,21,19,28
2024-08-01,149,149,7166174129617550000000000,7166174.129617550000,29,30,41
2024-09-01,90,90,1839845749317100000000000,1839845.749317100000,20,23,31
2024-10-01,148,148,4641655433861323990373836,4641655.433861323990,31,50,57
2024-11-01,80,80,603713729368380000000000,603713.729368380000,24,39,47
2024-12-01,86,86,1342904628765430000000000,1342904.628765430000,27,35,41
2025-01-01,198,198,4172184774770858494600000,4172184.774770858495,56,55,76
2025-02-01,339,339,2873256229884771281754581,2873256.229884771282,68,42,75
2025-03-01,87,87,1351444882636572848830377,1351444.882636572849,32,29,39
2025-04-01,80,80,2573956498073410000000000,2573956.498073410000,25,26,32
2025-05-01,86,86,889573322217952189770782,889573.322217952190,16,16,20
2025-06-01,31,31,140218443202840000000000,140218.443202840000,16,17,21
2025-07-01,41,41,4223383228511780000000000,4223383.228511780000,13,12,17
2025-08-01,49,49,4187068836953315483029454,4187068.836953315483,9,12,14
2025-09-01,31,31,69333684600000000000000,69333.684600000000,13,11,16
2025-10-01,19,19,365256771555970000000000,365256.771555970000,16,6,18
2025-11-01,17,17,108301446199500000000000,108301.446199500000,12,14,19
2025-12-01,2,2,10254289600000000000000,10254.289600000000,2,2,3
2026-01-01,1,1,80000000000000000000,80.0000000000000000,1,1,2
2026-02-01,1,1,1440000000000000000000,1440.0000000000000000,1,1,2
2026-03-01,10,10,1263397389535540000000000,1263397.389535540000,10,6,13
2026-04-01,12,12,336504059900000000000000,336504.059900000000,9,11,16
2026-05-01,2,2,25000000000001000,0.02500000000000100000,2,2,4
2026-06-01,27,27,29124165048406333988753,29124.165048406334,5,20,24
