month,newly_adopted_addresses
2023-06-01,3
2023-07-01,43
2023-08-01,19
2023-09-01,7
2023-10-01,29
2023-11-01,12
2023-12-01,8
2024-01-01,19
2024-02-01,19
2024-03-01,14
2024-04-01,13
2024-05-01,14
2024-06-01,20
2024-07-01,8
2024-08-01,19
2024-09-01,15
2024-10-01,38
2024-11-01,28
2024-12-01,26
2025-01-01,49
2025-02-01,47
2025-03-01,13
2025-04-01,14
2025-05-01,3
2025-06-01,4
2025-07-01,6
2025-08-01,4
2025-09-01,7
2025-10-01,5
2025-11-01,8
2026-01-01,1
2026-02-01,1
2026-03-01,2
2026-04-01,10
2026-05-01,3
2026-06-01,18
