month,size_bucket,transfer_count,bucket_volume
2023-06-01,100000-1000000,2,376000.000000000000
2023-06-01,1000000-10000000,1,1000000.000000000000
2023-07-01,0.1-1,1,0.10000000000000000000
2023-07-01,1-10,2,10.0000000000000000
2023-07-01,10-100,15,658.4816000000000000
2023-07-01,100-1000,7,1272.0549466387803768
2023-07-01,1000-10000,4,15015.4316500000000000
2023-07-01,10000-100000,18,609673.946117795717
2023-07-01,100000-1000000,11,3957526.000000000000
2023-07-01,1000000-10000000,3,4121700.000000000000
2023-08-01,10-100,3,119.6769520000000000
2023-08-01,100-1000,5,1565.7697599100000000
2023-08-01,1000-10000,21,100218.3893600000000000
2023-08-01,10000-100000,25,862459.199542554620
2023-08-01,100000-1000000,32,13019728.847917451476
2023-08-01,1000000-10000000,9,15612596.190000000000
2023-09-01,10-100,2,99.9662513600000000
2023-09-01,100-1000,2,788.6675000000000000
2023-09-01,1000-10000,7,26297.0244000000000000
2023-09-01,10000-100000,12,537178.504645422867
2023-09-01,100000-1000000,6,2700000.000000000000
2023-09-01,1000000-10000000,7,13309550.000000000000
2023-10-01,10-100,8,364.8095810500000000
2023-10-01,100-1000,14,5565.5711240200000000
2023-10-01,1000-10000,23,85098.4390052900000000
2023-10-01,10000-100000,18,707474.229370692864
2023-10-01,100000-1000000,16,7548109.655593750000
2023-10-01,1000000-10000000,7,17322588.741927350685
2023-11-01,10-100,2,109.9999388400000000
2023-11-01,100-1000,10,4043.8191415100000000
2023-11-01,1000-10000,14,56228.9287382700000000
2023-11-01,100000-1000000,31,12008925.047200000000
2023-11-01,1000000-10000000,10,23799910.540100000000
2023-12-01,10-100,1,27.8500000000000000
2023-12-01,100-1000,10,3331.8605927200000000
2023-12-01,1000-10000,17,58826.7373823100000000
2023-12-01,10000-100000,9,389880.234718820000
2023-12-01,100000-1000000,47,17840020.000000000000
2023-12-01,1000000-10000000,11,23650000.000000000000
2024-01-01,1-10,1,5.0000000000000000
2024-01-01,10-100,3,177.2961195500000000
2024-01-01,100-1000,17,10656.2336868500000000
2024-01-01,1000-10000,31,106099.9231266200000000
2024-01-01,10000-100000,10,490227.761631800000
2024-01-01,100000-1000000,49,17163477.610000000000
2024-01-01,1000000-10000000,24,37049923.550000000000
2024-02-01,10-100,1,29.0000000000000000
2024-02-01,100-1000,17,5970.8083845800000000
2024-02-01,1000-10000,15,51425.1634625400000000
2024-02-01,10000-100000,41,1067083.2000000000000000
2024-02-01,100000-1000000,64,23807981.260000000000
2024-02-01,1000000-10000000,12,23742733.510000000000
2024-03-01,10-100,5,285.7415653200000000
2024-03-01,100-1000,3,945.3762262600000000
2024-03-01,1000-10000,22,73190.7736358200000000
2024-03-01,10000-100000,26,738244.568999940000
2024-03-01,100000-1000000,13,6203590.930000000000
2024-03-01,1000000-10000000,2,3500000.000000000000
2024-04-01,10-100,5,228.0745719800000000
2024-04-01,100-1000,51,22606.2202797200000000
2024-04-01,1000-10000,44,122526.8064217600000000
2024-04-01,10000-100000,12,423721.010000000000
2024-04-01,100000-1000000,11,2959337.995410000000
2024-05-01,10-100,6,321.6689000000000000
2024-05-01,100-1000,63,30966.6114841000000000
2024-05-01,1000-10000,27,61550.8428568500000000
2024-05-01,10000-100000,7,389741.850000000000
2024-05-01,100000-1000000,9,1795047.030000000000
2024-06-01,10-100,5,289.1829900000000000
2024-06-01,100-1000,25,14742.7504503500000000
2024-06-01,1000-10000,60,233980.5876734800000000
2024-06-01,10000-100000,17,508379.193855560000
2024-06-01,100000-1000000,8,1506131.057102170000
2024-07-01,10-100,1,35.8461498000000000
2024-07-01,100-1000,17,11159.9394006900000000
2024-07-01,1000-10000,58,238587.8199749800000000
2024-07-01,10000-100000,39,961887.5054873000000000
2024-07-01,100000-1000000,4,1362542.633842850000
2024-08-01,1-10,1,1.00000000000000000000
2024-08-01,10-100,2,69.9360423400000000
2024-08-01,100-1000,17,9105.6168454700000000
2024-08-01,1000-10000,45,257502.2395490200000000
2024-08-01,10000-100000,57,2291075.3138938300000000
2024-08-01,100000-1000000,27,4608420.023286890000
2024-09-01,1-10,1,2.0052017700000000
2024-09-01,10-100,4,176.0985975000000000
2024-09-01,100-1000,16,8147.6558772500000000
2024-09-01,1000-10000,33,139746.5257755800000000
2024-09-01,10000-100000,34,1345115.813971780000
2024-09-01,100000-1000000,2,346657.649893220000
