month,newly_adopted_addresses
2023-06-01,2
2023-07-01,23
2023-08-01,11
2023-09-01,6
2023-10-01,9
2023-11-01,3
2024-01-01,5
2024-02-01,10
2024-03-01,1
2024-04-01,1
2024-05-01,2
2024-06-01,3
2024-07-01,5
2024-08-01,5
2024-09-01,1
2024-10-01,1
2024-11-01,2
2024-12-01,4
2025-01-01,42
2025-02-01,38
2025-03-01,3
2025-04-01,2
2025-05-01,1
2025-06-01,2
2025-07-01,3
2025-08-01,3
2025-09-01,4
2025-10-01,4
2025-11-01,7
2025-12-01,4
2026-01-01,4
2026-02-01,4
2026-03-01,5
2026-04-01,9
2026-05-01,3
2026-06-01,7
