month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2023-06-01,1000000.000000000000,2,2,2,2
2023-07-01,532637.547779142638,23,23,22,22
2023-08-01,3702241.860452720469,17,11,24,24
2023-09-01,3685415.507314993129,16,6,27,27
2023-10-01,10662841.829189925014,20,9,22,22
2023-11-01,15005671.620100000000,6,3,13,13
2023-12-01,16000000.000000000000,2,0,7,7
2024-01-01,27780649.951700000000,9,5,27,27
2024-02-01,20687658.584801277742,15,10,80,80
2024-03-01,4916495.832000000000,6,1,26,26
2024-04-01,2497791.240000000000,5,1,15,15
2024-05-01,1031269.880000000000,7,2,14,14
2024-06-01,1455214.560000000000,8,3,19,19
2024-07-01,690463.260000000000,10,5,23,23
2024-08-01,594308.371644327742,9,5,24,25
2024-09-01,333811.400000000000,4,1,15,15
2024-10-01,1366140.297121977742,6,1,13,13
2024-11-01,309.0000000000000000,3,2,2,2
2024-12-01,20937.037886050000,7,4,8,8
2025-01-01,413402.674700000000,45,42,212,212
2025-02-01,695013.232800000000,47,38,420,422
2025-03-01,2878.9831808200000000,7,3,5,6
2025-04-01,32420.862900000000,5,2,4,4
2025-05-01,168.9000000000000000,2,1,1,1
2025-06-01,122.8385000000000000,3,2,2,2
2025-07-01,173.5000000000000000,4,3,4,4
2025-08-01,375174.558000000000,5,3,5,5
2025-09-01,65234.388600000000,6,4,23,23
2025-10-01,112.0000000000000000,6,4,4,4
2025-11-01,29153.586350000000,9,7,10,10
2025-12-01,38515.000000000000,7,4,11,11
2026-01-01,34341.000000000000,10,4,17,17
2026-02-01,43290.820000000000,10,4,13,13
2026-03-01,77142.791400000000,9,5,7,7
2026-04-01,10892.149389598689,12,9,10,10
2026-05-01,41650.208486805622,10,3,7,7
2026-06-01,5294.6311371632922884,14,7,10,10
