month,size_bucket,transfer_count,bucket_volume
2023-06-01,1000-10000,1,1000.0000000000000000
2023-06-01,100000-1000000,1,999000.000000000000
2023-07-01,0.1-1,1,0.70000000000000000000
2023-07-01,100-1000,3,1607.2334986387803768
2023-07-01,1000-10000,7,46588.9030460378832778
2023-07-01,10000-100000,11,484440.711234465975
2023-08-01,1-10,3,5.50000000000000000000
2023-08-01,10-100,2,36.8280000000000000
2023-08-01,100-1000,1,247.5395631986885726
2023-08-01,1000-10000,2,14757.5732000000000000
2023-08-01,10000-100000,15,687194.419689521781
2023-08-01,1000000-10000000,1,3000000.000000000000
2023-09-01,1-10,1,2.0000000000000000
2023-09-01,10-100,1,20.3000000000000000
2023-09-01,100-1000,4,845.7807650104116995
2023-09-01,1000-10000,3,7646.0225000000000000
2023-09-01,10000-100000,15,519559.877849982717
2023-09-01,100000-1000000,1,157341.526200000000
2023-09-01,1000000-10000000,2,3000000.000000000000
2023-10-01,1-10,1,1.00000000000000000000
2023-10-01,10-100,1,96.0000000000000000
2023-10-01,100-1000,4,400.0000000000000000
2023-10-01,1000-10000,7,33895.3120000000000000
2023-10-01,10000-100000,5,207087.180485346432
2023-10-01,1000000-10000000,4,10421362.336704578582
2023-11-01,1-10,1,5.0000000000000000
2023-11-01,10-100,2,21.0000000000000000
2023-11-01,100-1000,4,1150.0000000000000000
2023-11-01,1000-10000,1,4585.0800000000000000
2023-11-01,1000000-10000000,5,14999910.540100000000
2023-12-01,1000000-10000000,7,16000000.000000000000
2024-01-01,1-10,1,3.2000000000000000
2024-01-01,10-100,2,41.4500000000000000
2024-01-01,100-1000,1,100.0000000000000000
2024-01-01,1000-10000,3,7226.5917000000000000
2024-01-01,10000-100000,2,80000.000000000000
2024-01-01,100000-1000000,2,1443377.710000000000
2024-01-01,1000000-10000000,16,26249901.000000000000
2024-02-01,10-100,2,110.0000000000000000
2024-02-01,100-1000,3,1171.0000000000000000
2024-02-01,1000-10000,3,10875.0000000000000000
2024-02-01,10000-100000,40,1209908.0600000000000000
2024-02-01,100000-1000000,28,10952861.014801277742
2024-02-01,1000000-10000000,4,8512733.510000000000
2024-03-01,100-1000,1,500.0000000000000000
2024-03-01,10000-100000,17,420757.222000000000
2024-03-01,100000-1000000,7,1995238.610000000000
2024-03-01,1000000-10000000,1,2500000.000000000000
2024-04-01,1000-10000,2,4066.0000000000000000
2024-04-01,10000-100000,5,211513.460000000000
2024-04-01,100000-1000000,8,2282211.780000000000
2024-05-01,10-100,1,16.0000000000000000
2024-05-01,100-1000,1,290.0000000000000000
2024-05-01,1000-10000,1,2175.0000000000000000
2024-05-01,10000-100000,7,389741.850000000000
2024-05-01,100000-1000000,4,639047.030000000000
2024-06-01,1-10,1,1.00000000000000000000
2024-06-01,100-1000,3,1784.5400000000000000
2024-06-01,1000-10000,3,25479.0000000000000000
2024-06-01,10000-100000,5,124911.000000000000
2024-06-01,100000-1000000,7,1303039.020000000000
2024-07-01,10-100,1,20.0000000000000000
2024-07-01,100-1000,2,852.8300000000000000
2024-07-01,1000-10000,10,72500.2400000000000000
2024-07-01,10000-100000,8,210731.270000000000
2024-07-01,100000-1000000,2,406358.920000000000
2024-08-01,10-100,1,14.9736396690149988
2024-08-01,100-1000,4,783.6513000000000000
2024-08-01,1000-10000,8,66948.7663603309850012
2024-08-01,10000-100000,9,195403.000000000000
2024-08-01,100000-1000000,3,331157.980344327742
2024-09-01,10-100,2,59.3900000000000000
2024-09-01,100-1000,1,996.0000000000000000
2024-09-01,1000-10000,4,31974.0000000000000000
2024-09-01,10000-100000,8,300782.010000000000
2024-10-01,1000-10000,1,8964.0000000000000000
2024-10-01,10000-100000,7,346010.786302230000
2024-10-01,100000-1000000,5,1011165.510819747742
2024-11-01,10-100,1,14.0000000000000000
2024-11-01,100-1000,1,295.0000000000000000
2024-12-01,10-100,1,30.0000000000000000
2024-12-01,100-1000,2,1112.3200000000000000
2024-12-01,1000-10000,5,19794.7178860500000000
2025-01-01,1-10,16,64.66000000000000000000
2025-01-01,10-100,24,841.0000000000000000
2025-01-01,100-1000,32,20921.9700000000000000
2025-01-01,1000-10000,139,371837.7500000000000000
2025-01-01,10000-100000,1,19737.294700000000
2025-02-01,1-10,6,35.5608419488527883
2025-02-01,10-100,19,887.3340191924188709
2025-02-01,100-1000,155,107354.7995808075811291
2025-02-01,1000-10000,239,555535.5383580511472117
2025-02-01,10000-100000,3,31200.0000000000000000
2025-03-01,1-10,2,2.87807684841761120000
2025-03-01,100-1000,3,777.1051039715823888
2025-03-01,1000-10000,1,2099.0000000000000000
2025-04-01,1-10,1,1.00000000000000000000
2025-04-01,100-1000,2,568.0000000000000000
2025-04-01,10000-100000,1,31851.862900000000
2025-05-01,100-1000,1,168.9000000000000000
2025-06-01,10-100,2,122.8385000000000000
2025-07-01,0.1-1,1,0.50000000000000000000
