month,transfer_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2019-04-01,5,20000000000000,20000000.0,2,2,3
2019-09-01,10,109950004000000,109950004.0,5,7,7
2019-10-01,5,3536753644220,3536753.64422,2,5,6
2019-11-01,131,7323218674504,7323218.674504,8,21,22
2019-12-01,144,9754055877591,9754055.877591,12,17,20
2020-01-01,211,1747304242412,1747304.242412,21,13,24
2020-02-01,2,70608658884,70608.658884,2,2,3
2020-03-01,2,208080150,208.08015,2,2,3
2020-04-01,2,20000000,20.0,2,2,3
2020-05-01,3,5270032435,5270.032435,1,2,3
2020-06-01,32,94235978487550,94235978.48755,3,6,6
2020-07-01,3,11156667570,11156.66757,3,3,5
2020-08-01,3,5145184174,5145.184174,2,3,4
2020-09-01,35,131746596922,131746.596922,7,11,12
2020-10-01,120,4547334805888,4547334.805888,6,9,9
2020-11-01,3,4647497960,4647.49796,1,2,3
2020-12-01,1,1260474135,1260.474135,1,1,2
2021-02-01,14,92858026124420,92858026.12442,2,3,3
2021-03-01,1,47627775920,47627.77592,1,1,2
2021-05-01,3,27470720960,27470.72096,1,1,2
2021-06-01,1,6671454,6.671454,1,1,2
2022-09-01,1,246076752177,246076.752177,1,1,2
2022-10-01,1,3644242900,3644.2429,1,1,2
2022-11-01,1,36342448412,36342.448412,1,1,2
2022-12-01,2,307990396,307.990396,2,1,3
2023-01-01,3,15000177760000,15000177.76,3,3,5
2023-03-01,5,140486515713,140486.515713,2,3,4
2023-04-01,2,5148949850,5148.94985,1,1,2
2023-05-01,3,47053461500,47053.4615,3,3,4
2023-06-01,2,7123473200,7123.4732,2,2,4
2023-07-01,2,14138162078,14138.162078,2,2,3
2023-08-01,1,200000000,200.0,1,1,2
2023-09-01,9,45643333366,45643.333366,8,8,10
2023-10-01,2,400000000,400.0,2,2,3
2023-11-01,1,307990396,307.990396,1,1,2
2023-12-01,8,215999963,215.999963,4,7,7
2024-02-01,2,184280384470,184280.38447,2,2,3
2024-03-01,9,5050000000,5050.0,4,4,4
2024-04-01,2,1200000000,1200.0,2,2,3
2024-09-01,1,39986691312,39986.691312,1,1,2
2024-10-01,1,178913235850,178913.23585,1,1,2
2024-12-01,1,39986691312,39986.691312,1,1,2
2025-02-01,3,5632285565,5632.285565,3,3,4
2025-04-01,4,251269249,251.269249,3,4,4
2025-05-01,2,80000000,80.0,2,2,3
2025-11-01,13,125663514,125.663514,6,6,7
2026-03-01,1,1000000,1.0,1,1,2
2026-06-01,1,0,0.0,1,1,2
