month,newly_adopted_addresses
2019-04-01,3
2019-09-01,5
2019-10-01,5
2019-11-01,19
2019-12-01,11
2020-01-01,7
2020-03-01,2
2020-04-01,2
2020-05-01,2
2020-06-01,2
2020-07-01,2
2020-08-01,2
2020-09-01,9
2020-10-01,4
2020-11-01,1
2020-12-01,1
2021-06-01,1
2022-09-01,1
2022-10-01,1
2022-12-01,1
2023-01-01,2
2023-03-01,3
2023-05-01,1
2023-06-01,1
2023-07-01,1
2023-08-01,1
2023-09-01,6
2023-10-01,1
2023-11-01,1
2023-12-01,5
2024-03-01,3
2024-09-01,1
2024-12-01,1
2025-02-01,1
2025-04-01,3
2025-05-01,1
2025-11-01,6
2026-06-01,2
