month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2019-04-01,20000000.000000000000,2,2,5,5
2019-09-01,109950004.0000000000,6,5,10,10
2019-10-01,3536753.644220000000,6,5,5,5
2019-11-01,7323218.674504000000,22,19,131,131
2019-12-01,9754055.877591000000,20,11,144,144
2020-01-01,1747304.242412000000,24,7,211,211
2020-02-01,70608.658884000000,3,0,2,2
2020-03-01,208.0801500000000000,3,2,2,2
2020-04-01,20.0000000000000000,3,2,2,2
2020-05-01,5270.0324350000000000,3,2,3,3
2020-06-01,94235978.487550000000,6,2,32,32
2020-07-01,11156.667570000000,5,2,3,3
2020-08-01,5145.1841740000000000,4,2,3,3
2020-09-01,131746.596922000000,12,9,35,35
2020-10-01,4547334.805888000000,9,4,120,120
2020-11-01,4647.4979600000000000,3,1,3,3
2020-12-01,1260.4741350000000000,2,1,1,1
2021-02-01,92858026.124420000000,3,0,14,14
2021-03-01,47627.775920000000,2,0,1,1
2021-05-01,27470.720960000000,2,0,3,3
2021-06-01,6.6714540000000000,2,1,1,1
2022-09-01,246076.752177000000,2,1,1,1
2022-10-01,3644.2429000000000000,2,1,1,1
2022-11-01,36342.448412000000,2,0,1,1
2022-12-01,307.9903960000000000,3,1,2,2
2023-01-01,15000177.760000000000,5,2,3,3
2023-03-01,140486.515713000000,4,3,5,5
2023-04-01,5148.9498500000000000,2,0,2,2
2023-05-01,47053.461500000000,4,1,3,3
2023-06-01,7123.4732000000000000,4,1,2,2
2023-07-01,14138.162078000000,3,1,2,2
2023-08-01,200.0000000000000000,2,1,1,1
2023-09-01,45643.333366000000,10,6,9,9
2023-10-01,400.0000000000000000,3,1,2,2
2023-11-01,307.9903960000000000,2,1,1,1
2023-12-01,215.9999630000000000,7,5,8,8
2024-02-01,184280.384470000000,3,0,2,2
2024-03-01,5050.0000000000000000,4,3,9,9
2024-04-01,1200.0000000000000000,3,0,2,2
2024-09-01,39986.691312000000,2,1,1,1
2024-10-01,178913.235850000000,2,0,1,1
2024-12-01,39986.691312000000,2,1,1,1
2025-02-01,5632.2855650000000000,4,1,3,3
2025-04-01,251.2692490000000000,4,3,4,4
2025-05-01,80.0000000000000000,3,1,2,2
2025-11-01,125.6635140000000000,7,6,13,13
2026-03-01,1.00000000000000000000,2,0,1,1
2026-06-01,0E-24,2,2,1,1
