month,size_bucket,transfer_count,bucket_volume
2019-04-01,0.01-0.1,1,0.01
2019-04-01,1000-10000,1,9999.99
2019-04-01,10000-100000,1,10000.0
2019-04-01,1000000-10000000,2,19980000.0
2019-09-01,1-10,2,4.0
2019-09-01,1000000-10000000,2,10000000.0
2019-09-01,>=10000000,6,99950000.0
2019-10-01,0.1-1,1,0.1
2019-10-01,10-100,1,15.0
2019-10-01,1000-10000,2,3269.64422
2019-10-01,1000000-10000000,1,3533468.9
2019-11-01,0.1-1,1,0.1
2019-11-01,10-100,4,230.410252
2019-11-01,100-1000,10,4684.964252
2019-11-01,1000-10000,40,126331.0
2019-11-01,10000-100000,62,4890002.000000001
2019-11-01,100000-1000000,14,2301970.1999999997
2019-12-01,1-10,1,2.6392
2019-12-01,100-1000,8,3265.2223639999997
2019-12-01,1000-10000,65,331893.0934369999
2019-12-01,10000-100000,48,1522272.0799999996
2019-12-01,100000-1000000,20,4891639.38519
2019-12-01,1000000-10000000,2,3004983.4573999997
2020-01-01,0.1-1,1,0.1
2020-01-01,10-100,4,174.525018
2020-01-01,100-1000,11,5793.999699
2020-01-01,1000-10000,148,687582.779035
2020-01-01,10000-100000,47,1053752.83866
2020-02-01,10000-100000,2,70608.658884
2020-03-01,100-1000,2,208.08015
2020-04-01,10-100,2,20.0
2020-05-01,10-100,2,71.9973
2020-05-01,1000-10000,1,5198.035135
2020-06-01,10-100,1,64.6267
2020-06-01,100-1000,2,470.0285
2020-06-01,1000-10000,6,22919.38724
2020-06-01,10000-100000,8,425474.1233300001
2020-06-01,100000-1000000,11,2642081.952
2020-06-01,>=10000000,4,91144968.36978
2020-07-01,100-1000,1,688.6
2020-07-01,1000-10000,2,10468.06757
2020-08-01,100-1000,1,190.0
2020-08-01,1000-10000,2,4955.184174
2020-09-01,1-10,1,2.778
2020-09-01,10-100,4,224.61001199999998
2020-09-01,100-1000,4,2092.311722
2020-09-01,1000-10000,26,129426.897188
2020-10-01,10-100,1,20.365
2020-10-01,100-1000,4,917.634337
2020-10-01,1000-10000,106,561195.773245
2020-10-01,10000-100000,4,125567.113064
2020-10-01,100000-1000000,5,3859633.920242
2020-11-01,100-1000,1,242.46314
2020-11-01,1000-10000,2,4405.03482
2020-12-01,1000-10000,1,1260.474135
2021-02-01,100-1000,9,1755.8728099999998
2021-02-01,1000000-10000000,1,3030000.0
2021-02-01,>=10000000,4,89826270.25161
2021-03-01,10000-100000,1,47627.77592
2021-05-01,1000-10000,1,2121.43792
2021-05-01,10000-100000,2,25349.28304
2021-06-01,1-10,1,6.671454
2022-09-01,100000-1000000,1,246076.752177
2022-10-01,1000-10000,1,3644.2429
2022-11-01,10000-100000,1,36342.448412
2022-12-01,100-1000,2,307.99039600000003
2023-01-01,10-100,2,177.76
2023-01-01,>=10000000,1,15000000.0
2023-03-01,1000-10000,3,9872.064418
2023-03-01,10000-100000,1,12325.411295
2023-03-01,100000-1000000,1,118289.04
2023-04-01,1000-10000,2,5148.94985
2023-05-01,1000-10000,1,7053.4615
2023-05-01,10000-100000,2,40000.0
2023-06-01,1-10,1,1.0
2023-06-01,1000-10000,1,7122.4732
2023-07-01,1000-10000,2,14138.162078
2023-08-01,100-1000,1,200.0
2023-09-01,10-100,1,14.670102
2023-09-01,100-1000,3,754.980792
2023-09-01,1000-10000,3,3834.911596
2023-09-01,10000-100000,2,41038.770876
2023-10-01,100-1000,2,400.0
2023-11-01,100-1000,1,307.990396
2023-12-01,<0.01,5,4.1e-05
2023-12-01,10-100,3,215.999922
2024-02-01,10000-100000,2,184280.38447
2024-03-01,100-1000,8,4050.0
2024-03-01,1000-10000,1,1000.0
2024-04-01,100-1000,2,1200.0
2024-09-01,10000-100000,1,39986.691312
2024-10-01,100000-1000000,1,178913.23585
2024-12-01,10000-100000,1,39986.691312
2025-02-01,10-100,1,82.285565
2025-02-01,1000-10000,2,5550.0
2025-04-01,10-100,4,251.269249
2025-05-01,10-100,2,80.0
2025-11-01,<0.01,2,0.002
2025-11-01,0.01-0.1,2,0.02
2025-11-01,0.1-1,2,0.6
2025-11-01,1-10,5,15.041514
2025-11-01,10-100,1,10.0
2025-11-01,100-1000,1,100.0
2026-03-01,1-10,1,1.0
