month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2019-11-01,66316,53660,1108439134853175986551126380,1108439134.85317599,4391,4749,6457
2019-12-01,158230,110992,795709648908223452434691413,795709648.90822345,17661,19631,22943
2020-01-01,282552,182946,1455899478036894809202950245,1455899478.03689481,29378,33255,38470
2020-02-01,449078,278266,3605903612273504432541490682,3605903612.27350443,42626,45969,51577
2020-03-01,467411,277908,2646707454327278154176101480,2646707454.32727815,46637,48737,54808
2020-04-01,321959,213368,1669802318399752296327100563,1669802318.39975230,37802,41820,47325
2020-05-01,264550,187065,1647941311398427933868843064,1647941311.39842793,40077,53100,58872
2020-06-01,319337,217826,2118390541283431398093231428,2118390541.28343140,53006,61445,70943
2020-07-01,549804,356526,13457907980959569824251015215,13457907980.95956982,78636,89258,100475
2020-08-01,555441,384034,12355001851145510386206451432,12355001851.14551039,83273,94741,107344
2020-09-01,644548,479230,24984635774026771865628364290,24984635774.02677187,98321,107106,120582
2020-10-01,470210,370508,9230095093803769869860747359,9230095093.80376987,99229,103982,120687
2020-11-01,537536,418750,12440091341904386308090534895,12440091341.90438631,98106,105800,120243
2020-12-01,795063,628147,15975439510690711042189739751,15975439510.69071104,119851,128511,147833
2021-01-01,895179,719323,36820923238618508552790511702,36820923238.61850855,146267,160802,177623
2021-02-01,563246,443411,70510764984977306118794642464,70510764984.97730612,131305,149699,164663
2021-03-01,499996,393402,30670700087082560261578935464,30670700087.08256026,116665,126905,142782
2021-04-01,496804,395511,51045713164193313462525054516,51045713164.19331346,117608,130175,147969
2021-05-01,673081,496060,91309346103213315421254308876,91309346103.21331542,106686,124702,142007
2021-06-01,660046,469464,57677121821209394633159625133,57677121821.20939463,121081,102017,142258
2021-07-01,506406,374698,47757565140524522550754391539,47757565140.52452255,80694,84432,100880
2021-08-01,425255,331749,34987157828871918574007382133,34987157828.87191857,75198,78822,94575
2021-09-01,363469,279989,37730786384293704597490773738,37730786384.29370460,67539,77257,86876
2021-10-01,386088,313858,56643301550400233022510606675,56643301550.40023302,69884,81714,91106
2021-11-01,349688,283248,53088355335232754963347785281,53088355335.23275496,73587,88026,97836
2021-12-01,337933,265043,227454948918929770949359653313,227454948918.92977095,71747,74601,90491
2022-01-01,276519,210207,51858948600712634791836490225,51858948600.71263479,51960,57706,66972
2022-02-01,236466,185361,36912200426173944199199776850,36912200426.17394420,50352,52934,63772
2022-03-01,285972,221889,37249731850888316235909444870,37249731850.88831624,60205,64940,80163
2022-04-01,230208,177632,33746943301134942785766623804,33746943301.13494279,49129,53394,63790
2022-05-01,326111,235834,74936152796504173875018268800,74936152796.50417388,62802,63540,78781
2022-06-01,344236,243896,100606921711684813768088469345,100606921711.68481377,64770,57665,78757
2022-07-01,276427,211119,147245735763293352427349673198,147245735763.29335243,52493,48661,65947
2022-08-01,316560,229902,241184905857118516250324878075,241184905857.11851625,52708,48288,65419
2022-09-01,351346,238739,193353945916188034676346380739,193353945916.18803468,55283,49596,67623
2022-10-01,240161,175679,81928607475472321815874343634,81928607475.47232182,41343,42618,52523
2022-11-01,388829,270198,111581860150218565508395540020,111581860150.21856551,59343,60537,76891
2022-12-01,267933,184531,21271677448555702656420321385,21271677448.55570266,46123,57981,68987
2023-01-01,316133,191405,18208421001884314096898493754,18208421001.88431410,50457,68424,80491
2023-02-01,264641,193183,17669159180872645123499690370,17669159180.87264512,47983,57860,75993
2023-03-01,367271,241318,49761081749102030009928294899,49761081749.10203001,61159,67283,83086
2023-04-01,176228,119001,18940252349962158157034082432,18940252349.96215816,33490,35044,44425
2023-05-01,172531,125552,15265652182786001825336979747,15265652182.78600183,36611,37644,45259
2023-06-01,184699,139732,18855786110558836498829779773,18855786110.55883650,51591,34020,60898
2023-07-01,152307,112824,32687369214433325350303788044,32687369214.43332535,30399,33130,40981
2023-08-01,168070,125545,27558992777656283114887935420,27558992777.65628311,32656,34804,42845
2023-09-01,146164,109110,27277816024975138646889979416,27277816024.97513865,30075,28810,38213
2023-10-01,187612,137314,68817115581108573846359423702,68817115581.10857385,32403,31957,40964
2023-11-01,165616,121982,91017922943063021558386596726,91017922943.06302156,29829,29285,37339
2023-12-01,194198,136789,80417892367662478109406620559,80417892367.66247811,31329,30144,38730
2024-01-01,240769,165181,163261365942926216408170116042,163261365942.92621641,35451,32664,42830
2024-02-01,172313,120617,117248095559325235658557672575,117248095559.32523566,28326,29071,35332
2024-03-01,213703,157127,113519820097329981288549436104,113519820097.32998129,32873,33286,40756
2024-04-01,204765,144729,384269643863597251796249509607,384269643863.59725180,30198,28134,36271
2024-05-01,195969,133653,231200548559319947828814333900,231200548559.31994783,28105,26633,33792
2024-06-01,162744,113456,228574043341236192851977400294,228574043341.23619285,25951,24506,31502
2024-07-01,200397,139414,317288935156394770558472651002,317288935156.39477056,26833,26318,32811
2024-08-01,269145,181223,466501174018234356554975247125,466501174018.23435655,36663,30915,43403
2024-09-01,180557,126193,205028553937824053027975593953,205028553937.82405303,28315,27184,33359
2024-10-01,157496,109293,106947288133322025251298972894,106947288133.32202525,26225,25750,31448
2024-11-01,198961,135648,120169044650693884902482510098,120169044650.69388490,29836,28828,36354
2024-12-01,208616,141015,85616450892926221082657698627,85616450892.92622108,31887,30551,38255
2025-01-01,189735,126731,87010253527816914722183295385,87010253527.81691472,27196,26456,32730
2025-02-01,312917,207218,128745642872406766729262191676,128745642872.40676673,34057,35864,42881
2025-03-01,380238,239302,180863037961819033281281384619,180863037961.81903328,37509,38111,47717
2025-04-01,347716,210710,220074650258307865107268556744,220074650258.30786511,32736,35888,42780
2025-05-01,322519,211166,261475921832980155971515414143,261475921832.98015597,32328,33414,40157
2025-06-01,311433,202821,228601958681749682865418338954,228601958681.74968287,31930,35370,40802
2025-07-01,355279,230745,151920734757839084805186500363,151920734757.83908481,37039,45377,50297
2025-08-01,466844,297226,72513916450527159853343456153,72513916450.52715985,49107,57724,64040
2025-09-01,445585,282791,70821730646271040512835084900,70821730646.27104051,46546,56955,62792
2025-10-01,592242,365339,67520875508235610139109528705,67520875508.23561014,56009,71687,78290
2025-11-01,588809,355179,61048490077863398379776177124,61048490077.86339838,52690,62679,71686
2025-12-01,847554,471772,55503383331552596251456450628,55503383331.55259625,74402,85431,90619
2026-01-01,866282,536366,54159894190390332118796240330,54159894190.39033212,105273,130523,135520
2026-02-01,834630,506391,39252656500073360718647195147,39252656500.07336072,87027,109209,114378
2026-03-01,768848,469099,54623043961580576181735480182,54623043961.58057618,92860,109440,120606
2026-04-01,563680,328230,42787603475318835607045766490,42787603475.31883561,80125,69340,98257
2026-05-01,412880,234964,40845454456360023045483181848,40845454456.36002305,49383,48490,66361
2026-06-01,501405,274108,35370563024037238649420754643,35370563024.03723865,37375,46711,52293
