month,newly_adopted_addresses
2019-11-01,6457
2019-12-01,19737
2020-01-01,30289
2020-02-01,36525
2020-03-01,35455
2020-04-01,30808
2020-05-01,41749
2020-06-01,46450
2020-07-01,67180
2020-08-01,70830
2020-09-01,80142
2020-10-01,71614
2020-11-01,70908
2020-12-01,90623
2021-01-01,114835
2021-02-01,111624
2021-03-01,91009
2021-04-01,92802
2021-05-01,81896
2021-06-01,63912
2021-07-01,50406
2021-08-01,47352
2021-09-01,46173
2021-10-01,51781
2021-11-01,59451
2021-12-01,46433
2022-01-01,32251
2022-02-01,31053
2022-03-01,40630
2022-04-01,30594
2022-05-01,35288
2022-06-01,31658
2022-07-01,26865
2022-08-01,26949
2022-09-01,26832
2022-10-01,22644
2022-11-01,35207
2022-12-01,36087
2023-01-01,44051
2023-02-01,38168
2023-03-01,40965
2023-04-01,18491
2023-05-01,22959
2023-06-01,19295
2023-07-01,18650
2023-08-01,19398
2023-09-01,15256
2023-10-01,17529
2023-11-01,15457
2023-12-01,16603
2024-01-01,18105
2024-02-01,15420
2024-03-01,18490
2024-04-01,15140
2024-05-01,14043
2024-06-01,13246
2024-07-01,14774
2024-08-01,18510
2024-09-01,15692
2024-10-01,14841
2024-11-01,16274
2024-12-01,17772
2025-01-01,15297
2025-02-01,23490
2025-03-01,25209
2025-04-01,21379
2025-05-01,21675
2025-06-01,23840
2025-07-01,31894
2025-08-01,40569
2025-09-01,40277
2025-10-01,52444
2025-11-01,45580
2025-12-01,67128
2026-01-01,108974
2026-02-01,88074
2026-03-01,88245
2026-04-01,52787
2026-05-01,37313
2026-06-01,36448
