month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2019-11-01,1108439134.85317599,6457,6457,53660,66316
2019-12-01,795709648.90822345,22943,19737,110992,158230
2020-01-01,1455899478.03689481,38470,30289,182946,282552
2020-02-01,3605903612.27350443,51577,36525,278266,449078
2020-03-01,2646707454.32727815,54808,35455,277908,467411
2020-04-01,1669802318.39975230,47325,30808,213368,321959
2020-05-01,1647941311.39842793,58872,41749,187065,264550
2020-06-01,2118390541.28343140,70943,46450,217826,319337
2020-07-01,13457907980.95956982,100475,67180,356526,549804
2020-08-01,12355001851.14551039,107344,70830,384034,555441
2020-09-01,24984635774.02677187,120582,80142,479230,644548
2020-10-01,9230095093.80376987,120687,71614,370508,470210
2020-11-01,12440091341.90438631,120243,70908,418750,537536
2020-12-01,15975439510.69071104,147833,90623,628147,795063
2021-01-01,36820923238.61850855,177623,114835,719323,895179
2021-02-01,70510764984.97730612,164663,111624,443411,563246
2021-03-01,30670700087.08256026,142782,91009,393402,499996
2021-04-01,51045713164.19331346,147969,92802,395511,496804
2021-05-01,91309346103.21331542,142007,81896,496060,673081
2021-06-01,57677121821.20939463,142258,63912,469464,660046
2021-07-01,47757565140.52452255,100880,50406,374698,506406
2021-08-01,34987157828.87191857,94575,47352,331749,425255
2021-09-01,37730786384.29370460,86876,46173,279989,363469
2021-10-01,56643301550.40023302,91106,51781,313858,386088
2021-11-01,53088355335.23275496,97836,59451,283248,349688
2021-12-01,227454948918.92977095,90491,46433,265043,337933
2022-01-01,51858948600.71263479,66972,32251,210207,276519
2022-02-01,36912200426.17394420,63772,31053,185361,236466
2022-03-01,37249731850.88831624,80163,40630,221889,285972
2022-04-01,33746943301.13494279,63790,30594,177632,230208
2022-05-01,74936152796.50417388,78781,35288,235834,326111
2022-06-01,100606921711.68481377,78757,31658,243896,344236
2022-07-01,147245735763.29335243,65947,26865,211119,276427
2022-08-01,241184905857.11851625,65419,26949,229902,316560
2022-09-01,193353945916.18803468,67623,26832,238739,351346
2022-10-01,81928607475.47232182,52523,22644,175679,240161
2022-11-01,111581860150.21856551,76891,35207,270198,388829
2022-12-01,21271677448.55570266,68987,36087,184531,267933
2023-01-01,18208421001.88431410,80491,44051,191405,316133
2023-02-01,17669159180.87264512,75993,38168,193183,264641
2023-03-01,49761081749.10203001,83086,40965,241318,367271
2023-04-01,18940252349.96215816,44425,18491,119001,176228
2023-05-01,15265652182.78600183,45259,22959,125552,172531
2023-06-01,18855786110.55883650,60898,19295,139732,184699
2023-07-01,32687369214.43332535,40981,18650,112824,152307
2023-08-01,27558992777.65628311,42845,19398,125545,168070
2023-09-01,27277816024.97513865,38213,15256,109110,146164
2023-10-01,68817115581.10857385,40964,17529,137314,187612
2023-11-01,91017922943.06302156,37339,15457,121982,165616
2023-12-01,80417892367.66247811,38730,16603,136789,194198
2024-01-01,163261365942.92621641,42830,18105,165181,240769
2024-02-01,117248095559.32523566,35332,15420,120617,172313
2024-03-01,113519820097.32998129,40756,18490,157127,213703
2024-04-01,384269643863.59725180,36271,15140,144729,204765
2024-05-01,231200548559.31994783,33792,14043,133653,195969
2024-06-01,228574043341.23619285,31502,13246,113456,162744
2024-07-01,317288935156.39477056,32811,14774,139414,200397
2024-08-01,466501174018.23435655,43403,18510,181223,269145
2024-09-01,205028553937.82405303,33359,15692,126193,180557
2024-10-01,106947288133.32202525,31448,14841,109293,157496
2024-11-01,120169044650.69388490,36354,16274,135648,198961
2024-12-01,85616450892.92622108,38255,17772,141015,208616
2025-01-01,87010253527.81691472,32730,15297,126731,189735
2025-02-01,128745642872.40676673,42881,23490,207218,312917
2025-03-01,180863037961.81903328,47717,25209,239302,380238
2025-04-01,220074650258.30786511,42780,21379,210710,347716
2025-05-01,261475921832.98015597,40157,21675,211166,322519
2025-06-01,228601958681.74968287,40802,23840,202821,311433
2025-07-01,151920734757.83908481,50297,31894,230745,355279
2025-08-01,72513916450.52715985,64040,40569,297226,466844
2025-09-01,70821730646.27104051,62792,40277,282791,445585
2025-10-01,67520875508.23561014,78290,52444,365339,592242
2025-11-01,61048490077.86339838,71686,45580,355179,588809
2025-12-01,55503383331.55259625,90619,67128,471772,847554
2026-01-01,54159894190.39033212,135520,108974,536366,866282
2026-02-01,39252656500.07336072,114378,88074,506391,834630
2026-03-01,54623043961.58057618,120606,88245,469099,768848
2026-04-01,42787603475.31883561,98257,52787,328230,563680
2026-05-01,40845454456.36002305,66361,37313,234964,412880
2026-06-01,35370563024.03723865,52293,36448,274108,501405
