month,user_rank,address_id,address,outgoing_transfer_count,outgoing_transaction_count,raw_outgoing_volume,outgoing_volume
2019-11-01,1,258036185,39755357759ce0d7f32dc8dc45414cca409ae24e,18444,17898,501677704851243667522468444,501677704.85124367
2019-11-01,2,323041305,1f487a4435f3b730d742aa4b6ef8c9e0a6b9a027,10562,10561,445319295911313788168144667,445319295.91131379
2019-11-01,3,277976766,a57bd00134b2850b2a1c55860c9e9ea100fdd6cf,2456,2414,16937550431397808084079893,16937550.431397808084
2019-11-01,4,387471628,810e5d9e59afccf5668f633d129a2b556fbb40fb,1332,1332,13299985184203566802974559,13299985.184203566803
2019-11-01,5,415520989,38d378f33477807c8a2341d5ff026a9cdcbedac3,117,117,8671680817312125896178749,8671680.817312125896
2019-11-01,6,306047993,64e151594d9730a2978e3a15af758876ace3bdd1,134,134,7694657000000000000000000,7694657.000000000000
2019-11-01,7,414059527,7d6149ad9a573a6e2ca6ebf7d4897c1b766841b4,44,26,6370563990000000000000000,6370563.990000000000
2019-11-01,8,243965322,9ae49c0d7f8f9ef4b864e004fe86ac8294e20950,2737,2709,5944773480679205853324831,5944773.480679205853
2019-11-01,9,144343,1c11ba15939e1c16ec7ca1678df6160ea2063bc5,223,219,5631455799176520490916635,5631455.799176520491
2019-11-01,10,145751087,e4a8dfca175cdca4ae370f5b7aaff24bd1c9c8ef,220,220,4100310000000000000000000,4100310.000000000000
2019-11-01,11,411781987,62ae162c9da102f2fc98374faa0d790a240158eb,417,415,3646873677188447652092563,3646873.677188447652
2019-11-01,12,267954386,91eebc9748ff7641292db705d3749544ee4733ba,197,197,3319482063324095346317505,3319482.063324095346
2019-11-01,13,223026777,564db8975a52ec98aec4f519b8d0415c63453f37,141,141,2680958000000000000000000,2680958.000000000000
2019-11-01,14,406341420,588276106aec980a9e55077a6ef72ad2a636429f,106,106,2566327000000000000000000,2566327.000000000000
2019-11-01,15,243452866,8641df2d7c730a8a24db86693fc39f7a74dd4e9d,60,60,2563818760282539528406485,2563818.760282539528
2019-11-01,16,378520277,adeeb9d09b8bcee10943198fb6f6a4229bab3675,166,161,2326836502227867842504146,2326836.502227867843
2019-11-01,17,331954568,8018280076d7fa2caa1147e441352e8a89e1ddbe,802,802,2087056284518717665193902,2087056.284518717665
2019-11-01,18,330152967,9d11b1e1445b017902e561ceb201f009b3d53a42,6,6,1864600988807524400129667,1864600.988807524400
2019-11-01,19,413793780,2a1530c4c41db0b0b2bb646cb5eb1a67b7158667,2469,2469,1801995102255093591342091,1801995.102255093591
2019-11-01,20,243482878,56178a0d5f301baf6cf3e1cd53d9863437345bf9,625,620,1752099490762387537791989,1752099.490762387538
2019-11-01,21,45181979,63825c174ab367968ec60f061753d3bbd36a0d8f,808,808,1645464751149826008829749,1645464.751149826009
2019-11-01,22,387436535,0a66b68a0d22d4d5c21012ec3b9855a7d7194019,196,196,1549770069317200000000012,1549770.069317200000
2019-11-01,23,415474293,cec16a4046dd2d1dd0b57019609e86d5d49b655d,1,1,1327380798100000000000000,1327380.798100000000
2019-11-01,24,229817548,f0a5486944d315e05dd24a3c106b95d12a105650,1,1,1327380798100000000000000,1327380.798100000000
2019-11-01,25,86618054,1550d41be3651686e1aeeea073d8d403d0bd2e30,127,127,1287939498068915671794606,1287939.498068915672
2019-11-01,26,234875887,61493b7b238732408399816dad81af454e5ab709,87,84,1255331458425509244305111,1255331.458425509244
2019-11-01,27,76787980,586e32930ac05127de429bd566eaa2758fcbd9bc,287,271,1189766631351413803295781,1189766.631351413803
2019-11-01,28,288379814,447a9652221f46471a2323b98b73911cda58fd8a,73,73,1175581887549785009033756,1175581.887549785009
2019-11-01,29,286512895,57ef012861c4937a76b5d6061be800199a2b9100,90,87,1105592856527334623504183,1105592.856527334624
2019-11-01,30,403131807,cf1394c5e2e879969fdb1f464ce1487147863dcb,396,369,1022021163075832904556695,1022021.163075832905
2019-11-01,31,418511241,5d3a536e4d6dbd6114cc1ead35777bab948e3643,224,224,1014393696807797063233339,1014393.696807797063
2019-11-01,32,564143,f39d30fa570db7940e5b3a3e42694665a1449e4b,2,2,1014182834000000000000000,1014182.834000000000
2019-11-01,33,2547024,53bd12031e4cd6af14c91d4122152ead80ccb342,20,20,999999984699349000000000,999999.984699349000
2019-11-01,34,238628083,d850d5a96c4bf296ee4368349dafc15bfc45b88b,4,4,982657160000000000000000,982657.160000000000
2019-11-01,35,82869435,6924a03bb710eaf199ab6ac9f2bb148215ae9b5d,255,251,935015171349856245212357,935015.171349856245
