month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2019-11-01,3759,3651,26778811679345212522199810,26778811.679345212522,1027,1347,1961
2019-12-01,23855,23495,96206384731690708815060133,96206384.731690708815,9416,11392,13541
2020-01-01,39751,35407,141115240721302934552098821,141115240.72130293,13719,15803,19518
2020-02-01,47717,46750,239475727705548846023005869,239475727.70554885,20808,24873,29691
2020-03-01,56806,54334,455691134151607018894995350,455691134.15160702,24439,27762,33180
2020-04-01,49689,45765,172704367954599059599187047,172704367.95459906,19640,23660,28811
2020-05-01,58676,56778,199246649746332818559733200,199246649.74633282,22727,34734,39785
2020-06-01,72640,65252,306405646100611282643454019,306405646.10061128,29188,36372,45107
2020-07-01,102023,97626,840463651144015330985620480,840463651.14401533,42188,52191,63110
2020-08-01,103789,101658,741052698707198800604977014,741052698.70719880,46399,57474,69181
2020-09-01,104112,102066,1343592640936355656172992927,1343592640.93635566,49948,59521,73760
2020-10-01,103116,102197,897614218178610445744436775,897614218.17861045,52866,57583,75017
2020-11-01,110899,110458,1174333046893241312323747265,1174333046.89324131,55102,63739,78623
2020-12-01,143126,138345,1747322979159652751952360154,1747322979.15965275,67648,72662,95313
2021-01-01,183411,182287,3168121611121821530048108053,3168121611.12182153,87195,99417,122014
2021-02-01,178215,176759,3007718018341085713109513749,3007718018.34108571,84275,106479,125296
2021-03-01,151903,142306,3122334557011603124779521402,3122334557.01160312,72116,85107,104627
2021-04-01,152216,151258,5164085153621038280477340198,5164085153.62103828,75353,86252,107565
2021-05-01,160476,159052,7098488044836695969092043369,7098488044.83669597,63701,74554,96873
2021-06-01,154552,137058,3548967953283786223599896551,3548967953.28378622,73157,53114,95265
2021-07-01,99483,95408,2917881949715647168928413966,2917881949.71564717,42642,40786,59010
2021-08-01,104536,103909,3168760419286229200685200390,3168760419.28622920,41538,42986,60322
2021-09-01,93820,87680,3434556551163462500880188802,3434556551.16346250,35322,42034,54703
2021-10-01,95223,95059,7189657867083562243739446479,7189657867.08356224,35795,46025,58898
2021-11-01,114872,114803,6010998391260781023313611668,6010998391.26078102,41495,52699,67387
2021-12-01,96421,94812,4721381845716659906919608799,4721381845.71665991,39845,41745,59792
2022-01-01,70715,70661,7392853093000513878002862465,7392853093.00051388,28632,31212,42729
2022-02-01,63204,63058,3312295008719874523211203710,3312295008.71987452,26574,28439,40574
2022-03-01,89158,86874,3481167739408331020410135404,3481167739.40833102,36041,36915,53458
2022-04-01,66993,66807,3496462276347581962657756402,3496462276.34758196,28498,29814,41283
2022-05-01,79392,79225,5867018696733876897890050671,5867018696.73387690,36462,33601,50572
2022-06-01,82187,69754,3807876014279408763948281478,3807876014.27940876,32632,30170,45310
2022-07-01,61375,61159,3356305636597207043087620010,3356305636.59720704,30532,24531,41211
2022-08-01,56582,56377,2206783951276487751982726132,2206783951.27648775,27580,22228,37284
2022-09-01,64282,51207,2130318634826645381196091754,2130318634.82664538,26350,21035,36193
2022-10-01,44624,44340,1058617177307051977201556435,1058617177.30705198,19660,18826,28662
2022-11-01,68011,66551,2285487023973797678312682640,2285487023.97379768,30007,27507,44157
2022-12-01,67145,58106,1360853911900657393373694845,1360853911.90065739,23497,31251,42622
2023-01-01,104785,69858,1020160936835011122636591082,1020160936.83501112,29241,42589,56445
2023-02-01,92332,81529,1234025019827036831349858568,1234025019.82703683,30392,37491,56067
2023-03-01,75948,72398,2961902491774284720145734851,2961902491.77428472,31702,34622,48621
2023-04-01,43370,39220,1269170582365771387522281522,1269170582.36577139,18162,17334,26354
2023-05-01,47032,41420,1005400801712717083865564291,1005400801.71271708,17265,19200,27169
2023-06-01,59980,58636,944037061068568920580039457,944037061.06856892,35385,17638,44081
2023-07-01,42605,40944,900969818264970572484234395,900969818.26497057,16319,17959,25814
2023-08-01,42109,40699,1019114959069743015768231334,1019114959.06974302,16061,17792,25379
2023-09-01,36778,35809,714209140456756297990115792,714209140.45675630,15647,14140,22556
2023-10-01,41054,39742,932031637270344488827759722,932031637.27034449,15555,15272,22934
2023-11-01,40477,39483,1123754461031104578947333575,1123754461.03110458,15386,15075,22448
2023-12-01,43844,42756,1521028915563618113967907024,1521028915.56361811,17732,16266,24856
2024-01-01,45490,44331,1277024264411594065946938300,1277024264.41159407,19197,16619,26652
2024-02-01,36947,36415,1554686782334105277967748254,1554686782.33410528,14371,15156,21548
2024-03-01,45318,44794,2338411284559759390228357034,2338411284.55975939,18355,17539,25838
2024-04-01,38057,37868,1361576177160194878647499548,1361576177.16019488,15782,14295,21532
2024-05-01,35613,35543,1247190196177933600677890245,1247190196.17793360,14238,13097,19385
2024-06-01,34281,34169,1119480777315561660318460376,1119480777.31556166,14169,12283,18621
2024-07-01,36958,36518,1136477997476155414140290633,1136477997.47615541,15252,14047,20637
2024-08-01,50024,48987,1612502140992284277298830981,1612502140.99228428,21475,17414,27717
2024-09-01,41891,41152,1000715732653767118119376020,1000715732.65376712,16068,16464,21475
2024-10-01,40370,39501,1124645662883602010579925008,1124645662.88360201,15491,15511,20911
2024-11-01,43586,43201,1420818018846348248939444999,1420818018.84634825,17019,16563,23197
2024-12-01,48084,47680,2035163205431735805210057677,2035163205.43173581,19298,17726,25803
2025-01-01,41873,41059,1672613453382367215109421090,1672613453.38236722,16604,15475,22076
2025-02-01,56541,51391,1687439343318295711904595614,1687439343.31829571,19830,20495,28483
2025-03-01,68002,59412,1902355127206730458394564894,1902355127.20673046,24512,22563,33545
2025-04-01,77401,56231,1436210291172738622808662242,1436210291.17273862,20719,22838,30398
2025-05-01,64654,59514,1906141731589655995225152278,1906141731.58965600,21465,21167,28491
2025-06-01,69363,63165,1401419594574339918727712586,1401419594.57433992,20561,21954,28028
2025-07-01,84974,78951,1821592831751011923326329790,1821592831.75101192,24588,29904,36846
2025-08-01,120227,110479,3135002866225338881104622726,3135002866.22533888,36154,40409,49688
2025-09-01,131095,115215,4294322145540581386548582049,4294322145.54058139,33246,41429,48738
2025-10-01,168390,140000,5701691185796051014444342775,5701691185.79605101,43010,55073,64514
2025-11-01,144862,121482,4969817442233338618145584482,4969817442.23333862,40743,44919,58954
2025-12-01,313691,197874,2012801558629472038829640586,2012801558.62947204,61163,46997,75348
2026-01-01,341531,260459,2023567814662492520376808062,2023567814.66249252,90228,70814,117036
2026-02-01,231890,202027,1880368287305185956054446132,1880368287.30518596,71449,57058,97082
2026-03-01,193654,174767,1892630686644126600211867779,1892630686.64412660,64714,55919,91532
2026-04-01,114833,102198,1129539167562406349058272259,1129539167.56240635,52010,34385,69874
2026-05-01,59295,52393,950885108065147586222655837,950885108.06514759,16807,26605,33179
2026-06-01,55245,47376,484589084682149891666666343,484589084.68214989,16285,23078,30015
