month,newly_adopted_addresses
2019-11-01,1961
2019-12-01,12685
2020-01-01,16385
2020-02-01,24337
2020-03-01,26652
2020-04-01,22266
2020-05-01,32497
2020-06-01,32916
2020-07-01,46845
2020-08-01,52992
2020-09-01,55594
2020-10-01,52940
2020-11-01,56773
2020-12-01,67401
2021-01-01,91305
2021-02-01,97516
2021-03-01,76764
2021-04-01,78059
2021-05-01,65696
2021-06-01,47331
2021-07-01,34164
2021-08-01,36194
2021-09-01,34530
2021-10-01,39428
2021-11-01,47671
2021-12-01,36330
2022-01-01,25266
2022-02-01,23822
2022-03-01,32279
2022-04-01,23812
2022-05-01,26874
2022-06-01,24275
2022-07-01,19517
2022-08-01,18231
2022-09-01,18162
2022-10-01,15217
2022-11-01,23390
2022-12-01,27172
2023-01-01,38201
2023-02-01,33285
2023-03-01,28681
2023-04-01,13791
2023-05-01,16043
2023-06-01,16279
2023-07-01,14768
2023-08-01,14550
2023-09-01,11275
2023-10-01,11875
2023-11-01,11512
2023-12-01,13358
2024-01-01,13676
2024-02-01,11902
2024-03-01,14617
2024-04-01,11631
2024-05-01,10387
2024-06-01,9959
2024-07-01,11840
2024-08-01,15925
2024-09-01,12940
2024-10-01,12565
2024-11-01,13644
2024-12-01,14971
2025-01-01,12919
2025-02-01,19056
2025-03-01,20561
2025-04-01,17708
2025-05-01,18015
2025-06-01,18663
2025-07-01,27095
2025-08-01,35583
2025-09-01,34814
2025-10-01,47843
2025-11-01,42450
2025-12-01,60179
2026-01-01,99036
2026-02-01,79998
2026-03-01,68197
2026-04-01,36145
2026-05-01,24279
2026-06-01,22265
