month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2019-11-01,26778811.679345212522,1961,1961,3651,3759
2019-12-01,96206384.731690708815,13541,12685,23495,23855
2020-01-01,141115240.72130293,19518,16385,35407,39751
2020-02-01,239475727.70554885,29691,24337,46750,47717
2020-03-01,455691134.15160702,33180,26652,54334,56806
2020-04-01,172704367.95459906,28811,22266,45765,49689
2020-05-01,199246649.74633282,39785,32497,56778,58676
2020-06-01,306405646.10061128,45107,32916,65252,72640
2020-07-01,840463651.14401533,63110,46845,97626,102023
2020-08-01,741052698.70719880,69181,52992,101658,103789
2020-09-01,1343592640.93635566,73760,55594,102066,104112
2020-10-01,897614218.17861045,75017,52940,102197,103116
2020-11-01,1174333046.89324131,78623,56773,110458,110899
2020-12-01,1747322979.15965275,95313,67401,138345,143126
2021-01-01,3168121611.12182153,122014,91305,182287,183411
2021-02-01,3007718018.34108571,125296,97516,176759,178215
2021-03-01,3122334557.01160312,104627,76764,142306,151903
2021-04-01,5164085153.62103828,107565,78059,151258,152216
2021-05-01,7098488044.83669597,96873,65696,159052,160476
2021-06-01,3548967953.28378622,95265,47331,137058,154552
2021-07-01,2917881949.71564717,59010,34164,95408,99483
2021-08-01,3168760419.28622920,60322,36194,103909,104536
2021-09-01,3434556551.16346250,54703,34530,87680,93820
2021-10-01,7189657867.08356224,58898,39428,95059,95223
2021-11-01,6010998391.26078102,67387,47671,114803,114872
2021-12-01,4721381845.71665991,59792,36330,94812,96421
2022-01-01,7392853093.00051388,42729,25266,70661,70715
2022-02-01,3312295008.71987452,40574,23822,63058,63204
2022-03-01,3481167739.40833102,53458,32279,86874,89158
2022-04-01,3496462276.34758196,41283,23812,66807,66993
2022-05-01,5867018696.73387690,50572,26874,79225,79392
2022-06-01,3807876014.27940876,45310,24275,69754,82187
2022-07-01,3356305636.59720704,41211,19517,61159,61375
2022-08-01,2206783951.27648775,37284,18231,56377,56582
2022-09-01,2130318634.82664538,36193,18162,51207,64282
2022-10-01,1058617177.30705198,28662,15217,44340,44624
2022-11-01,2285487023.97379768,44157,23390,66551,68011
2022-12-01,1360853911.90065739,42622,27172,58106,67145
2023-01-01,1020160936.83501112,56445,38201,69858,104785
2023-02-01,1234025019.82703683,56067,33285,81529,92332
2023-03-01,2961902491.77428472,48621,28681,72398,75948
2023-04-01,1269170582.36577139,26354,13791,39220,43370
2023-05-01,1005400801.71271708,27169,16043,41420,47032
2023-06-01,944037061.06856892,44081,16279,58636,59980
2023-07-01,900969818.26497057,25814,14768,40944,42605
2023-08-01,1019114959.06974302,25379,14550,40699,42109
2023-09-01,714209140.45675630,22556,11275,35809,36778
2023-10-01,932031637.27034449,22934,11875,39742,41054
2023-11-01,1123754461.03110458,22448,11512,39483,40477
2023-12-01,1521028915.56361811,24856,13358,42756,43844
2024-01-01,1277024264.41159407,26652,13676,44331,45490
2024-02-01,1554686782.33410528,21548,11902,36415,36947
2024-03-01,2338411284.55975939,25838,14617,44794,45318
2024-04-01,1361576177.16019488,21532,11631,37868,38057
2024-05-01,1247190196.17793360,19385,10387,35543,35613
2024-06-01,1119480777.31556166,18621,9959,34169,34281
2024-07-01,1136477997.47615541,20637,11840,36518,36958
2024-08-01,1612502140.99228428,27717,15925,48987,50024
2024-09-01,1000715732.65376712,21475,12940,41152,41891
2024-10-01,1124645662.88360201,20911,12565,39501,40370
2024-11-01,1420818018.84634825,23197,13644,43201,43586
2024-12-01,2035163205.43173581,25803,14971,47680,48084
2025-01-01,1672613453.38236722,22076,12919,41059,41873
2025-02-01,1687439343.31829571,28483,19056,51391,56541
2025-03-01,1902355127.20673046,33545,20561,59412,68002
2025-04-01,1436210291.17273862,30398,17708,56231,77401
2025-05-01,1906141731.58965600,28491,18015,59514,64654
2025-06-01,1401419594.57433992,28028,18663,63165,69363
2025-07-01,1821592831.75101192,36846,27095,78951,84974
2025-08-01,3135002866.22533888,49688,35583,110479,120227
2025-09-01,4294322145.54058139,48738,34814,115215,131095
2025-10-01,5701691185.79605101,64514,47843,140000,168390
2025-11-01,4969817442.23333862,58954,42450,121482,144862
2025-12-01,2012801558.62947204,75348,60179,197874,313691
2026-01-01,2023567814.66249252,117036,99036,260459,341531
2026-02-01,1880368287.30518596,97082,79998,202027,231890
2026-03-01,1892630686.64412660,91532,68197,174767,193654
2026-04-01,1129539167.56240635,69874,36145,102198,114833
2026-05-01,950885108.06514759,33179,24279,52393,59295
2026-06-01,484589084.68214989,30015,22265,47376,55245
