size_bucket,transfer_count,bucket_volume
<0.01,696991,759.467550488184296868000000000000000000
0.01-0.1,86365,1985.51857369952420874200
0.1-1,71201,40233.89316165084184930900
1-10,392168,1641209.39560434325132244600
10-100,988139,44398733.9289253703802255
100-1000,1694414,651771085.7602968365340316
1000-10000,1416229,4820863563.0718398651083572
10000-100000,662948,21152265839.3541575968369102
100000-1000000,192338,52877739955.955593591508
1000000-10000000,26775,61230177120.011868950000
>=10000000,1250,32089580024.090746479913
