month,newly_adopted_addresses
2019-11-01,4144
2019-12-01,8315
2020-01-01,14000
2020-02-01,16803
2020-03-01,14196
2020-04-01,11354
2020-05-01,11395
2020-06-01,16900
2020-07-01,27613
2020-08-01,25295
2020-09-01,36964
2020-10-01,30458
2020-11-01,25643
2020-12-01,35588
2021-01-01,40999
2021-02-01,32273
2021-03-01,30242
2021-04-01,26139
2021-05-01,26030
2021-06-01,28645
2021-07-01,21446
2021-08-01,17020
2021-09-01,18047
2021-10-01,20344
2021-11-01,19678
2021-12-01,18018
2022-01-01,11663
2022-02-01,12640
2022-03-01,12815
2022-04-01,10511
2022-05-01,13856
2022-06-01,14150
2022-07-01,10905
2022-08-01,13921
2022-09-01,18505
2022-10-01,10841
2022-11-01,16211
2022-12-01,12024
2023-01-01,12168
2023-02-01,8552
2023-03-01,16769
2023-04-01,7120
2023-05-01,12543
2023-06-01,7338
2023-07-01,6143
2023-08-01,7451
2023-09-01,5862
2023-10-01,8030
2023-11-01,6546
2023-12-01,5846
2024-01-01,7788
2024-02-01,6213
2024-03-01,6616
2024-04-01,6407
2024-05-01,5741
2024-06-01,4612
2024-07-01,4841
2024-08-01,8121
2024-09-01,5106
2024-10-01,4387
2024-11-01,4790
2024-12-01,5852
2025-01-01,4656
2025-02-01,7410
2025-03-01,6431
2025-04-01,5887
2025-05-01,5587
2025-06-01,6007
2025-07-01,6923
2025-08-01,7519
2025-09-01,8037
2025-10-01,7983
2025-11-01,7009
2025-12-01,8811
2026-01-01,9724
2026-02-01,9702
2026-03-01,13460
2026-04-01,10617
2026-05-01,18882
2026-06-01,6925
