month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2019-11-01,514609413.92747311,4144,4144,23668,24300
2019-12-01,315298132.34704811,10212,8315,41431,50571
2020-01-01,498598111.02956756,18371,14000,66084,72916
2020-02-01,923191949.96765663,24969,16803,99708,106634
2020-03-01,627192708.90229943,24996,14196,95025,98613
2020-04-01,490960202.21271936,19364,11354,69782,71220
2020-05-01,500787069.35636756,18977,11395,55089,57733
2020-06-01,631746858.57291139,26311,16900,69788,74767
2020-07-01,5980751348.40987350,41609,27613,121568,129184
2020-08-01,4432133771.27466424,41348,25295,112970,118859
2020-09-01,5218177888.55747225,55498,36964,151215,153728
2020-10-01,2307858808.68785636,51755,30458,115853,119372
2020-11-01,3110131762.26895592,48485,25643,124021,129092
2020-12-01,4875544566.22397228,59304,35588,179475,184182
2021-01-01,10943818116.84104979,68817,40999,197858,199740
2021-02-01,6432364808.08462675,54162,32273,113072,114431
2021-03-01,6699357524.12529916,51281,30242,108761,112346
2021-04-01,11209311804.71823231,46505,26139,97486,98590
2021-05-01,15275427048.38830533,48376,26030,127861,129299
2021-06-01,8445616060.99677165,50936,28645,125698,133541
2021-07-01,5894803319.19629235,40648,21446,97369,100948
2021-08-01,6085466333.40887219,34383,17020,74713,76734
2021-09-01,6146718507.24429364,34984,18047,70278,73736
2021-10-01,8854243209.63335678,36615,20344,72837,74824
2021-11-01,7463281878.84460607,34956,19678,64029,65668
2021-12-01,7187529258.16428993,33602,18018,63082,64450
2022-01-01,7247005822.62498502,25195,11663,49603,50486
2022-02-01,3787488651.19484950,24388,12640,43563,44346
2022-03-01,4211216558.68975005,25147,12815,47918,50028
2022-04-01,3637392777.68536683,21595,10511,39854,40644
2022-05-01,6826992091.50147431,27590,13856,52460,53579
2022-06-01,4951047411.26520154,28333,14150,53619,57872
2022-07-01,2833083534.24724693,21863,10905,43130,43757
2022-08-01,2454915203.82739112,25256,13921,51906,53782
2022-09-01,2651175839.57508334,31034,18505,61782,69611
2022-10-01,2061803800.76232558,21451,10841,44110,46913
2022-11-01,3875494877.62986398,30199,16211,69357,72103
2022-12-01,1591714213.07128854,23628,12024,48094,50326
2023-01-01,1663967688.08160113,25261,12168,49833,62166
2023-02-01,1633824670.28312905,19084,8552,39726,40989
2023-03-01,5324803153.02962583,30900,16769,58549,60378
2023-04-01,1746044973.45139408,15954,7120,26712,28642
2023-05-01,1225840723.27457035,20599,12543,35829,38960
2023-06-01,1340925332.04641014,16107,7338,28814,29890
2023-07-01,1034307161.40597073,14003,6143,23920,24681
2023-08-01,3794388892.61604382,16613,7451,29182,29855
2023-09-01,1390060012.88761526,13659,5862,22854,23333
2023-10-01,2333763522.80161585,16444,8030,30006,30692
2023-11-01,2987821018.63817159,14358,6546,26092,26425
2023-12-01,2471096308.20063302,13393,5846,25945,26253
2024-01-01,2618983141.74929560,16130,7788,31763,32441
2024-02-01,2368196692.88291187,13717,6213,24389,24669
2024-03-01,5269108381.74994402,14386,6616,28592,28966
2024-04-01,4643162516.36595702,13358,6407,25838,26207
2024-05-01,3223389533.26449268,12360,5741,23380,23874
2024-06-01,1833341223.50997347,10183,4612,18602,18823
2024-07-01,2981295116.03968362,10505,4841,20126,20419
2024-08-01,3696143917.79370335,14460,8121,28212,28762
2024-09-01,1785329826.63537308,11286,5106,21838,22180
2024-10-01,2492312789.84132784,10077,4387,20023,20406
2024-11-01,3803935180.59141472,10614,4790,23269,23687
2024-12-01,5568690188.03008957,12037,5852,25048,25408
2025-01-01,3912072653.50451213,9780,4656,20504,20818
2025-02-01,3824859065.25022427,13305,7410,28497,29225
2025-03-01,4355083901.55063794,12063,6431,32208,32788
2025-04-01,2677949267.95735568,10996,5887,24095,24458
2025-05-01,2179268594.47513695,10124,5587,21804,22313
2025-06-01,1783893023.71172293,10206,6007,21090,21330
2025-07-01,1889404547.05507368,11669,6923,25634,26159
2025-08-01,2573726826.62048182,12504,7519,31484,32007
2025-09-01,2801120443.99877811,12688,8037,36206,36859
2025-10-01,1838157333.91213353,13397,7983,40481,41065
2025-11-01,1507467435.55030918,11837,7009,31932,32551
2025-12-01,939539005.97200228,13678,8811,37251,38414
2026-01-01,703283901.42236037,15143,9724,37867,39043
2026-02-01,822059868.66110547,15226,9702,33960,35228
2026-03-01,688612110.31695977,17837,13460,32379,36170
2026-04-01,977404490.30437833,15468,10617,29922,31632
2026-05-01,812631720.59591997,24049,18882,34251,35329
2026-06-01,748746382.56606987,11131,6925,24397,25444
