month,size_bucket,transfer_count,bucket_volume
2019-11-01,<0.01,37,0.057964896800712067000000000000000000
2019-11-01,0.01-0.1,62,3.05189044485922478700
2019-11-01,0.1-1,172,80.84791352162600736200
2019-11-01,1-10,883,3752.60124600373693377000
2019-11-01,10-100,2681,101055.7398103549089136
2019-11-01,100-1000,3374,1316460.7198278536930073
2019-11-01,1000-10000,3531,14494595.1899163865149525
2019-11-01,10000-100000,12782,480449426.6193757493776333
2019-11-01,100000-1000000,76,16916658.301427894549
2019-11-01,1000000-10000000,1,1327380.798100000000
2019-12-01,<0.01,138,0.174560363577217161000000000000000000
2019-12-01,0.01-0.1,478,19.01926023031739167500
2019-12-01,0.1-1,715,339.69347690762942032900
2019-12-01,1-10,4606,21438.44068842409724338100
2019-12-01,10-100,13572,531569.7391348358633024
2019-12-01,100-1000,13835,4663897.5344276481710837
2019-12-01,1000-10000,7773,30235316.3122766406569866
2019-12-01,10000-100000,7985,211931212.7699094390052799
2019-12-01,100000-1000000,208,47624307.223989523835
2019-12-01,1000000-10000000,14,20290031.439324094234
2020-01-01,<0.01,201,0.260165274954461383000000000000000000
2020-01-01,0.01-0.1,516,21.38654598772887371900
2020-01-01,0.1-1,1386,729.84984714178339705800
2020-01-01,1-10,10615,34103.21207152804917652700
2020-01-01,10-100,16313,648521.7095317517810732
2020-01-01,100-1000,16532,5779172.4247729158165327
2020-01-01,1000-10000,12303,49142592.0809090703004095
2020-01-01,10000-100000,13037,368995792.1375710708865577
2020-01-01,100000-1000000,243,50255677.633644561045
2020-01-01,1000000-10000000,13,23741500.334508259629
2020-02-01,<0.01,331,0.555291393976119645000000000000000000
2020-02-01,0.01-0.1,337,12.71203834986763837300
2020-02-01,0.1-1,1403,717.73465212991668780400
2020-02-01,1-10,9346,39630.38411579643364741000
2020-02-01,10-100,20325,801442.9927436759070702
2020-02-01,100-1000,22947,8417433.9251123934662427
2020-02-01,1000-10000,21175,83035094.5129416339800735
2020-02-01,10000-100000,26932,739773697.5347354337937667
2020-02-01,100000-1000000,391,83588164.489161413746
2020-02-01,1000000-10000000,6,7535755.126864411147
2020-03-01,<0.01,354,0.638402253221352673000000000000000000
2020-03-01,0.01-0.1,373,14.61276552745979178300
2020-03-01,0.1-1,1647,752.47052996370787171400
2020-03-01,1-10,8475,36145.49228675076179479400
2020-03-01,10-100,17090,634367.3491459820332480
2020-03-01,100-1000,23580,9466958.4910632008456116
2020-03-01,1000-10000,26857,97057894.4870168484272327
2020-03-01,10000-100000,14850,354369536.6631847042908728
2020-03-01,100000-1000000,607,120672133.349428134514
2020-03-01,1000000-10000000,28,44954905.348476069215
2020-04-01,<0.01,354,0.520654600416719850000000000000000000
2020-04-01,0.01-0.1,355,11.31676637022682198300
2020-04-01,0.1-1,1836,923.78140748579503870200
2020-04-01,1-10,7279,28404.86138711131104423700
2020-04-01,10-100,13887,566286.8781264952681213
2020-04-01,100-1000,16525,5732404.7480527364545751
2020-04-01,1000-10000,16229,50667472.2411533636358097
2020-04-01,10000-100000,11440,368169454.3166655936321147
2020-04-01,100000-1000000,278,60680843.952587711987
2020-04-01,1000000-10000000,5,5114399.595917892994
2020-05-01,<0.01,251,0.314400162004466374000000000000000000
2020-05-01,0.01-0.1,178,6.24236841124830087600
2020-05-01,0.1-1,815,364.68679353577714677800
2020-05-01,1-10,6437,26093.37895239379156699900
2020-05-01,10-100,12912,517917.5276002738057158
2020-05-01,100-1000,14160,4824467.4225833992119895
2020-05-01,1000-10000,11117,36318392.8679136002158841
2020-05-01,10000-100000,9285,350515771.1019348982657134
2020-05-01,100000-1000000,320,68099124.647361750409
2020-05-01,1000000-10000000,15,40484931.166459136367
2020-06-01,<0.01,263,0.506300027886734529000000000000000000
2020-06-01,0.01-0.1,192,8.05180854802094092000
2020-06-01,0.1-1,1289,882.51244609477437644900
2020-06-01,1-10,7550,37021.94415014037422019900
2020-06-01,10-100,20463,869908.4685848947551626
2020-06-01,100-1000,21481,6987260.5671052849597366
2020-06-01,1000-10000,12694,43522596.5904153044903210
2020-06-01,10000-100000,6968,229923515.9581249794838857
2020-06-01,100000-1000000,629,131538245.745537889780
2020-06-01,1000000-10000000,67,196866700.730601138155
2020-06-01,>=10000000,2,22000717.497837086600
2020-07-01,<0.01,393,0.923957482068072191000000000000000000
2020-07-01,0.01-0.1,184,7.36772944199190523100
2020-07-01,0.1-1,967,541.06980887665865938000
2020-07-01,1-10,7728,39952.50129877525436274200
2020-07-01,10-100,32749,1401708.3033761214162898
2020-07-01,100-1000,37100,12155875.9218212162342173
2020-07-01,1000-10000,25731,88169498.8599171855664480
2020-07-01,10000-100000,16269,564992195.8302469826601342
2020-07-01,100000-1000000,3186,884638989.385271091357
2020-07-01,1000000-10000000,842,2633935276.664371580445
2020-07-01,>=10000000,110,1795417301.582074743973
2020-08-01,<0.01,422,0.897179590880314755000000000000000000
2020-08-01,0.01-0.1,160,6.23668789881463499700
2020-08-01,0.1-1,508,223.50016747040225343400
2020-08-01,1-10,4335,21188.84857949714159662400
2020-08-01,10-100,19983,873066.8604960220361389
2020-08-01,100-1000,32145,11563254.9271517458598903
2020-08-01,1000-10000,33144,118787859.1595034330552232
2020-08-01,10000-100000,16604,514645474.7787240554882371
2020-08-01,100000-1000000,3390,916632731.707175148009
2020-08-01,1000000-10000000,586,1393048651.422220158840
2020-08-01,>=10000000,88,1476561312.936779223835
2020-09-01,<0.01,1107,1.496080895548212754000000000000000000
2020-09-01,0.01-0.1,301,10.52390473076057591800
2020-09-01,0.1-1,920,472.29319936166231400700
2020-09-01,1-10,4502,20055.99978045632346212100
2020-09-01,10-100,16579,776639.0086759210362282
2020-09-01,100-1000,41409,16416502.8650749899386664
2020-09-01,1000-10000,44498,162822097.9032835902035221
2020-09-01,10000-100000,25560,773847521.3099595662706138
2020-09-01,100000-1000000,6600,1875287008.413288804799
2020-09-01,1000000-10000000,931,2076605796.886190263979
2020-09-01,>=10000000,23,312401781.858033669980
2020-10-01,<0.01,803,0.943393962003307970000000000000000000
2020-10-01,0.01-0.1,308,10.73411377521063712200
2020-10-01,0.1-1,1130,524.75798930239201491300
2020-10-01,1-10,8141,37908.73230858191740613400
2020-10-01,10-100,26458,1100262.1294186373462537
2020-10-01,100-1000,39408,14263544.2747986434093514
2020-10-01,1000-10000,27113,88926055.6686752163573204
2020-10-01,10000-100000,10482,328833153.3865524515985657
2020-10-01,100000-1000000,2565,717141649.138736018898
2020-10-01,1000000-10000000,415,1014110759.931143418238
2020-10-01,>=10000000,10,143444938.990726352810
2020-11-01,<0.01,746,1.201517913234168290000000000000000000
2020-11-01,0.01-0.1,286,10.86075891264883309900
2020-11-01,0.1-1,866,467.07171821332149521400
2020-11-01,1-10,5671,27055.88311106345217536900
2020-11-01,10-100,21823,956305.7816409430633257
2020-11-01,100-1000,42168,16164702.5368225114758479
2020-11-01,1000-10000,33411,114019106.1836881608099469
2020-11-01,10000-100000,16968,487497550.1857821460452608
2020-11-01,100000-1000000,3021,794915216.318358664355
2020-11-01,1000000-10000000,489,1173819000.680764143800
2020-11-01,>=10000000,29,522732345.564793245894
2020-12-01,<0.01,673,1.285162732046676323000000000000000000
2020-12-01,0.01-0.1,246,9.30570343337764461600
2020-12-01,0.1-1,1210,840.29644496983124972500
2020-12-01,1-10,6148,27861.34975504092981066200
2020-12-01,10-100,23455,1085891.6434009988360256
2020-12-01,100-1000,58103,23105353.3070183392509523
2020-12-01,1000-10000,54514,190342758.2183069479876476
2020-12-01,10000-100000,31429,889362933.8553859164723748
2020-12-01,100000-1000000,5134,1257183501.924928816522
2020-12-01,1000000-10000000,502,1179939506.689862563216
2020-12-01,>=10000000,36,1334495908.348002526207
2021-01-01,<0.01,465,0.766283588140574899000000000000000000
2021-01-01,0.01-0.1,193,6.35750278858196778700
2021-01-01,0.1-1,361,189.76376797064930272200
2021-01-01,1-10,3680,18176.82991371763820324000
2021-01-01,10-100,17851,826649.0061191637029040
2021-01-01,100-1000,52565,22446977.5188696427113323
2021-01-01,1000-10000,64656,223285863.1806058646163072
2021-01-01,10000-100000,43875,1480453802.3550399042137930
2021-01-01,100000-1000000,10348,2397850555.566490007985
2021-01-01,1000000-10000000,1231,3115746382.041779175963
2021-01-01,>=10000000,143,3703189513.454677968431
2021-02-01,<0.01,192,0.441956218005464665000000000000000000
2021-02-01,0.01-0.1,98,3.09216468525963187100
2021-02-01,0.1-1,246,124.09006794711868068900
2021-02-01,1-10,1422,6801.04316540658561421700
2021-02-01,10-100,7331,373486.9956852360527253
2021-02-01,100-1000,27156,12418291.9842588013495908
2021-02-01,1000-10000,39041,139496415.6629350777562059
2021-02-01,10000-100000,26499,948211250.6410543417027064
2021-02-01,100000-1000000,8380,1940290862.504967127987
2021-02-01,1000000-10000000,1013,2316129779.689676793260
2021-02-01,>=10000000,44,1075437791.938695114005
2021-03-01,<0.01,193,0.349953113593131033000000000000000000
2021-03-01,0.01-0.1,119,6.57140637658538196000
2021-03-01,0.1-1,1044,825.49503062155822344900
2021-03-01,1-10,3834,16656.26718706818278578600
2021-03-01,10-100,9064,423500.1861019281635277
2021-03-01,100-1000,23766,10285189.2697915560602542
2021-03-01,1000-10000,37136,134757399.6928670544208597
2021-03-01,10000-100000,26270,882303025.6121291582019669
2021-03-01,100000-1000000,8041,2008772613.788431800038
2021-03-01,1000000-10000000,1040,2771501750.673147150868
2021-03-01,>=10000000,53,891296556.219253337036
2021-04-01,<0.01,125,0.220377875488960165000000000000000000
2021-04-01,0.01-0.1,59,2.75282093543512592600
2021-04-01,0.1-1,246,122.88080229662814413300
2021-04-01,1-10,1207,5226.08726916486171899200
2021-04-01,10-100,6856,334638.6663043228748719
2021-04-01,100-1000,18303,7841012.7276860805896073
2021-04-01,1000-10000,29974,114129279.1522645697002971
2021-04-01,10000-100000,28033,1017120961.5674904985401555
2021-04-01,100000-1000000,9995,2489858798.552822716804
2021-04-01,1000000-10000000,1448,3549250431.681258872432
2021-04-01,>=10000000,94,4030771330.429134969494
2021-05-01,<0.01,151,0.265495032043389090000000000000000000
2021-05-01,0.01-0.1,85,3.66107555382945490700
2021-05-01,0.1-1,404,245.21630213385361217800
2021-05-01,1-10,1609,7748.33423288486849403300
2021-05-01,10-100,8294,408724.3950998147696928
2021-05-01,100-1000,20770,9070122.5891305587679304
2021-05-01,1000-10000,36342,144974139.7482105807437793
2021-05-01,10000-100000,41700,1537894694.8247529910561667
2021-05-01,100000-1000000,16289,4041945928.072565613195
2021-05-01,1000000-10000000,2200,6887699140.560711815623
2021-05-01,>=10000000,124,2653426300.720728347431
2021-06-01,<0.01,262,0.781955267299702322000000000000000000
2021-06-01,0.01-0.1,231,11.52657469562229662300
2021-06-01,0.1-1,2823,1986.42609341586412227200
2021-06-01,1-10,9242,36754.02119953019612973100
2021-06-01,10-100,16168,732838.7903814108151427
2021-06-01,100-1000,28174,11326421.4517680594279155
2021-06-01,1000-10000,32303,121620773.6109008048602033
2021-06-01,10000-100000,34927,1169428110.6462390129220615
2021-06-01,100000-1000000,7668,2034946500.821562916372
2021-06-01,1000000-10000000,1043,3071930142.267731885404
2021-06-01,>=10000000,80,2035592520.652364654156
2021-07-01,<0.01,252,1.208519348593279033000000000000000000
2021-07-01,0.01-0.1,108,4.67119901020424252500
2021-07-01,0.1-1,947,612.09350180400884703400
2021-07-01,1-10,4409,20528.82447015730479924600
2021-07-01,10-100,13044,597823.6211763609640526
2021-07-01,100-1000,23377,9272566.4223858453251843
2021-07-01,1000-10000,26234,94814204.7929513246911784
2021-07-01,10000-100000,26165,915671851.9413136537917801
2021-07-01,100000-1000000,5251,1290398629.127533853943
2021-07-01,1000000-10000000,737,2300690471.504299621360
2021-07-01,>=10000000,67,1283336624.988941368468
2021-08-01,<0.01,80,0.134346548299844610000000000000000000
2021-08-01,0.01-0.1,79,3.08716534733356051900
2021-08-01,0.1-1,264,133.97302463321868351800
2021-08-01,1-10,1567,7602.07471272926477656400
2021-08-01,10-100,6516,302579.7408900986190802
2021-08-01,100-1000,17679,7620767.9178692562263591
2021-08-01,1000-10000,23373,85342594.9330291702463406
2021-08-01,10000-100000,19982,747803581.2231564609724969
2021-08-01,100000-1000000,6231,1462308256.818320193355
2021-08-01,1000000-10000000,697,2279509991.186208721871
2021-08-01,>=10000000,62,1502570822.320149034835
2021-09-01,<0.01,99,0.164666622988621852000000000000000000
2021-09-01,0.01-0.1,62,3.29936608473328281800
2021-09-01,0.1-1,410,205.11789043812030751100
2021-09-01,1-10,3285,12927.21035299644780492400
2021-09-01,10-100,6425,295032.2004156888103209
2021-09-01,100-1000,15539,6667003.7204889398326741
2021-09-01,1000-10000,21011,78172554.3278422564058259
2021-09-01,10000-100000,18856,721676440.5586790412598173
2021-09-01,100000-1000000,7114,1754998545.384520332796
2021-09-01,1000000-10000000,753,2329124735.175696851289
2021-09-01,>=10000000,79,1255771060.084374389050
2021-10-01,<0.01,106,0.257702647370770847000000000000000000
2021-10-01,0.01-0.1,100,4.34338106594952202000
2021-10-01,0.1-1,301,147.67157692831861614500
2021-10-01,1-10,1463,6468.63230511435681827400
2021-10-01,10-100,5382,242015.0304452581511074
2021-10-01,100-1000,15080,6887751.6304020263838331
2021-10-01,1000-10000,23728,87002763.4963534692574902
2021-10-01,10000-100000,18990,692663016.3667809242626489
2021-10-01,100000-1000000,8461,2231242611.518553902389
2021-10-01,1000000-10000000,1017,2785061989.725831030347
2021-10-01,>=10000000,127,3051136440.960024411318
2021-11-01,<0.01,91,0.079589442590031838000000000000000000
2021-11-01,0.01-0.1,137,7.43870848103430477900
2021-11-01,0.1-1,536,264.56508508154548194800
2021-11-01,1-10,1128,4633.63988918283419158200
2021-11-01,10-100,4233,194299.5795161272014175
2021-11-01,100-1000,13670,6320596.2655144084553705
2021-11-01,1000-10000,21216,77862733.4009003743888607
2021-11-01,10000-100000,15816,566990353.9242321933652358
2021-11-01,100000-1000000,7779,2297010215.105539543568
2021-11-01,1000000-10000000,879,2201858617.365754325126
2021-11-01,>=10000000,96,2313040157.479876905787
2021-12-01,<0.01,59,0.082057636233078762000000000000000000
2021-12-01,0.01-0.1,49,2.20374115067463349400
2021-12-01,0.1-1,272,138.81589689815395845100
2021-12-01,1-10,1656,7038.39717794789312658800
2021-12-01,10-100,5716,251433.4245887101978399
2021-12-01,100-1000,13626,5786104.8042272494978587
2021-12-01,1000-10000,18679,68821941.7140282183466210
2021-12-01,10000-100000,15272,536974649.1631535547678086
2021-12-01,100000-1000000,8056,2336056971.285083680017
