size_bucket,transfer_count,bucket_volume
<0.01,58735,68.572529569210319375000000000000000000
0.01-0.1,20549,820.21872783505275220700
0.1-1,51782,25628.21027880523375045400
1-10,246538,984606.11382555492143800500
10-100,604008,25760521.4659861431258033
100-1000,1076609,425319625.8691852389556905
1000-10000,1186586,4293386241.2466735912664269
10000-100000,911475,29926074264.6310484306650393
100000-1000000,274174,72828527789.336038790233
1000000-10000000,39722,101327959940.149811251639
>=10000000,3240,70632224276.241665152593
