month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2019-11-01,20934,20139,488020187272829606557467307,488020187.27282961,735,1753,2488
2019-12-01,35589,31792,239731837306322195193022812,239731837.30632220,1593,4581,6174
2020-01-01,64720,52990,409117395831646525361577164,409117395.83164653,2430,7788,10218
2020-02-01,110107,85870,810630665899048728004888373,810630665.89904873,4280,11479,15759
2020-03-01,98517,78089,437085894569926385312406654,437085894.56992639,4808,12199,17007
2020-04-01,68413,62792,429578714409621819940880837,429578714.40962182,4444,9805,14249
2020-05-01,52981,47158,417601599288137128452522619,417601599.28813713,4908,9395,14303
2020-06-01,56600,48063,399182675783673326777537906,399182675.78367333,6530,11722,18252
2020-07-01,98698,84472,1187458424683929000426301951,1187458424.68392900,9048,18707,27755
2020-08-01,113729,103047,1572323086022545470834243320,1572323086.02254547,8206,21332,29538
2020-09-01,141178,135279,3905811350920496770310025728,3905811350.92049677,6478,37006,43484
2020-10-01,97183,92847,1335882617628049014397539685,1335882617.62804901,5975,34047,40022
2020-11-01,108778,102757,1756006058618136351835964550,1756006058.61813635,6812,29835,36647
2020-12-01,188891,181279,3159822472831878626333376553,3159822472.83187863,7841,45115,52956
2021-01-01,203777,196106,9989991117952912465018358102,9989991117.95291247,13273,46301,59574
2021-02-01,102918,97303,5912925748927946522100875254,5912925748.92794652,8349,33083,41432
2021-03-01,104521,96738,6073756959217383938440533633,6073756959.21738394,7766,33133,40899
2021-04-01,102174,94348,10414368904166953238043650489,10414368904.16695324,8488,33148,41636
2021-05-01,139931,129706,14201395887824237882861321815,14201395887.82423788,8590,39532,48122
2021-06-01,130162,121401,7581884511346478515588895162,7581884511.34647852,8646,38830,47476
2021-07-01,102844,93616,5749637171824552420930276060,5749637171.82455242,6309,32935,39244
2021-08-01,79627,74540,6094242794786078025147054778,6094242794.78607803,7573,26608,34181
2021-09-01,69267,64520,5796773957225803855808342468,5796773957.22580386,5272,26950,32222
2021-10-01,69241,63849,7529962867605396365132760425,7529962867.60539637,5190,27540,32730
2021-11-01,65700,60570,6503519725016690266178708082,6503519725.01669027,4865,27969,32834
2021-12-01,61120,57497,6164580431881484941932035634,6164580431.88148494,5225,25464,30689
2022-01-01,50495,47316,7549482177304303203940400842,7549482177.30430320,4403,19756,24159
2022-02-01,44017,40703,3689232982255923633475531298,3689232982.25592363,4305,18681,22986
2022-03-01,52299,48435,3887217215172459459527439481,3887217215.17245946,4701,22301,27002
2022-04-01,42071,38974,2762334233277434241887053690,2762334233.27743424,4068,18172,22240
