month,size_bucket,transfer_count,bucket_volume
2019-11-01,<0.01,183,0.220684976499095971000000000000000000
2019-11-01,0.01-0.1,118,6.56950931152535906800
2019-11-01,0.1-1,463,177.49542494764894208300
2019-11-01,1-10,779,3222.00236610569457532800
2019-11-01,10-100,1380,58906.2996517214755928
2019-11-01,100-1000,2428,1007693.2677927560746920
2019-11-01,1000-10000,3152,12830570.9737827747716230
2019-11-01,10000-100000,12401,468970158.3346125955654572
2019-11-01,100000-1000000,22,5149452.109004417083
2019-12-01,<0.01,474,0.631748827419409208000000000000000000
2019-12-01,0.01-0.1,560,28.91672512899532584900
2019-12-01,0.1-1,1632,638.78440096747990167300
2019-12-01,1-10,4057,14348.96109414970883156600
2019-12-01,10-100,6020,258025.2053173515577120
2019-12-01,100-1000,8553,3162284.4505025251343540
2019-12-01,1000-10000,6863,26710572.9172694116238683
2019-12-01,10000-100000,7299,190857319.1132900477376869
2019-12-01,100000-1000000,91,17689787.395244038424
2019-12-01,1000000-10000000,1,1038830.930729747114
2020-01-01,<0.01,1121,1.154063119025275570000000000000000000
2020-01-01,0.01-0.1,5296,244.30774746124425385500
2020-01-01,0.1-1,5629,2127.54329910715998031800
2020-01-01,1-10,6469,23152.35675082278728849400
2020-01-01,10-100,9161,369994.4459162002134039
2020-01-01,100-1000,13039,4984380.1578605979215032
2020-01-01,1000-10000,11616,47575302.0805713662431427
2020-01-01,10000-100000,12074,343448066.4653543402944001
2020-01-01,100000-1000000,82,12714127.320083510457
2020-02-01,<0.01,3946,1.821102488494585402000000000000000000
2020-02-01,0.01-0.1,11189,488.82788222442079080500
2020-02-01,0.1-1,9388,3525.98958667583177452000
2020-02-01,1-10,10256,42830.82175140934899877700
2020-02-01,10-100,13035,514230.1217772964702970
2020-02-01,100-1000,15956,6441778.4269030932017965
2020-02-01,1000-10000,20361,83110548.8782681691220206
2020-02-01,10000-100000,25159,692881054.6243059088873277
2020-02-01,100000-1000000,146,27636206.387471462230
2020-03-01,<0.01,2647,1.959835938831958379000000000000000000
2020-03-01,0.01-0.1,9008,392.74649187019541494700
2020-03-01,0.1-1,7424,2904.17256288684333185100
2020-03-01,1-10,10556,42789.45943090659395530400
2020-03-01,10-100,13383,499171.5527241391524912
2020-03-01,100-1000,17766,7705911.8250230735513912
2020-03-01,1000-10000,23196,86119893.5156467373020282
2020-03-01,10000-100000,12026,280534746.6228558302637467
2020-03-01,100000-1000000,307,50740331.280239502552
2020-03-01,1000000-10000000,7,11439751.435115500000
2020-04-01,<0.01,1625,1.922652375150231174000000000000000000
2020-04-01,0.01-0.1,1567,88.68191958353167246400
2020-04-01,0.1-1,3896,1802.24767669994432089900
2020-04-01,1-10,8098,31533.23278816096890043200
2020-04-01,10-100,9874,405075.5375623179439833
2020-04-01,100-1000,14123,5416378.9494107205937404
2020-04-01,1000-10000,16326,51737282.8942543369815141
2020-04-01,10000-100000,10555,346563876.9251775422134015
2020-04-01,100000-1000000,132,25422674.018180082585
2020-05-01,<0.01,960,0.747525817511882627000000000000000000
2020-05-01,0.01-0.1,909,50.14484640783188984100
2020-05-01,0.1-1,2431,1044.46771400967911572200
2020-05-01,1-10,5742,23250.17167950387059204100
2020-05-01,10-100,9067,372289.7172393927180945
2020-05-01,100-1000,11977,4414763.3653009093515253
2020-05-01,1000-10000,10869,36450221.2750847197557309
2020-05-01,10000-100000,8815,335456223.2239727155320170
2020-05-01,100000-1000000,186,33730886.168794363798
2020-05-01,1000000-10000000,4,7152870.005979288419
2020-06-01,<0.01,848,0.876977720507601675000000000000000000
2020-06-01,0.01-0.1,1030,56.26551486160128635700
2020-06-01,0.1-1,3335,1541.71864984506753881400
2020-06-01,1-10,5036,20556.85033518869056471900
2020-06-01,10-100,10771,493036.6082085441874837
2020-06-01,100-1000,15801,5686499.7147723497208988
2020-06-01,1000-10000,11427,39612125.4127071893356127
2020-06-01,10000-100000,6165,207196956.0873215969566356
2020-06-01,100000-1000000,437,78829599.865702561325
2020-06-01,1000000-10000000,21,67342302.383483469383
2020-07-01,<0.01,1918,1.533445683940398092000000000000000000
2020-07-01,0.01-0.1,1108,60.50595168466168646000
2020-07-01,0.1-1,5351,2503.19763085885254252100
2020-07-01,1-10,7318,29883.35446922098472144700
2020-07-01,10-100,16376,784077.7806485978210326
2020-07-01,100-1000,25765,9555842.4955261939770975
2020-07-01,1000-10000,21519,75564423.9871114452921160
2020-07-01,10000-100000,12949,465339360.5578238485182452
2020-07-01,100000-1000000,1571,372714664.925646319621
2020-07-01,1000000-10000000,72,167902851.431503690499
2020-07-01,>=10000000,5,95564754.914171456242
