size_bucket,transfer_count,bucket_volume
<0.01,513115,616.286084261008118076000000000000000000
0.01-0.1,160287,4096.62837932855490530200
0.1-1,134800,60123.26260030892029073000
1-10,290691,1217536.75212752240156698300
10-100,575293,24767911.3656789072729436
100-1000,981865,405603634.9817150845067191
1000-10000,1139850,4292242914.6044782666780496
10000-100000,858463,29235195162.3374501608707865
100000-1000000,246164,67553134948.782831874158
1000000-10000000,32104,83412099377.155115121928
>=10000000,2355,51006009041.853293663261
