month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2019-11-01,17323,13121,79030721973528061185498210,79030721.973528061185,661,549,892
2019-12-01,48215,34308,144473294523162441037556462,144473294.52316244,1924,1510,2444
2020-01-01,105165,61974,407068730454377787317445473,407068730.45437779,6205,4589,9215
2020-02-01,184620,96893,1632605268701250226291346996,1632605268.70125023,5980,4998,8012
2020-03-01,213475,110947,1126737716703445315486185441,1126737716.70344532,5811,5100,7659
2020-04-01,132637,74517,576559033822812055034621153,576559033.82281206,5485,4518,7113
2020-05-01,95160,54296,530305993007590425766280830,530305993.00759043,4741,4257,6249
2020-06-01,115330,61458,781055360826235399380848420,781055360.82623540,7884,5955,9835
2020-07-01,219899,113509,5449234556721751995213459296,5449234556.72175200,11700,7582,14292
2020-08-01,219064,124719,5609492295141101870441031005,5609492295.14110187,9928,7239,12822
2020-09-01,245530,152332,14517053893612447188568602278,14517053893.61244719,10136,6635,12194
2020-10-01,150539,95299,4688739449309254049514159400,4688739449.30925405,8415,7274,11486
2020-11-01,188767,128115,6399620474124052725869304730,6399620474.12405273,8754,5724,10462
2020-12-01,278864,203500,6192749492475207379248644538,6192749492.47520738,11738,6098,13793
2021-01-01,308251,215339,12718992392702724768978336824,12718992392.70272477,10272,6119,12232
2021-02-01,167682,112041,55157756409623647134476921222,55157756409.62364713,6818,4634,8456
2021-03-01,131226,90824,14775251046728274033643691031,14775251046.72827403,6949,4486,8494
2021-04-01,143824,96307,24257947301687089633790883856,24257947301.68708963,7139,4683,8758
2021-05-01,243375,146672,54734035122164076240715517528,54734035122.16407624,7951,5428,9770
2021-06-01,241791,149599,38100653295582358241099794495,38100653295.58235824,8920,6172,10895
2021-07-01,203131,134997,33195242699788030612226637106,33195242699.78803061,8752,4900,10272
2021-08-01,164358,111441,19638688281390739153920624939,19638688281.39073915,6735,4194,8145
2021-09-01,126646,87634,22352737368660144599072617680,22352737368.66014460,6409,4210,7932
2021-10-01,146800,108865,33069437606077917635596476989,33069437606.07791764,6568,3772,7908
2021-11-01,103448,71863,33110555340110677607953403474,33110555340.11067761,5810,3666,7197
2021-12-01,115942,78450,209381457383167336172437402725,209381457383.16733617,5680,3867,7031
2022-01-01,104823,64914,29669607507782832693026732992,29669607507.78283269,4795,3171,5867
2022-02-01,84899,55926,26123183784003296537707564335,26123183784.00329654,4293,2842,5203
2022-03-01,94487,63068,25670130337617775706251942748,25670130337.61777571,4542,3144,5633
2022-04-01,80500,52026,23850754013824559749234972432,23850754013.82455975,3785,2719,4658
2022-05-01,136815,81054,56635941235301901642395209255,56635941235.30190164,4494,3531,5640
2022-06-01,145682,93089,87371852426943729245909911882,87371852426.94372925,4254,3610,5429
2022-07-01,126448,86684,138659027624770460312325621722,138659027624.77046031,3799,3435,4970
2022-08-01,150204,100022,234554521201822264649737605368,234554521201.82226465,3448,3739,4939
2022-09-01,151992,98147,186138034080063465707681446201,186138034080.06346571,3800,4105,5405
2022-10-01,97958,65380,77214162788553848932224662426,77214162788.55384893,3410,3564,4820
2022-11-01,173544,113219,101936569431288243831077387134,101936569431.28824383,4443,4337,5885
2022-12-01,97568,62987,16840200666773697306992032443,16840200666.77369731,3650,3669,5035
2023-01-01,94337,58779,13942532145054470443424692186,13942532145.05447044,3621,3687,4923
2023-02-01,87406,57427,13402076690345035011837998450,13402076690.34503501,2816,2869,3840
2023-03-01,165712,100464,36184797386931367175709535099,36184797386.93136718,3800,3974,5171
2023-04-01,72497,45573,14711307977533190312553940298,14711307977.53319031,2582,2788,3664
2023-05-01,50965,33072,11942381315955344964424380864,11942381315.95534496,2448,2443,3362
2023-06-01,63662,39682,15466097690088758287818092315,15466097690.08875829,2584,2554,3432
2023-07-01,57730,37267,29906247030575849749655345939,29906247030.57584975,2481,2626,3483
2023-08-01,63854,41851,20331136867488376179835695357,20331136867.48837618,2821,2761,3760
2023-09-01,59656,40332,24048254806402678234362622228,24048254806.40267823,2600,2508,3443
2023-10-01,84312,57824,64091114831269993381838051879,64091114831.26999338,2626,2591,3429
2023-11-01,71798,49399,85108178551015102455407443602,85108178551.01510246,2300,2335,3114
2023-12-01,95563,59119,74716867108120985722890653062,74716867108.12098572,2375,2411,3154
2024-01-01,128946,79663,157647000638383754221370412687,157647000638.38375422,2795,2785,3554
2024-02-01,85223,52916,111540781468139664979607796114,111540781468.13966498,2519,2455,3209
2024-03-01,108542,75574,102358339949463751953749328392,102358339949.46375195,2751,2701,3467
2024-04-01,112673,75882,374993363355088732360512250887,374993363355.08873236,2989,2650,3593
2024-05-01,109681,71009,224291447944628583013436198562,224291447944.62858301,2978,2734,3577
2024-06-01,88091,56461,224199409337772978031768586973,224199409337.77297803,2816,2453,3368
